N	3gram	Voloshinov_1	Vladivir
1	в том что	2	7
2	то же время	1	4
3	в течение всей	1	4
4	на то что	1	4
5	в то же	1	4
6	том что в	1	3
7	более или менее	1	3
8	с другой стороны	2	3
9	не может быть	4	3
10	с его точки	1	2
11	один и тот	1	2
12	его точки зрения	1	2
13	и тот же	1	2
14	в связи со	1	2
15	тем не менее	1	2
16	для того чтобы	1	2
17	весьма важная проблема	1	1
18	что иное как	2	1
19	нет и не	1	1
20	с ними и	1	1
21	тех пор пока	3	1
22	течение всей своей	1	1
23	в самом деле	2	1
24	во всем своем	1	1
25	нам кажется что	1	1
26	и не может	1	1
27	только то что	1	1
28	которая как известно	1	1
29	в значительной мере	1	1
30	одно и то	3	1
31	если бы мы	1	1
32	но в то	1	1
33	с одной стороны	2	1
34	в связи с	1	1
35	и то же	2	1
36	а также и	1	1
37	но и его	1	1
38	в этот момент	1	1
39	это конечно не	1	1
40	мы уже видели	1	1
41	указать на то	1	1
42	в разных местах	1	1
43	вопрос возможна ли	1	1
44	есть не что	2	1
45	до тех пор	4	1
46	и вместе с	1	1
47	здесь мы должны	1	1
48	и никогда не	1	1
49	на этом мы	1	1
50	к тому что	1	1
51	не что иное	2	1
52	в этом отношении	1	1
53	только с помощью	1	1
