N	3gram	Vygotskiy__3	Tragedij
1	так и в	2	3
2	и не случайно	1	2
3	в отличие от	6	2
4	точно так же	1	2
5	в данном случае	1	2
6	и как бы	1	2
7	о том что	3	2
8	и в самом	1	2
9	в том что	17	2
10	с первого же	1	2
11	в этом случае	1	1
12	в известной степени	1	1
13	в таком виде	1	1
14	и хотя сам	1	1
15	это понятие в	1	1
16	имеет в виду	1	1
17	хотя бы и	1	1
18	сам по себе	1	1
19	и не могли	1	1
20	и то что	2	1
21	ту же мысль	1	1
22	за то что	1	1
23	все это говорит	1	1
24	в применении к	1	1
25	создается впечатление что	1	1
26	факт что в	1	1
27	в виду не	1	1
28	во всяком случае	4	1
29	в высшей степени	6	1
30	в конце концов	1	1
31	смысле этого слова	4	1
32	и в этом	2	1
33	по сравнению с	3	1
34	тем не менее	5	1
35	не могут быть	1	1
36	связаны между собой	1	1
37	все же не	1	1
38	в связи с	5	1
39	не может быть	2	1
40	это мы видим	1	1
41	как и все	1	1
42	отнюдь не является	1	1
43	и вместе с	2	1
44	с самого начала	6	1
45	это говорит не	1	1
46	с тем и	4	1
47	к тому что	1	1
48	как и в	2	1
49	и в сфере	2	1
