N	3gram	Vinokur_St_2	Myshleni
1	в том что	16	17
2	вместе с тем	5	10
3	заключается в том	1	7
4	для того чтобы	5	7
5	в отличие от	2	6
6	так же как	3	6
7	в высшей степени	1	6
8	с самого начала	3	6
9	в зависимости от	1	5
10	тот факт что	4	5
11	в связи с	1	5
12	тем не менее	2	5
13	в качестве средства	1	4
14	во всяком случае	3	4
15	в то время	1	4
16	о том что	11	3
17	сами по себе	2	3
18	в этом отношении	9	3
19	по сравнению с	1	3
20	с другой стороны	3	3
21	то обстоятельство что	4	3
22	с тем что	2	3
23	на то что	2	3
24	как мы видели	1	3
25	только потому что	2	2
26	говорит об этом	2	2
27	по отношению к	1	2
28	в этом смысле	1	2
29	и в этом	2	2
30	то что в	2	2
31	совершенно так же	2	2
32	можно считать установленным	1	2
33	потому что оно	1	2
34	в известном смысле	1	2
35	в пользу того	1	2
36	так и в	2	2
37	и вместе с	1	2
38	в свою очередь	1	2
39	к выводу что	1	2
40	в другом месте	2	1
41	том что в	2	1
42	том что она	1	1
43	тому что было	2	1
44	одному и тому	1	1
45	и характер его	1	1
46	более или менее	2	1
47	с их точки	1	1
48	в таком виде	1	1
49	так или иначе	1	1
50	не столько с	1	1
51	в том числе	1	1
52	в этом случае	1	1
53	и в действии	1	1
54	с точки зрения	2	1
55	принять во внимание	2	1
56	идет не о	1	1
57	до сих пор	5	1
58	сам по себе	1	1
59	считать установленным что	1	1
60	бы то ни	2	1
61	не имеет никакого	1	1
62	за то что	2	1
63	ни в каком	1	1
64	обратить внимание на	4	1
65	точно так же	1	1
66	в приложении к	1	1
67	по пути к	1	1
68	как она была	1	1
69	не основана на	1	1
70	в котором все	1	1
71	а как бы	1	1
72	во внимание что	1	1
73	в данном случае	1	1
74	пытались прежде всего	1	1
75	в том чтобы	1	1
76	и тем же	1	1
77	пользу того что	1	1
78	то ни было	2	1
79	нельзя не признать	1	1
80	в значительной степени	2	1
81	к другому не	1	1
82	но и по	1	1
83	всяком случае не	2	1
84	друг к другу	1	1
85	их точки зрения	1	1
86	том что слово	1	1
87	и в том	1	1
88	одним и тем	1	1
89	силу и значение	1	1
90	но столь же	1	1
91	и тому же	1	1
92	виде как она	1	1
93	ничего общего с	1	1
94	и что следовательно	1	1
95	в связь с	1	1
96	до того как	3	1
97	прямой связи с	1	1
98	не будет иметь	1	1
99	по этому поводу	2	1
100	к тому что	5	1
101	если принять во	2	1
102	факт что в	1	1
103	этот вопрос в	1	1
104	и в результате	1	1
105	в конце концов	1	1
106	как говорит об	1	1
107	не мог не	1	1
