N	2gram	Propp_Isto_3	Russkaja
1	не может	4	22
2	и не	12	19
3	в том	9	17
4	в этом	17	17
5	и в	22	14
6	с другом	1	14
7	друг с	1	14
8	то что	7	13
9	то же	6	11
10	точки зрения	2	11
11	таким образом	10	11
12	в то	2	10
13	но и	12	10
14	не только	14	9
15	том что	8	9
16	с точки	1	9
17	может быть	11	9
18	во всяком	2	9
19	прежде всего	3	8
20	как на	1	8
21	самом деле	1	7
22	отнюдь не	1	7
23	к богу	1	7
24	и с	4	7
25	в данном	4	7
26	к тому	3	7
27	не будет	1	7
28	о том	3	7
29	мы должны	7	7
30	к которой	1	6
31	в своем	2	6
32	и к	3	6
33	с тем	2	6
34	если бы	6	6
35	все это	1	6
36	и для	2	6
37	что он	9	6
38	всяком случае	2	6
39	на самом	2	6
40	вопрос о	2	5
41	и на	4	5
42	между собой	1	5
43	на то	1	5
44	в нем	9	5
45	при этом	2	5
46	он не	5	5
47	было бы	3	5
48	в своей	1	5
49	никогда не	3	5
50	потому что	3	5
51	между тем	2	5
52	и только	1	5
53	только в	4	5
54	хотя бы	1	5
55	конечно не	1	5
56	до сих	5	5
57	себя и	1	5
58	сих пор	5	5
59	а в	6	5
60	и то	2	4
61	но не	7	4
62	себе и	2	4
63	все же	5	4
64	не в	4	4
65	в этой	5	4
66	в корне	1	4
67	его в	3	4
68	как и	3	4
69	которой он	1	4
70	во всем	1	4
71	ли это	2	4
72	от того	1	4
73	в мире	1	4
74	можно было	1	4
75	при том	1	4
76	в его	3	4
77	так как	7	4
78	со стороны	3	4
79	вместе с	9	4
80	что же	1	4
81	как бы	1	4
82	к вопросу	1	4
83	жизни и	2	4
84	что в	15	4
85	к этой	1	4
86	все что	3	4
87	и т	16	3
88	и этот	1	3
89	еще не	10	3
90	он сам	1	3
91	из этих	3	3
92	что они	8	3
93	что это	1	3
94	ни одна	1	3
95	главным образом	1	3
96	на том	3	3
97	и по	1	3
98	в другом	2	3
99	для них	3	3
100	всех этих	2	3
101	но если	1	3
102	знаем что	2	3
103	том чтобы	1	3
104	можно ли	3	3
105	одна из	2	3
106	связи с	6	3
107	то это	2	3
108	приходит к	1	3
109	данном случае	3	3
110	для этого	1	3
111	при котором	1	3
112	что и	9	3
113	что бы	1	3
114	того что	5	3
115	одной из	1	3
116	находят себе	1	3
117	в качестве	2	3
118	с нею	1	3
119	в большинстве	1	3
120	тем чтобы	1	3
121	в виде	2	3
122	из них	7	3
123	себя от	1	3
124	друг друга	6	3
125	тем что	4	3
126	только к	1	3
127	не было	2	3
128	и потому	2	3
129	да и	2	3
130	этом случае	5	3
131	и будут	1	3
132	она может	1	3
133	или в	11	3
134	и как	3	3
135	все они	1	3
136	не есть	1	3
137	из этого	1	3
138	бы для	1	2
139	и есть	2	2
140	должна быть	1	2
141	видеть в	1	2
142	из всех	1	2
143	приводят к	1	2
144	но она	2	2
145	на себя	2	2
146	в ней	2	2
147	в таком	1	2
148	именно на	1	2
149	по отношению	2	2
150	тогда как	1	2
151	не просто	1	2
152	друг от	1	2
153	с этим	8	2
154	целый ряд	3	2
155	но в	10	2
156	не можем	1	2
157	все эти	4	2
158	и тот	1	2
159	во многих	2	2
160	и те	1	2
161	состоит в	3	2
162	и вот	2	2
163	так часто	2	2
164	мы уже	6	2
165	на этой	1	2
166	по себе	1	2
167	и тем	1	2
168	одному из	1	2
169	в этих	11	2
170	во время	6	2
171	что такое	1	2
172	в котором	2	2
173	в силу	2	2
174	друг другу	2	2
175	и более	2	2
176	их в	3	2
177	для нее	2	2
178	она не	4	2
179	только для	1	2
180	в таких	1	2
181	для нас	4	2
182	у него	3	2
183	больше чем	1	2
184	все члены	2	2
185	на которой	1	2
186	как будто	2	2
187	к себе	1	2
188	отличается от	1	2
189	указывает на	1	2
190	если же	1	2
191	и о	2	2
192	от друга	1	2
193	или нескольких	1	2
194	ясно что	1	2
195	даже не	2	2
196	в порядке	1	2
197	и должно	1	2
198	и что	2	2
199	были бы	1	2
200	от него	2	2
201	к нему	5	2
202	это в	1	2
203	народов и	1	2
204	переносится на	2	2
205	быть и	3	2
206	этот вопрос	2	2
207	совершенно не	2	2
208	по этому	1	2
209	так что	5	2
210	уже не	7	2
211	только на	2	2
212	в начале	1	2
213	его и	4	2
214	ни в	2	2
215	мы можем	6	2
216	только с	1	2
217	и вместе	1	2
218	в других	4	2
219	и даже	2	2
220	в некоторых	5	2
221	а не	6	2
222	большинстве случаев	2	2
223	на эту	1	2
224	бы таким	1	2
225	в частности	5	2
226	так же	3	2
227	в течение	6	2
228	есть и	5	2
229	но это	3	2
230	но для	1	2
231	если не	2	2
232	и от	3	2
233	с ним	1	2
234	бы его	1	2
235	на это	2	2
236	ее в	3	2
237	точно так	2	2
238	в союзе	1	1
239	это при	1	1
240	и действительно	2	1
241	народов у	1	1
242	это и	1	1
243	не признает	1	1
244	не хочет	1	1
245	ту же	2	1
246	исходит из	1	1
247	от которых	2	1
248	со своей	1	1
249	и за	1	1
250	также и	1	1
251	их и	3	1
252	есть не	1	1
253	мы не	1	1
254	же как	2	1
255	нас важно	1	1
256	на место	1	1
257	имеет свою	3	1
258	на эти	1	1
259	от своих	2	1
260	такое положение	1	1
261	это отношение	1	1
262	и носителей	1	1
263	с большим	5	1
264	столько же	1	1
265	на них	1	1
266	столь же	1	1
267	что его	1	1
268	одной или	1	1
269	в область	1	1
270	к этому	7	1
271	они имеют	1	1
272	но как	1	1
273	должны были	3	1
274	которые не	1	1
275	трудно сказать	1	1
276	в одной	3	1
277	по которому	1	1
278	что ее	1	1
279	перед нами	1	1
280	имя своих	1	1
281	что по	2	1
282	он на	2	1
283	оградить себя	1	1
284	еще на	1	1
285	ни один	2	1
286	бы не	1	1
287	другим способом	1	1
288	что так	1	1
289	то и	6	1
290	только часто	1	1
291	тому же	2	1
292	если он	2	1
293	забыв о	1	1
294	вообще не	1	1
295	на его	3	1
296	не могла	2	1
297	не следует	1	1
298	тем не	5	1
299	они в	2	1
300	прочим и	1	1
301	войти в	1	1
302	окрашены в	1	1
303	никому не	2	1
304	так например	1	1
305	но все	2	1
306	это конечно	1	1
307	в одну	1	1
308	здесь мы	5	1
309	могла бы	1	1
310	об этой	2	1
311	об этом	1	1
312	или даже	1	1
313	входит в	1	1
314	заключается в	1	1
315	с другими	1	1
316	чтобы он	1	1
317	это не	6	1
318	потому все	1	1
319	уже знаем	2	1
320	остановиться на	1	1
321	в жизни	2	1
322	этого слова	1	1
323	она и	1	1
324	все равно	3	1
325	со своими	2	1
326	не всегда	4	1
327	для чего	1	1
328	друга в	1	1
329	становится и	1	1
330	нет и	1	1
331	еще одну	2	1
332	на одну	2	1
333	такой же	2	1
334	в один	1	1
335	не сам	1	1
336	в царстве	1	1
337	перед собой	1	1
338	что данный	1	1
339	всегда делают	1	1
340	в такой	1	1
341	где мы	1	1
342	просто в	1	1
343	что вся	1	1
344	представление о	3	1
345	в которых	2	1
346	он весь	1	1
347	мы теперь	1	1
348	быта и	1	1
349	нельзя было	1	1
350	огромные размеры	1	1
351	для данного	1	1
352	ко всему	1	1
353	жизни является	1	1
354	превратиться в	1	1
355	и эти	3	1
356	именно по	1	1
357	ним в	1	1
358	вовсе не	2	1
359	даже в	2	1
360	все три	1	1
361	же мы	1	1
362	ему как	2	1
363	не менее	5	1
364	из нас	1	1
365	самого начала	1	1
366	хотелось бы	2	1
367	или другие	1	1
368	ее с	1	1
369	окажется очень	1	1
370	на себе	1	1
371	у кого	1	1
372	образом в	2	1
373	наталкиваемся на	1	1
374	только не	2	1
375	казалось бы	1	1
376	в разных	1	1
377	это то	1	1
378	именно с	1	1
379	с одним	2	1
380	явление в	1	1
381	к ней	4	1
382	связь и	2	1
383	во-вторых что	1	1
384	и сама	1	1
385	очень скоро	1	1
386	что на	4	1
387	однако это	3	1
388	стороны и	3	1
389	нет ни	1	1
390	есть только	2	1
391	могут быть	5	1
392	человека в	1	1
393	как только	2	1
394	который нельзя	1	1
395	что при	1	1
396	и это	2	1
397	как мы	8	1
398	но по	3	1
399	с ее	1	1
400	как не	1	1
401	свою очередь	1	1
402	к общему	1	1
403	на нем	1	1
404	в ее	1	1
405	переходил в	1	1
406	совершенно ясно	1	1
407	живущие в	2	1
408	всегда были	1	1
409	только то	1	1
410	в себя	1	1
411	с самого	1	1
412	роль в	2	1
413	что у	3	1
414	и ту	1	1
415	так и	2	1
416	совершенно различных	1	1
417	значит в	1	1
418	иное как	3	1
419	никак не	1	1
420	одного из	2	1
421	можно сказать	2	1
422	там в	1	1
423	в различных	1	1
424	могут в	1	1
425	с другой	7	1
426	по их	1	1
427	должно было	2	1
428	в согласии	1	1
429	от них	3	1
430	помощи которых	1	1
431	и хочет	1	1
432	следить за	2	1
433	представления о	2	1
434	в русском	2	1
435	происходит в	2	1
436	наконец и	1	1
437	один из	5	1
438	оно и	1	1
439	а если	3	1
440	и дело	1	1
441	с ними	3	1
442	особенно если	1	1
443	только указать	3	1
444	может оказаться	1	1
445	неудивительно что	1	1
446	и давать	1	1
447	они могут	2	1
448	а после	2	1
449	всем мире	1	1
450	в сторону	2	1
451	и у	3	1
452	или не	2	1
453	называет себя	1	1
454	а то	2	1
455	и обратно	1	1
456	дает ему	1	1
457	за ним	3	1
458	к своим	1	1
459	он имеет	1	1
