N	4gram	Voloshinov_1	Narrotol
1	в то же время	1	3
2	мы имеем дело с	1	2
3	но то же самое	1	1
4	и не может быть	1	1
5	слово есть выражение и	1	1
6	о чем говорят героя	1	1
7	выражение и продукт социального	1	1
8	ни в чем не	1	1
9	ком или о чем	1	1
10	есть выражение и продукт	1	1
11	по отношению к которому	1	1
12	позицию по отношению к	1	1
13	с одной стороны и	2	1
14	и продукт социального взаимодействия	1	1
15	того о ком или	1	1
16	о ком или о	1	1
17	в то время как	1	1
18	или о чем говорят	1	1
19	социального взаимодействия трех говорящего	1	1
20	взаимодействия трех говорящего автора	1	1
21	одним и тем же	1	1
22	и того о ком	1	1
23	читателя и того о	1	1
24	продукт социального взаимодействия трех	1	1
