N	2gram	Tiupa_Lite_2	Poddanst
1	не только	8	17
2	и в	19	14
3	и не	11	12
4	в области	4	11
5	в этом	9	10
6	в отношении	1	10
7	в качестве	5	9
8	но в	2	9
9	то же	12	9
10	в том	10	9
11	в пределах	1	8
12	хотя бы	2	8
13	в то	9	7
14	же время	9	7
15	в ней	4	6
16	было бы	2	6
17	но и	10	6
18	быть может	3	6
19	в смысле	1	6
20	отношении к	1	5
21	с другой	8	5
22	может быть	17	5
23	а я	1	5
24	не в	4	5
25	и о	1	5
26	тех кто	4	4
27	а также	2	4
28	в своем	1	4
29	и к	2	4
30	как бы	2	4
31	том что	7	4
32	не может	9	4
33	и потому	1	4
34	в русской	4	4
35	что в	4	4
36	же в	2	4
37	а в	3	4
38	то что	7	4
39	и т	2	3
40	мы не	4	3
41	сводится к	1	3
42	столь же	5	3
43	это не	1	3
44	и как	3	3
45	тот же	2	3
46	с одной	7	3
47	в себе	6	3
48	в нем	3	3
49	в россии	2	3
50	для того	2	3
51	прежде всего	4	3
52	одной стороны	6	3
53	с тем	2	3
54	что мы	1	3
55	россия в	1	3
56	и без	2	3
57	с точки	3	3
58	но не	5	3
59	наряду с	1	3
60	могут быть	2	3
61	тем самым	3	3
62	потому что	2	3
63	точки зрения	4	3
64	в сравнении	2	3
65	сравнении с	2	3
66	я и	4	3
67	отношения к	1	2
68	в сфере	4	2
69	в ее	2	2
70	переход от	1	2
71	в мире	9	2
72	есть не	1	2
73	в сочетании	1	2
74	является в	1	2
75	в глубинах	1	2
76	никак не	1	2
77	во всех	3	2
78	если в	2	2
79	во всей	1	2
80	со стороны	3	2
81	в е	2	2
82	отнюдь не	4	2
83	в русском	2	2
84	пути в	8	2
85	того что	5	2
86	стороны и	1	2
87	есть в	1	2
88	в начале	3	2
89	и других	4	2
90	в его	4	2
91	из них	2	2
92	где бы	1	2
93	не к	2	2
94	и вот	1	2
95	как раз	2	2
96	где в	2	2
97	в статье	1	2
98	и с	3	2
99	именно в	1	2
100	и мы	1	2
101	в жизни	2	2
102	в них	2	2
103	не было	2	2
104	а не	20	2
105	в ряду	1	2
106	хх века	8	2
107	более чем	1	2
108	не столько	3	2
109	в тот	1	2
110	культуры в	1	2
111	для тех	1	2
112	не менее	6	2
113	одна из	5	2
114	мира нового	1	2
115	мысль о	1	2
116	еще более	1	2
117	в перспективе	1	2
118	для нас	2	2
119	исключительно в	1	2
120	в частности	4	2
121	имеет не	1	2
122	в недрах	1	2
123	как на	3	2
124	том числе	2	2
125	же как	2	1
126	которого в	1	1
127	и то	3	1
128	на основе	1	1
129	как по	1	1
130	тем же	3	1
131	в себя	3	1
132	культуры и	1	1
133	культурной традиции	1	1
134	по преимуществу	2	1
135	есть путь	1	1
136	к жизни	2	1
137	культуры на	1	1
138	должна быть	1	1
139	в годы	2	1
140	на нее	1	1
141	на заре	1	1
142	за то	2	1
143	поэзии и	2	1
144	не с	3	1
145	и само	1	1
146	как таковую	1	1
147	еще в	4	1
148	эстетических достоинств	1	1
149	что уже	1	1
150	для этого	2	1
151	гордыня и	1	1
152	в собственном	1	1
153	государства но	1	1
154	находится в	1	1
155	не вполне	2	1
156	пор пока	1	1
157	на себя	2	1
158	с ее	2	1
159	мы и	1	1
