N	2gram	Bakhtin_Fr_8	KFilosof
1	может быть	3	43
2	в его	18	39
3	в нем	8	31
4	не может	2	27
5	и не	9	26
6	по отношению	1	25
7	и в	56	22
8	в себе	4	21
9	отношению к	1	21
10	в котором	2	21
11	в ее	6	17
12	и его	12	17
13	а не	2	17
14	только в	9	16
15	точки зрения	6	13
16	в этом	14	13
17	для него	2	12
18	ни в	2	12
19	и это	1	12
20	но не	5	12
21	все эти	15	11
22	и единственного	1	11
23	к нему	2	11
24	не в	3	11
25	в своей	2	11
26	во всех	8	10
27	это не	2	10
28	с точки	2	10
29	в своем	3	10
30	в едином	3	10
31	все это	8	10
32	и все	6	9
33	и для	2	9
34	но и	9	9
35	в их	3	9
36	и единственном	1	9
37	как бы	11	9
38	жизни и	1	8
39	не было	5	8
40	лишь в	1	8
41	если бы	2	8
42	единого и	1	8
43	едином и	1	8
44	было бы	2	8
45	вовсе не	6	7
46	быть только	1	7
47	и здесь	3	7
48	в себя	1	7
49	то что	3	7
50	во всем	4	7
51	что и	3	7
52	себя в	1	7
53	конечно не	4	7
54	момент в	2	6
55	смысл и	1	6
56	и их	8	6
57	в том	13	6
58	и только	1	6
59	в мире	2	6
60	этот момент	2	6
61	уже не	3	6
62	он не	5	6
63	мира в	1	6
64	но это	2	6
65	не знает	1	5
66	все же	2	5
67	как и	5	5
68	его как	2	5
69	там где	3	5
70	с ним	2	5
71	никогда не	5	5
72	не имеет	1	5
73	в контексте	1	5
74	но ведь	1	5
75	в основе	4	5
76	со всем	1	5
77	именно в	1	5
78	то же	11	5
79	но в	6	5
80	его в	2	5
81	не только	8	5
82	место в	1	4
83	только как	1	4
84	при этом	4	4
85	поскольку мы	1	4
86	в каком	2	4
87	не по	1	4
88	как его	1	4
89	это мир	2	4
90	в одном	2	4
91	а в	2	4
92	для нас	1	4
93	в категориях	1	4
94	места и	1	4
95	что в	5	4
96	здесь мы	3	4
97	мира и	2	4
98	между тем	3	4
99	в чем	1	4
100	времени и	4	4
101	и т.д	3	4
102	не как	2	4
103	ни было	2	4
104	к ним	2	4
105	во всей	2	4
106	в своих	4	4
107	том что	8	4
108	и совершенно	2	3
109	нем и	2	3
110	еще не	10	3
111	в другом	3	3
112	этом смысле	1	3
113	и ни	1	3
114	ибо все	1	3
115	людей и	2	3
116	и тем	1	3
117	тогда когда	1	3
118	к последнему	1	3
119	нет в	1	3
120	но конечно	1	3
121	здесь не	1	3
122	был бы	3	3
123	рядом с	3	3
124	где он	1	3
125	что это	4	3
126	независимо от	1	3
127	мы не	2	3
128	от него	1	3
129	на язык	1	3
130	бы и	2	3
131	того что	1	3
132	из него	1	3
133	здесь нет	3	3
134	на самом	2	3
135	не быть	1	3
136	ее целом	1	3
137	и весь	1	3
138	в современной	1	3
139	в то	12	3
140	только с	1	3
141	для того	2	3
142	тем что	1	3
143	по своему	8	3
144	в виду	1	3
145	всех этих	3	3
146	могут быть	1	3
147	о том	4	3
148	и на	7	3
149	культуры и	2	3
150	до конца	11	3
151	быть и	1	3
152	а следовательно	1	3
153	самом деле	2	3
154	в ней	4	3
155	себе и	2	3
156	войти в	1	2
157	есть на	1	2
158	культура в	1	2
159	же время	10	2
160	вопрос о	1	2
161	бы оно	1	2
162	ее от	1	2
163	бы то	2	2
164	его с	1	2
165	первом плане	1	2
166	прежде всего	6	2
167	этот мир	1	2
168	так и	13	2
169	в виде	2	2
170	него и	1	2
171	его и	1	2
172	вошли в	1	2
173	оценки и	1	2
174	что эта	1	2
175	та же	1	2
176	того чтобы	4	2
177	на нем	1	2
178	подхода к	1	2
179	то ни	2	2
180	все остальное	1	2
181	которой он	1	2
182	с тем	2	2
183	или иным	1	2
184	со всеми	1	2
185	его к	3	2
186	совсем не	2	2
187	и принципиально	1	2
188	это уже	1	2
189	мира как	1	2
190	этих моментов	1	2
191	потому что	6	2
192	конечно в	2	2
193	дело с	1	2
194	чтобы не	1	2
195	кажется что	1	2
196	чтобы стать	2	2
197	мышления как	1	2
198	и конечно	2	2
199	это только	1	2
200	события и	2	2
201	дело не	2	2
202	а как	1	2
203	как в	1	2
204	но этот	1	2
205	именно на	1	2
206	дело здесь	1	2
207	тот же	1	2
208	действительности в	1	2
209	мысль и	1	2
210	дело в	2	2
211	даны в	1	2
212	еще более	1	2
213	и потому	4	2
214	вся эта	2	2
215	к которой	1	2
216	события так	2	2
217	что значит	1	2
218	ему в	1	2
219	живы в	2	2
220	для этого	1	2
221	и она	1	2
222	слова в	1	2
223	этого слова	1	2
224	из нее	2	2
225	и других	4	2
226	в этой	6	2
227	и та	1	2
228	тому что	1	2
229	не потому	2	2
230	место и	1	2
231	предмет и	1	2
232	и смерти	1	2
233	в процессе	5	2
234	в теоретическом	1	2
235	как к	2	2
236	что за	1	2
237	не нужно	1	2
238	в качестве	4	2
239	и эта	2	2
240	с его	5	2
241	смыслу и	2	2
242	я уже	1	2
243	и эти	2	2
244	в области	5	2
245	не из	1	2
246	его жизни	2	2
247	к этому	2	2
248	что он	2	2
249	в ту	4	2
250	и то	2	2
251	ни был	1	2
252	сознания как	1	2
253	или иной	1	2
254	на волю	3	2
255	и свой	1	2
256	а с	1	2
257	все остальные	2	2
258	и как	2	2
259	она могла	1	2
260	он и	2	2
261	всей его	1	2
262	той или	2	2
263	в данном	2	2
264	известном смысле	1	1
265	всех великих	1	1
266	и из	1	1
267	точек зрения	2	1
268	что между	1	1
269	в которой	4	1
270	главным образом	3	1
271	он стремится	1	1
272	и иных	1	1
273	образом и	3	1
274	в значительной	2	1
275	на его	6	1
276	оказался в	1	1
277	и с	8	1
278	же не	1	1
279	ибо он	1	1
280	и наконец	3	1
281	это лишь	1	1
282	т.п но	1	1
283	большинстве случаев	6	1
284	только со	1	1
285	можно сказать	2	1
286	вместе с	2	1
287	за исключением	1	1
288	но он	3	1
289	с разных	1	1
290	в литературе	3	1
291	действия в	1	1
292	мир и	2	1
293	того же	1	1
294	на том	1	1
295	если оно	1	1
296	этих последних	1	1
297	шире и	1	1
298	в один	1	1
299	на характер	1	1
300	и удержать	1	1
301	значение для	1	1
302	правда не	1	1
303	не к	1	1
304	это слово	1	1
305	уходят в	1	1
306	существенный момент	1	1
307	и ее	4	1
308	в живой	1	1
309	но при	1	1
310	он становится	2	1
311	здесь как	2	1
312	к другим	1	1
313	такие которые	1	1
314	и современная	1	1
315	мы найдем	2	1
316	большому целому	1	1
317	так чтобы	1	1
318	ее основных	1	1
319	а именно	1	1
320	гораздо более	1	1
321	связь с	3	1
322	лежат в	1	1
323	одновременно и	1	1
324	в ткань	1	1
325	бы что	1	1
326	было он	1	1
327	одного и	1	1
328	возведена на	1	1
329	настоящее время	3	1
330	в большинстве	7	1
331	конечно и	3	1
332	как раз	2	1
333	и так	1	1
334	бы ни	1	1
335	а скорее	1	1
336	и во	2	1
337	но мы	1	1
338	нового времени	2	1
339	и сама	1	1
340	это в	2	1
341	включает в	1	1
342	картина мира	2	1
343	то есть	24	1
