N	2gram	Losev_Dial_1	Vladivir
1	вл соловьев	1	127
2	и в	18	40
3	то что	13	28
4	не только	13	25
5	и не	30	25
6	учение о	11	24
7	у него	1	24
8	то есть	1	24
9	том что	9	18
10	в том	9	18
11	но и	7	18
12	еще и	3	18
13	также и	7	17
14	что в	13	17
15	в этом	12	16
16	в его	3	14
17	так что	15	14
18	не может	12	14
19	в виде	2	13
20	точки зрения	17	13
21	вовсе не	7	13
22	только в	3	13
23	в конце	4	12
24	даже и	3	12
25	а именно	1	12
26	сказать что	10	12
27	никогда не	9	11
28	потому что	14	11
29	таким образом	1	11
30	о том	4	11
31	не просто	7	10
32	ни в	15	10
33	тем не	1	10
34	и его	1	10
35	то это	4	10
36	не есть	40	10
37	прежде всего	10	10
38	как раз	4	10
39	и потому	3	10
40	это есть	9	10
41	и то	9	9
42	уже не	2	9
43	что это	11	9
44	в себе	11	9
45	и с	5	9
46	в своей	2	9
47	не менее	2	9
48	есть только	5	9
49	что же	3	9
50	как мы	4	8
51	в своем	5	8
52	в этой	1	8
53	он не	3	8
54	не был	2	8
55	и что	12	8
56	а также	1	8
57	раз и	2	8
58	для него	2	8
59	может быть	17	8
60	а не	14	8
61	так же	4	8
62	а только	3	7
63	же с	1	7
64	хотя и	4	7
65	и как	7	7
66	и если	1	7
67	что все	1	7
68	как и	2	7
69	несмотря на	10	7
70	в то	6	7
71	что и	3	7
72	того что	2	7
73	так как	11	7
74	вместе с	1	7
75	к тому	4	7
76	а в	5	7
77	оно есть	2	6
78	кроме того	1	6
79	то в	7	6
80	не будет	1	6
81	с точки	12	6
82	по себе	25	6
83	иной раз	2	6
84	во всем	2	6
85	и это	2	6
86	и от	2	6
87	так и	9	6
88	об этом	4	6
89	почему же	1	6
90	значит что	14	6
91	и даже	13	6
92	если не	1	6
93	да и	6	6
94	это значит	11	6
95	но это	8	6
96	хотя бы	6	6
97	отношения к	3	5
98	мы уже	1	5
99	в ней	3	5
100	совсем не	1	5
101	отнюдь не	9	5
102	более или	3	5
103	все эти	2	5
104	тоже не	2	5
105	тому же	2	5
106	содержит в	3	5
107	можно было	5	5
108	же касается	1	5
109	должно быть	3	5
110	или менее	3	5
111	но если	5	5
112	в отношении	5	5
113	дело в	1	5
114	для нас	1	5
115	ничего не	17	5
116	только и	4	5
117	ничего общего	4	5
118	еще в	1	5
119	с другой	6	5
120	конце концов	3	5
121	что он	11	5
122	только на	3	5
123	не говорит	4	5
124	не было	6	5
125	в данном	3	5
126	между прочим	1	5
127	никакого отношения	1	5
128	в самом	3	4
129	то же	10	4
130	что если	2	4
131	и о	3	4
132	вопрос о	2	4
133	но даже	1	4
134	учение об	3	4
135	еще не	2	4
136	но не	4	4
137	то он	2	4
138	все же	5	4
139	но в	6	4
140	бы и	2	4
141	на то	5	4
142	есть все	1	4
143	было бы	12	4
144	такой же	2	4
145	в котором	4	4
146	даже в	3	4
147	тому что	3	4
148	не имеет	15	4
149	учения о	2	4
150	или как	1	4
151	в каком	8	4
152	то время	1	4
153	в дальнейшем	5	4
154	не с	5	4
155	мог бы	2	4
156	никак не	6	4
157	и можно	1	4
158	если мы	2	4
159	при помощи	1	4
160	от того	1	4
161	здесь в	2	4
162	а с	2	4
163	говорит о	5	4
164	и все	3	4
165	как это	4	4
166	по существу	1	4
167	указать на	1	4
168	в результате	1	4
169	возникает вопрос	1	4
170	мы должны	5	4
171	есть и	5	4
172	точно так	2	4
173	же как	2	3
174	на самом	3	3
175	мы имеем	2	3
176	своей философии	1	3
177	и тут	3	3
178	я не	5	3
179	которое в	2	3
180	здесь не	1	3
181	в чем	6	3
182	заметим что	1	3
183	перед нами	1	3
184	и у	2	3
185	уже в	1	3
186	из этих	2	3
187	с их	1	3
188	в нем	16	3
189	при этом	1	3
190	раз навсегда	1	3
191	является не	2	3
192	но все	3	3
193	в качестве	2	3
194	это было	2	3
195	это не	9	3
196	этом смысле	3	3
197	не прямо	1	3
198	далеко не	1	3
199	этого не	1	3
200	в я	1	3
201	не больше	2	3
202	нисколько не	4	3
203	не в	6	3
204	того чтобы	1	3
205	и притом	4	3
206	тех кто	2	3
207	в духе	1	3
208	отличается от	2	3
209	всегда есть	2	3
210	оно не	1	3
211	него как	1	3
212	в абсолютном	1	3
213	в виду	5	3
214	с каким	1	3
215	то как	3	3
216	жизнь и	3	3
217	если бы	12	3
218	и вообще	4	3
219	к нему	8	3
220	что здесь	2	3
221	как нечто	1	3
222	и весьма	1	3
223	и тем	1	3
224	с одной	2	3
225	вот что	1	3
226	и чисто	1	3
227	ни с	6	3
228	был бы	1	3
229	не так	1	3
230	всяком случае	2	3
231	само по	5	3
232	и только	1	3
233	самого же	1	3
234	даже не	3	3
235	именно в	2	3
236	в связи	1	3
237	как именно	1	3
238	и вовсе	1	3
239	одной стороны	2	3
240	как бы	11	3
241	же самое	1	3
242	но для	1	3
243	и для	2	3
244	нельзя сказать	1	3
245	собственно говоря	4	3
246	или не	5	3
247	но вот	3	3
248	только о	1	3
249	и эта	2	3
