N	2gram	Bakhtin_KF_1	NovoeSre
1	а не	17	17
2	и в	24	16
3	не может	27	16
4	совсем не	2	12
5	нового времени	1	12
6	и не	26	11
7	и есть	9	10
8	что в	4	9
9	как не	1	8
10	в том	6	8
11	жизни и	8	8
12	он не	6	8
13	культуры и	5	7
14	в этом	14	7
15	может быть	45	7
16	не будет	2	7
17	как и	5	7
18	это есть	2	7
19	средние века	1	7
20	с его	1	6
21	не в	12	6
22	ни в	12	6
23	никогда не	5	6
24	лишь в	8	6
25	но это	6	6
26	не знает	5	6
27	должен быть	7	5
28	с ее	2	5
29	мы живем	1	5
30	в ней	3	5
31	культуры в	1	5
32	и к	1	5
33	не только	5	5
34	в жизни	2	5
35	все это	10	5
36	в нем	28	5
37	со всех	1	4
38	о том	3	4
39	всех сторон	1	4
40	и мы	2	4
41	наше время	1	4
42	в час	3	4
43	перестает быть	1	4
44	то что	7	4
45	это не	10	4
46	прежде всего	2	4
47	не было	8	4
48	должно быть	6	4
49	есть лишь	5	4
50	и потому	2	4
51	по своему	3	4
52	значит что	1	4
53	не менее	3	4
54	и для	9	4
55	не имеет	5	4
56	и все	7	4
57	потому что	2	4
58	смысле слова	1	3
59	в ее	16	3
60	в средние	1	3
61	должна быть	4	3
62	вопрос о	2	3
63	и начало	1	3
64	еще не	4	3
65	во всех	11	3
66	в истории	1	3
67	как в	2	3
68	конечно не	7	3
69	не значит	6	3
70	к ним	4	3
71	в мире	6	3
72	но и	9	3
73	это было	2	3
74	не есть	20	3
75	и пр	3	3
76	с тем	2	3
77	в своей	10	3
78	она не	1	3
79	не существует	1	3
80	жизни не	1	3
81	в основе	5	3
82	жизни в	5	3
83	в духе	1	3
84	к тому	1	3
85	и это	12	2
86	более не	1	2
87	и индивидуальности	1	2
88	это и	2	2
89	не имеют	1	2
90	ведь и	1	2
91	так и	2	2
92	времени и	4	2
93	мы не	3	2
94	мира и	4	2
95	и с	1	2
96	для этого	2	2
97	я не	6	2
98	жизни как	5	2
99	и должно	1	2
100	и на	3	2
101	в религии	1	2
102	быть в	4	2
103	истории а	1	2
104	но не	12	2
105	с этим	1	2
106	помнить что	1	2
107	прав на	1	2
108	ни к	2	2
109	хотя и	1	2
110	но в	5	2
111	все эти	10	2
112	себя в	8	2
113	думать что	2	2
114	в себе	21	2
115	права и	1	2
116	уже не	7	2
117	политики и	1	2
118	не к	1	2
119	что она	1	2
120	что все	1	2
121	нет и	3	2
122	и даже	1	2
123	и т.п	1	2
124	этом смысле	3	2
125	бытия в	5	2
126	зависит от	1	2
127	и было	1	2
128	но я	2	2
129	том что	4	2
130	вместе с	1	2
131	я уже	2	2
132	мы говорим	1	2
133	место в	5	2
134	к содержанию	2	2
135	мысли и	1	2
136	мир и	1	2
137	ни одна	2	2
138	этот мир	2	2
139	как это	1	2
140	такой же	1	2
141	но для	2	2
142	равно как	1	2
143	в смысле	6	2
144	в то	3	2
145	одна из	1	2
146	мысли в	1	2
147	того чтобы	2	2
148	и от	1	2
149	и весь	2	2
150	хотя бы	4	2
151	все они	1	2
152	познания и	4	2
153	а в	4	2
154	ли это	2	2
155	когда мы	1	2
156	могут быть	3	2
157	в категориях	4	2
158	и культуры	1	2
159	нужно помнить	1	1
160	оно может	1	1
161	ни одно	5	1
162	бытия а	3	1
163	для себя	5	1
164	он может	2	1
165	к таким	1	1
166	средних веков	1	1
167	характер и	1	1
168	чтобы быть	2	1
169	он находится	1	1
170	этого мира	3	1
171	приводит к	1	1
172	и до	1	1
173	культуры на	1	1
174	и мысли	1	1
175	и этот	3	1
176	стремится быть	1	1
177	с собой	1	1
178	мы уже	1	1
179	не с	1	1
180	и религии	1	1
181	все свои	1	1
182	вся полнота	1	1
183	мир не	1	1
184	жить только	1	1
185	философии жизни	2	1
186	приобщается к	2	1
187	с ним	5	1
188	можно сказать	1	1
189	смысле и	2	1
190	говорить о	2	1
191	суждения не	1	1
192	как я	1	1
193	только так	1	1
194	не был	1	1
195	в виду	3	1
196	зависимости от	1	1
197	жизни это	1	1
198	на нем	2	1
199	освобождения от	1	1
200	себя а	4	1
201	в чем	4	1
202	и мира	1	1
203	не могу	3	1
204	других людей	1	1
205	и во	1	1
206	была лишь	1	1
207	все в	1	1
208	к нему	12	1
209	нем не	1	1
210	пути ее	1	1
211	только изнутри	6	1
212	черты и	1	1
213	в его	40	1
214	внутри познания	1	1
215	менее всего	6	1
216	но нет	2	1
217	это предполагает	1	1
218	к своеобразному	1	1
219	себе и	3	1
220	и только	6	1
221	я исхожу	1	1
222	значение для	1	1
223	но внутри	1	1
224	уже во	1	1
225	и она	2	1
226	вся жизнь	1	1
227	святой и	1	1
228	в значительной	1	1
229	в своем	16	1
230	известном смысле	1	1
231	жизни его	1	1
232	материальные и	1	1
233	к последнему	3	1
234	что он	2	1
235	в каком-то	1	1
236	только в	16	1
237	во всем	7	1
238	по своей	1	1
239	от этого	2	1
240	в этот	1	1
241	в самом	1	1
242	к чему	3	1
243	мыслить как	1	1
244	перестал быть	2	1
245	и жизни	4	1
246	но будет	1	1
247	в известном	1	1
248	же и	1	1
249	но во	1	1
250	мира но	4	1
251	к единству	1	1
252	в большинстве	1	1
253	истины не	1	1
254	есть проблема	1	1
255	человек не	2	1
256	философия не	3	1
257	быть таким	1	1
258	него и	1	1
259	большинстве случаев	1	1
260	все другие	1	1
261	она становится	1	1
262	мир в	11	1
263	истина не	1	1
264	для того	3	1
265	и их	6	1
266	всяком случае	1	1
267	и когда	2	1
268	нуждается в	1	1
269	слова в	2	1
270	жизнью и	1	1
271	будет знать	1	1
272	не для	1	1
273	но ведь	5	1
274	друг друга	1	1
275	бытия и	10	1
276	мысли как	1	1
277	другого мира	1	1
278	которые могут	1	1
279	всех своих	4	1
280	людей и	2	1
281	тем что	3	1
282	к той	1	1
283	от того	3	1
284	ее жизни	3	1
285	но все	5	1
286	значительной степени	1	1
287	это значит	1	1
288	о словах	1	1
289	том случае	1	1
290	во власти	1	1
291	из всех	1	1
292	а по	2	1
293	говорим о	1	1
294	и из	1	1
295	красота и	1	1
296	на ее	1	1
297	который и	1	1
298	было бы	8	1
299	в каких	1	1
300	он есть	1	1
301	мыслить в	1	1
302	а это	2	1
303	весь мир	2	1
304	было и	2	1
305	котором и	3	1
306	лишь по	1	1
307	себя и	2	1
308	что не	3	1
309	говорят об	1	1
310	но оно	1	1
311	их не	1	1
312	этого она	1	1
313	превращается в	1	1
314	нет в	4	1
315	мир все	1	1
316	политика в	1	1
317	они не	1	1
318	в этой	2	1
319	ничем не	1	1
320	этого не	1	1
321	всю жизнь	1	1
322	этих терминов	1	1
323	и переживает	1	1
324	жизнь в	1	1
325	не быть	3	1
326	он стремится	1	1
327	отказаться от	2	1
328	человеческой жизни	1	1
329	что мы	1	1
330	всех великих	1	1
331	и того	2	1
332	ближе к	3	1
333	он и	2	1
334	который я	1	1
335	одного и	1	1
336	истории для	1	1
337	в эту	1	1
338	в этих	1	1
339	может иметь	2	1
340	уже давно	1	1
341	возможности в	2	1
342	жизнь не	1	1
343	она сама	1	1
344	человек а	1	1
345	до этого	1	1
346	окончательно в	1	1
347	к себе	2	1
348	в котором	24	1
349	только для	1	1
350	и мир	2	1
351	не должно	3	1
352	в зависимости	1	1
353	в бытие	1	1
354	но сам	1	1
355	оно должно	1	1
356	но он	1	1
357	творчества и	1	1
358	быть только	8	1
359	эту мысль	1	1
360	в мир	1	1
361	исхожу из	1	1
362	мы должны	1	1
363	есть еще	1	1
364	их в	1	1
365	что этот	3	1
366	есть мир	1	1
367	том смысле	1	1
368	быть не	2	1
369	по себе	2	1
370	сам этот	2	1
371	есть всегда	1	1
372	в это	2	1
373	и очень	1	1
374	так как	1	1
375	к такой	1	1
376	и развивается	2	1
377	мира не	3	1
378	быть признан	1	1
379	она могла	2	1
380	есть принцип	1	1
381	должны быть	1	1
382	не по	4	1
383	это уже	2	1
384	за его	1	1
385	ей придется	1	1
386	и имеет	1	1
387	из их	1	1
388	этого конечно	1	1
389	жизни этих	1	1
390	а к	1	1
391	вся культура	1	1
392	бытию не	1	1
393	всего что	1	1
394	а во	1	1
395	бы он	2	1
396	или нет	1	1
397	к ней	1	1
398	изнутри и	1	1
399	и его	17	1
400	или не	1	1
401	уже нет	1	1
402	они будут	1	1
403	для другого	2	1
404	быть понята	1	1
405	вступает в	3	1
406	смысле в	2	1
407	в области	2	1
408	нет ничего	1	1
409	в каком	4	1
410	в свою	3	1
411	для решения	1	1
412	экономический материализм	1	1
413	бытия как	5	1
414	но можно	4	1
415	того же	1	1
416	вступить в	1	1
417	жизни а	1	1
418	выход из	2	1
419	есть только	1	1
420	во все	1	1
421	оставить в	1	1
422	и всех	1	1
423	в которой	1	1
424	мысли но	1	1
425	эти слова	1	1
426	в живого	1	1
427	т.е к	1	1
428	во всяком	1	1
429	социальные и	1	1
430	я могу	5	1
431	оно не	2	1
432	который не	1	1
433	но сама	1	1
434	все что	1	1
435	него как	1	1
