N	3gram	Vinokur_St_2	PoTuStor
1	с точки зрения	2	6
2	на самом деле	1	4
3	с самого начала	3	4
4	в этом смысле	1	3
5	до сих пор	5	3
6	по сравнению с	1	3
7	во всяком случае	3	3
8	так же как	3	2
9	в самом деле	2	2
10	о том что	11	2
11	и в этом	2	2
12	предположение о том	1	1
13	оставляет никаких сомнений	1	1
14	в главном в	1	1
15	было связано с	1	1
16	дело в том	4	1
17	если б он	1	1
18	чего же более	1	1
19	бы то ни	2	1
20	в этом отношении	9	1
21	совершенно так же	2	1
22	вместе с тем	5	1
23	в данном случае	1	1
24	то ни было	2	1
25	в высшей степени	1	1
26	никаких сомнений в	1	1
27	в связи с	1	1
28	очень близко к	1	1
29	каких бы то	1	1
30	всяком случае не	2	1
31	с нею и	1	1
32	но вместе с	1	1
33	в свое время	1	1
34	в том что	16	1
35	на вопрос о	1	1
36	ли все это	1	1
37	и пр в	1	1
38	из того же	1	1
39	так и в	2	1
40	прежде всего к	1	1
41	из этих принципов	1	1
42	не оставляет никаких	1	1
43	по его мнению	1	1
44	что до меня	1	1
45	том смысле какой	1	1
46	и быть не	1	1
47	в том смысле	2	1
48	и что он	1	1
49	для того чтобы	5	1
