N	3gram	Tiupa_Hudo_1	TeoriaLi
1	по отношению к	9	8
2	кадров внутреннего зрения	3	7
3	в отличие от	7	7
4	я в мире	6	7
5	присутствия я в	5	6
6	в том что	7	6
7	то же время	5	6
8	в то же	5	6
9	присутствия в мире	6	5
10	роли в миропорядке	4	5
11	так и не	4	5
12	не сводится к	5	5
13	того или иного	3	5
14	порядка в душе	4	4
15	состоит в том	5	4
16	более или менее	5	4
17	в конечном счете	5	4
18	порядок в душе	3	3
19	ни в мире	3	3
20	в своем составе	1	3
21	эстетическое отношение к	3	3
22	а всего лишь	1	3
23	с другой стороны	5	3
24	тем не менее	3	3
25	читателя зрителя слушателя	3	3
26	можно сказать что	3	3
27	в свою очередь	2	3
28	той или иной	4	3
29	в этом смысле	3	3
30	в порядке образующем	2	2
31	по своей природе	2	2
32	и того же	2	2
33	и некоторые иные	2	2
34	в сочетании с	1	2
35	организации художественного текста	3	2
36	в этом мире	2	2
37	организации художественного произведения	1	2
38	он тем не	2	2
39	в данный момент	2	2
40	что в основе	2	2
41	и не могло	2	2
42	всех без исключения	3	2
43	они хотят и	1	2
44	мы имеем дело	2	2
45	объективной предпосылкой эстетического	2	2
46	что в имени	2	2
47	композиционных форм высказывания	2	2
48	в слове о	2	2
49	личностного присутствия в	2	2
50	в соответствии с	1	2
51	причастной вненаходимости бахтин	2	2
52	не следует смешивать	3	2
53	относительно своей роли	1	2
54	так и его	1	2
55	своей природе суть	1	2
56	как способ духовного	1	2
57	расположилось в порядке	2	2
58	в имени тебе	2	2
59	все расположилось в	2	2
60	того же персонажа	1	2
61	следует смешивать с	3	2
62	с точки зрения	3	2
63	потребности и способности	2	2
64	читателя в читателя	2	2
65	тот или иной	2	2
66	в стилистическом отношении	2	2
67	типа эстетического завершения	2	2
68	при этом что	1	2
69	и позволяет говорить	1	2
70	как элемента эстетической	2	2
71	его эстетической доминантой	2	2
72	в качестве текста	2	2
73	отношению к герою	2	2
74	рамках одного текста	1	2
75	в структуре текста	2	2
76	личности со своей	1	2
77	но он не	2	2
78	позволяет говорить о	1	2
79	в читателя концепированного	2	2
80	в рамках одного	1	2
81	ведет по пути	2	2
82	первичной знаковой системы	3	2
83	в противном случае	2	2
84	значении этого слова	2	2
85	во всех подобных	2	2
86	сегментов текста как	2	2
87	о полку игореве	2	2
88	стихотворении пушкина что	2	2
89	мы легко догадываемся	2	2
90	войне и мире	2	2
91	тогда как в	1	2
92	не могло быть	2	2
93	в самом начале	1	2
94	в рамках которого	2	2
95	всех подобных случаях	2	2
96	предпосылкой эстетического отношения	2	2
97	элемента эстетической реальности	2	2
98	обрубленными ногами и	1	2
99	с одной стороны	2	2
100	не в самом	2	2
101	и то же	3	2
102	в равной степени	2	2
103	мастера и маргариты	2	2
104	в единое целое	2	2
105	пушкина что в	2	2
106	а с другой	2	2
107	суть то что	1	2
