N	3gram	Tiupa_Hudo_1	Morfolog
1	в этих случаях	1	13
2	в этом случае	1	9
3	в связи с	1	8
4	не может быть	3	8
5	подобно тому как	1	5
6	по отношению к	9	4
7	с точки зрения	3	4
8	тем не менее	3	4
9	с другой стороны	5	4
10	может быть названо	2	3
11	как и в	1	3
12	не могут быть	1	3
13	с одной стороны	2	2
14	в таких случаях	1	2
15	в иных случаях	1	2
16	тем и другим	1	2
17	может быть и	2	2
18	для того чтобы	2	2
19	в том что	7	2
20	на первый взгляд	1	2
21	состоит в том	5	2
22	в то время	1	2
23	в настоящее время	1	2
24	более или менее	5	2
25	к чему не	1	2
26	ни к чему	1	2
27	точно так же	1	2
28	во всех подобных	2	1
29	который может быть	1	1
30	на свое место	1	1
31	таким образом что	1	1
32	в таком случае	1	1
33	в то же	5	1
34	в том случае	1	1
35	бы то ни	1	1
36	ни в коем	2	1
37	в одном случае	1	1
38	что они хотят	1	1
39	можно сказать что	3	1
40	бы они ни	1	1
41	эти могут быть	1	1
42	с ними и	1	1
43	то что они	1	1
44	в противном случае	2	1
45	иметь в виду	1	1
46	в качестве его	1	1
47	дело не в	1	1
48	они ни были	1	1
49	к тому что	2	1
50	во всей своей	1	1
51	о том что	1	1
52	том случае если	1	1
53	и то же	3	1
54	том что он	1	1
55	в коем случае	2	1
56	для героя и	1	1
57	а в другом	1	1
58	соединению с другими	1	1
59	не что иное	1	1
60	в лес но	1	1
61	той или иной	4	1
62	мы имеем в	3	1
63	из этих двух	1	1
64	то же время	5	1
65	есть не что	1	1
66	в том или	1	1
67	она могла бы	1	1
68	коем случае не	2	1
69	что иное как	1	1
70	не входит в	1	1
71	всех подобных случаях	2	1
72	одно и то	3	1
73	может быть определен	1	1
74	это было бы	1	1
75	как бы в	1	1
76	это необходимо для	1	1
77	во втором случае	1	1
