N	3gram	Ircho_Kome_1	EvropaiE
1	в то же	4	15
2	то же время	4	14
3	в отношении к	1	12
4	с одной стороны	3	8
5	в том что	9	6
6	с этой точки	1	5
7	так же как	1	5
8	этой точки зрения	1	5
9	для того чтобы	1	5
10	бы то ни	2	4
11	не только в	1	4
12	то ни было	2	4
13	же как и	1	3
14	в этом отношении	3	3
15	можно было бы	1	3
16	в применении к	1	3
17	во всяком случае	2	3
18	и прежде всего	1	3
19	или хотя бы	1	2
20	не говоря уже	2	2
21	в данном случае	1	2
22	с другой стороны	5	2
23	в одном из	4	2
24	на то что	2	2
25	друг от друга	1	2
26	во второй половине	2	2
27	в большинстве случаев	1	2
28	как мы видели	1	2
29	не находим в	1	1
30	хотя и не	1	1
31	следует отметить что	1	1
32	из всего этого	2	1
33	в аттику и	1	1
34	другой стороны в	1	1
35	о том насколько	2	1
36	чуть ли не	1	1
37	то наше внимание	1	1
38	более или менее	1	1
39	большей или меньшей	1	1
40	в тех случаях	1	1
41	в соответствии с	1	1
42	в том же	1	1
43	что же касается	1	1
44	и не только	1	1
45	совершенно очевидно что	1	1
46	говоря уже о	2	1
47	представление о том	1	1
48	в отличие от	1	1
49	в свою пользу	1	1
50	но и в	2	1
51	тех случаях когда	1	1
52	друг другу их	1	1
53	в этот период	1	1
54	в силу этого	1	1
55	и по своей	1	1
56	между тем с	1	1
57	к сожалению не	1	1
58	на этот раз	1	1
59	и тот же	1	1
60	смысле этого слова	1	1
61	только в виде	1	1
62	в значительной степени	1	1
63	за тем как	2	1
64	то время как	4	1
65	о которых мы	1	1
66	в стороне от	1	1
67	мы не находим	1	1
68	что и сам	1	1
69	не означает что	1	1
70	в то время	5	1
71	именно с этой	1	1
72	же время для	1	1
73	именно потому что	2	1
74	речь идет о	3	1
75	и насколько можно	1	1
76	из составных частей	1	1
77	в том числе	1	1
78	к тому что	1	1
79	или вовсе не	1	1
80	насколько можно судить	1	1
81	на то чтобы	1	1
82	к тому же	5	1
83	независимо от того	1	1
84	и т д	4	1
