1	но в то же	2	3
2	в то же время	3	3
3	так же как и	2	2
4	в том числе и	2	2
5	с другой стороны и	1	1
6	в большей или меньшей	1	1
7	не только может быть	1	1
8	иначе и быть не	1	1
9	нет и не может	2	1
10	одной и той же	2	1
11	одного и того же	5	1
12	с точки зрения ее	1	1
13	уже с самого начала	1	1
14	если бы они были	1	1
15	и не может быть	4	1
16	и с точки зрения	1	1
17	жизни в ее целом	1	1
18	сама по себе лишена	1	1
19	не значит конечно что	1	1
20	в чем же по	1	1
21	лишь с точки зрения	2	1
22	это не значит конечно	1	1
