N	2gram	Vinokur_St_1	Problema
1	то есть	2	46
2	в его	9	43
3	и не	16	42
4	и в	44	38
5	не может	8	27
6	может быть	15	26
7	как бы	4	22
8	по отношению	3	21
9	отношению к	3	19
10	и с	3	17
11	и его	8	16
12	в этом	21	15
13	в нем	5	15
14	и т	30	14
15	только в	10	13
16	т п	9	13
17	прежде всего	7	13
18	но не	3	12
19	за пределы	2	12
20	художественного произведения	1	11
21	во всех	8	11
22	в области	14	11
23	ни в	3	11
24	и для	3	11
25	отношение к	2	10
26	таким образом	7	10
27	к нему	2	10
28	не только	18	9
29	не имеет	4	9
30	его в	2	9
31	но и	10	9
32	входит в	1	8
33	было бы	17	8
34	точки зрения	11	8
35	место в	1	8
36	в том	36	8
37	и др	1	8
38	то что	18	8
39	еще не	3	7
40	в самом	7	7
41	вообще не	2	7
42	в плане	1	7
43	как и	9	7
44	не в	12	7
45	как мы	1	7
46	с другой	9	7
47	между тем	3	7
48	отметить что	2	7
49	слова в	1	7
50	совершенно не	5	7
51	в своей	6	7
52	что в	30	7
53	отношения к	2	6
54	самом деле	11	6
55	на основе	1	6
56	там где	5	6
57	в м	2	6
58	не всегда	2	6
59	с точки	8	6
60	и этим	1	6
61	можно только	1	6
62	ничего не	2	6
63	дело с	2	6
64	все же	8	6
65	а в	17	6
66	в своем	2	5
67	все эти	5	5
68	при этом	2	5
69	то же	5	5
70	это не	8	5
71	в них	1	5
72	далеко не	1	5
73	так и	9	5
74	произведения в	2	5
75	в основе	3	5
76	и о	1	5
77	никогда не	5	5
78	конечно не	2	5
79	дело и	1	5
80	не на	1	5
81	а не	16	5
82	могут быть	5	5
83	на самом	6	4
84	должна быть	3	4
85	конечно и	3	4
86	в виду	1	4
87	в ней	3	4
88	как в	13	4
89	но в	10	4
90	в нашем	1	4
91	в себе	2	4
92	в данном	14	4
93	не менее	5	4
94	но они	1	4
95	тем самым	2	4
96	о значении	3	4
97	в то	9	4
98	должны быть	3	4
99	в ее	4	4
100	данном случае	6	4
101	можно было	13	4
102	о том	17	4
103	которых мы	1	4
104	от всех	1	4
105	всех его	1	4
106	в других	2	4
107	в форме	1	4
