N	2gram	Trubetskoy_1	Russkaja
1	не может	4	22
2	и не	8	19
3	в том	11	17
4	в этом	15	17
5	и в	26	14
6	с другом	5	14
7	друг с	5	14
8	то что	7	13
9	то же	4	11
10	точки зрения	13	11
11	таким образом	22	11
12	в то	4	10
13	же время	2	10
14	но и	9	10
15	в себе	6	9
16	не только	10	9
17	том что	7	9
18	с точки	6	9
19	может быть	10	9
20	во всяком	6	9
21	того чтобы	5	8
22	прежде всего	2	8
23	русской интеллигенции	2	8
24	как на	8	8
25	самом деле	1	7
26	и если	3	7
27	к богу	3	7
28	и с	10	7
29	в данном	1	7
30	к тому	6	7
31	стремление к	1	7
32	о том	6	7
33	мы должны	6	7
34	ни к	1	7
35	если в	3	6
36	в своем	3	6
37	и к	5	6
38	в россии	2	6
39	с тем	18	6
40	в своих	1	6
41	и при	3	6
42	признать что	2	6
43	если бы	3	6
44	все это	6	6
45	и для	5	6
46	для того	5	6
47	что он	4	6
48	всяком случае	6	6
49	для всех	2	6
50	для него	3	6
51	а между	1	5
52	и на	2	5
53	между собой	1	5
54	во всех	2	5
55	на то	2	5
56	в нем	4	5
57	при этом	3	5
58	он не	4	5
59	он должен	1	5
60	было бы	1	5
61	в своей	1	5
62	никогда не	5	5
63	данного народа	1	5
64	потому что	7	5
65	между тем	2	5
66	а потому	1	5
67	и только	4	5
68	только в	4	5
69	хотя бы	3	5
70	конечно не	2	5
71	или иной	2	5
72	до сих	5	5
73	из которых	4	5
74	по существу	2	5
75	сих пор	5	5
76	а в	4	5
77	смотреть на	2	4
78	бы то	2	4
79	но не	8	4
80	себя в	1	4
81	все же	6	4
82	более или	5	4
83	не в	2	4
84	в этой	4	4
85	в корне	1	4
86	на земле	1	4
87	то ни	2	4
88	его в	1	4
89	как и	1	4
90	или менее	5	4
91	в их	1	4
92	тогда когда	2	4
93	ли это	2	4
94	не могут	2	4
95	при таких	1	4
96	приводит к	2	4
97	идет речь	1	4
98	в мире	5	4
99	и т.д	6	4
100	путь к	3	4
101	в его	5	4
102	так как	9	4
103	вместе с	15	4
104	как бы	12	4
