N	2gram	Berdyaev_V_1	VLabPisa
1	в этом	4	26
2	и в	16	25
3	и т	2	24
4	не только	2	22
5	может быть	1	21
6	хотя бы	3	20
7	и не	20	19
8	т д	2	15
9	в его	4	15
10	в процессе	1	14
11	в том	3	13
12	прежде всего	2	13
13	как это	1	12
14	все это	5	12
15	вот что	1	11
16	с другой	1	11
17	не могут	2	10
18	то же	1	9
19	что в	3	9
20	по этому	3	9
21	для него	2	9
22	но и	5	9
23	к этому	1	9
24	в своем	1	8
25	все эти	3	8
26	по словам	1	8
27	другой стороны	1	8
28	могут быть	2	8
29	во всех	3	7
30	как и	4	7
31	том что	2	7
32	говорит о	1	7
33	не было	3	7
34	а не	7	7
35	вместе с	1	7
36	в нем	4	6
37	это не	2	6
38	их в	3	6
39	так и	4	6
40	между тем	2	6
41	бы и	3	6
42	у него	1	6
43	то что	9	6
44	и есть	4	5
45	в их	1	5
46	зависимости от	1	5
47	все же	1	5
48	не в	3	5
49	тому что	3	5
50	один из	2	5
51	он говорит	1	5
52	как бы	5	5
53	в результате	1	5
54	только в	2	5
55	в искусстве	1	5
56	их и	1	4
57	с его	3	4
58	в этой	1	4
59	в самом	1	4
60	в целом	1	4
61	что все	4	4
62	художественный образ	1	4
63	в них	3	4
64	одна из	2	4
65	никогда не	3	4
66	вот почему	2	4
67	к тому	3	4
68	в ее	1	4
69	это только	1	4
70	с ними	1	4
71	что он	4	4
72	в одном	1	4
73	в своей	3	4
74	человека и	6	3
75	в котором	4	3
76	его не	2	3
77	в которых	1	3
78	но как	1	3
79	нет и	2	3
80	что они	7	3
81	в противоположность	1	3
82	и по	1	3
83	что не	4	3
84	с тем	2	3
85	и ее	1	3
86	это мы	2	3
87	у нас	1	3
88	она не	1	3
89	в виду	1	3
90	что и	3	3
91	вслед за	2	3
92	и мир	1	3
93	того что	5	3
94	в конце	3	3
95	него в	1	3
96	так же	1	3
97	и от	1	3
98	бы в	1	3
99	жизни и	3	3
100	ее в	2	3
101	в которой	1	2
102	говорить о	4	2
103	то это	3	2
104	в ней	4	2
105	еще не	8	2
106	в чем	3	2
107	но не	2	2
108	если в	1	2
109	за эти	1	2
110	что нет	1	2
111	хотя и	5	2
112	но в	3	2
113	человека в	1	2
114	в жизни	3	2
115	не всегда	1	2
116	между собою	1	2
117	и для	3	2
118	эта не	1	2
119	по крайней	1	2
120	проблему свободы	1	2
121	можно ли	1	2
122	не по	1	2
123	того чтобы	2	2
124	в сознании	1	2
125	в образах	1	2
126	что оно	1	2
127	они и	2	2
128	для того	1	2
129	роль в	1	2
130	если они	1	2
131	в образе	4	2
132	во всяком	2	2
133	но к	1	2
134	лишь в	3	2
135	от них	1	2
136	крайней мере	1	2
137	конце концов	1	2
138	но с	1	2
139	и быть	1	2
140	образа в	1	2
141	у них	1	2
142	слова не	1	2
143	чего бы	1	2
144	вовсе не	1	2
145	к ним	1	2
146	еще и	1	2
147	о чем	1	2
148	что мы	4	2
149	воплощение в	1	2
150	стороны в	1	2
151	и потому	7	2
152	самого себя	2	2
153	образом по	1	2
154	можно было	2	2
155	мира и	1	2
156	будто бы	1	2
157	а в	2	2
158	о своем	1	2
159	не быть	1	2
160	в своих	1	2
161	они не	1	2
162	а между	2	1
163	речь идет	1	1
164	ним или	1	1
165	и так	1	1
166	он всегда	1	1
167	должна быть	3	1
168	ницше и	1	1
169	она к	1	1
170	что всякий	1	1
171	как мы	1	1
172	вопрос о	1	1
173	вот по	2	1
174	но она	1	1
175	на себя	5	1
176	мы и	2	1
177	и то	2	1
178	он был	1	1
179	не был	1	1
180	в последних	1	1
181	людей это	1	1
182	во имя	32	1
183	это имеет	1	1
184	бы весь	1	1
185	себе и	1	1
186	которые не	2	1
187	в известном	1	1
188	это самое	1	1
189	в истории	8	1
190	что во	3	1
191	для их	2	1
192	еще больше	1	1
193	говорит что	1	1
194	и свою	1	1
195	уже в	1	1
196	сущности и	1	1
197	ничего и	2	1
198	от природы	1	1
199	и если	1	1
200	да и	2	1
201	в понимании	1	1
202	и осмысленной	1	1
203	как абсолютная	1	1
204	свобода есть	1	1
205	уже не	2	1
206	на этом	1	1
207	то есть	1	1
208	и менее	1	1
209	это одна	1	1
210	для них	2	1
211	в общественной	1	1
212	с этой	1	1
213	их на	1	1
214	в этих	3	1
215	еще недостаточно	1	1
216	вот к	1	1
217	этому же	1	1
218	сознания или	1	1
219	освободиться от	1	1
220	нет никакого	1	1
221	что есть	5	1
222	как можно	1	1
223	того как	1	1
224	что их	2	1
225	не имеет	3	1
226	жизни не	1	1
227	сложность и	1	1
228	видим что	1	1
229	от него	2	1
230	как не	3	1
231	освобождается от	1	1
232	понимает и	2	1
233	раз навсегда	2	1
234	о судьбе	1	1
235	и это	2	1
236	и сам	2	1
237	нельзя не	1	1
238	их работать	1	1
239	по сравнению	1	1
240	мы в	1	1
241	является в	2	1
242	с ним	2	1
243	на него	1	1
244	и что	3	1
245	после того	1	1
246	для нас	2	1
247	и во	2	1
248	в форме	2	1
249	снять с	1	1
250	в русском	1	1
251	мы хотим	4	1
252	так говорит	1	1
253	боролся с	1	1
254	их строение	1	1
255	этих черт	1	1
