N	2gram	Trubetskoy_1	OGranits
1	и в	14	13
2	прежде всего	8	9
3	может быть	9	8
4	не может	22	8
5	и не	19	8
6	в его	4	7
7	и их	1	7
8	точки зрения	11	7
9	только в	5	6
10	как бы	4	6
11	не только	9	6
12	то что	13	6
13	мы должны	7	6
14	таким образом	11	6
15	языка и	1	5
16	и т.д	4	5
17	все же	4	5
18	и наконец	2	5
19	но ведь	1	5
20	с точки	9	5
21	хотя бы	5	5
22	мы не	1	4
23	но мы	3	4
24	еще и	1	4
25	но в	2	4
26	вопроса о	1	4
27	мы можем	2	4
28	то же	11	4
29	лишь в	3	4
30	в сознании	3	4
31	в своей	5	4
32	было бы	5	4
33	все это	6	4
34	не является	1	4
35	вряд ли	3	3
36	и то	4	3
37	в ее	1	3
38	самом деле	7	3
39	так и	1	3
40	говорить о	3	3
41	для целей	1	3
42	в их	4	3
43	по отношению	2	3
44	с этим	2	3
45	в которой	1	3
46	ни один	1	3
47	в себе	9	3
48	к одному	1	3
49	так как	4	3
50	здесь мы	1	3
51	но и	10	3
52	как и	4	3
53	точку зрения	4	3
54	что же	4	3
55	не в	4	3
56	да и	3	3
57	но для	2	3
58	и для	6	3
59	никогда не	5	3
60	и все	1	3
61	превращается в	1	3
62	отношению к	1	3
63	не столько	1	3
64	что в	4	3
65	для себя	2	2
66	данном случае	3	2
67	роль в	1	2
68	и этот	3	2
69	мы уже	2	2
70	те же	1	2
71	есть не	1	2
72	мог бы	1	2
73	если бы	6	2
74	может в	1	2
75	иное как	1	2
76	с самого	1	2
77	и должно	2	2
78	себе что	1	2
79	в ней	2	2
80	ее в	2	2
81	вне всякой	2	2
82	между тем	5	2
83	в общем	1	2
84	что они	3	2
85	может иметь	1	2
86	случае и	1	2
87	в данном	7	2
88	в этом	17	2
89	в полном	1	2
90	в том	17	2
91	с ними	1	2
92	или иного	2	2
93	от этого	1	2
94	и тем	2	2
95	все эти	2	2
96	в нем	5	2
97	при этом	5	2
98	для него	6	2
99	в другом	3	2
100	вовсе не	1	2
101	в зависимости	1	2
102	тем что	3	2
103	в области	2	2
104	и задача	1	2
105	с другой	1	2
106	в самом	3	2
107	входит в	1	2
108	того или	2	2
109	не на	1	2
110	а не	2	2
111	в руках	1	2
112	несмотря на	3	2
113	в связи	1	2
114	том что	9	2
115	от своего	1	2
116	и при	6	2
117	конечно мы	1	2
118	так же	2	2
119	который мы	1	2
120	в течение	2	2
121	с этой	1	2
122	не менее	1	2
123	что эта	1	2
124	самого начала	1	2
125	разумеется что	2	2
126	пути к	2	2
127	бы в	1	2
128	и является	2	2
129	во всем	4	2
130	а в	5	2
131	и к	6	2
132	могут быть	1	2
133	в своих	6	2
134	к тому	7	2
135	и это	1	1
136	оно может	1	1
137	также и	1	1
138	же как	1	1
139	зависимость от	2	1
140	себя как	2	1
141	того же	1	1
142	значительной мере	2	1
143	на нем	1	1
144	в некоторых	2	1
145	совокупность элементов	1	1
146	это и	1	1
147	в собственном	1	1
148	последнее время	2	1
149	и есть	2	1
150	не произойдет	3	1
151	в себя	1	1
152	ту же	1	1
153	в индии	1	1
154	можно лишь	1	1
155	он всегда	1	1
156	некоторых других	1	1
157	ли вообще	1	1
158	на том	3	1
159	для которой	1	1
160	можно было	4	1
161	в борьбе	2	1
162	остается только	1	1
163	и о	2	1
164	возможно только	1	1
165	мы в	1	1
166	вопрос о	5	1
167	на место	1	1
168	до такой	1	1
169	быть может	1	1
170	для этого	3	1
171	это направление	1	1
172	из одного	1	1
173	по себе	2	1
174	в определенной	1	1
175	на себя	2	1
176	с ее	1	1
177	сводится к	3	1
178	событий и	1	1
179	но даже	2	1
180	то это	3	1
181	же особенно	1	1
182	другом месте	1	1
183	в мире	4	1
184	с большим	1	1
185	и что	2	1
186	совершенно иных	1	1
187	еще не	3	1
188	они считают	1	1
189	столь же	1	1
190	время в	2	1
191	в различных	1	1
192	к нему	2	1
193	воздействия на	1	1
194	на самом	6	1
195	но не	4	1
196	пищи и	1	1
197	вся эта	2	1
198	переходит в	1	1
199	борьба с	1	1
200	может и	1	1
201	борьбе с	3	1
202	природы и	1	1
203	отметить что	2	1
204	свою новую	1	1
205	нет и	1	1
206	в свои	1	1
207	наблюдается у	1	1
208	на то	5	1
209	всю достижимую	1	1
210	в истории	1	1
211	в одной	1	1
212	для создания	1	1
213	мышление и	1	1
214	в своем	6	1
215	по своей	1	1
216	что касается	1	1
217	один из	1	1
218	которые и	1	1
219	собой разумеется	1	1
220	творца и	1	1
221	и как	3	1
222	одной из	3	1
223	этот вопрос	2	1
224	что он	6	1
225	более или	4	1
226	из ранних	1	1
227	этой возможностью	1	1
228	может привести	1	1
229	в значительной	3	1
230	и оба	1	1
231	ставить в	1	1
232	выражение в	1	1
233	ни одна	3	1
234	в этой	4	1
235	для всех	6	1
236	что к	1	1
237	остановиться на	1	1
238	само собой	1	1
239	и тот	2	1
240	с одним	1	1
241	конечно не	5	1
242	не можем	2	1
243	и у	1	1
244	только на	2	1
245	в действительном	1	1
246	если он	1	1
247	себя и	5	1
248	vi мы	1	1
249	вследствие этого	1	1
250	и если	7	1
251	является не	2	1
252	или даже	1	1
253	и других	1	1
254	на эту	2	1
255	раз навсегда	2	1
256	его и	2	1
257	считают себя	1	1
258	состоит в	2	1
259	в виде	3	1
260	он весь	1	1
261	в конце	3	1
262	на службу	1	1
263	особенно часто	1	1
264	только с	2	1
265	которое является	1	1
266	еще одну	1	1
267	его можно	1	1
268	людей и	2	1
269	лишь с	1	1
270	или иных	1	1
271	явствует что	1	1
272	и вместе	2	1
273	это конечно	1	1
274	даже и	2	1
275	для того	6	1
276	этим самым	1	1
277	эпохи не	1	1
278	борьбы и	1	1
279	в совершенно	4	1
280	что такой	4	1
281	на все	1	1
282	говорить не	1	1
283	его в	4	1
284	те или	1	1
285	главное и	1	1
286	его себе	1	1
287	говорить и	1	1
288	если только	2	1
289	которая как	1	1
290	к которому	1	1
291	как же	1	1
292	заключается в	1	1
293	привести только	1	1
294	к полной	1	1
295	ведь в	2	1
296	только к	3	1
297	с единым	1	1
298	для них	3	1
299	из нее	1	1
300	о которых	3	1
301	не было	3	1
302	она и	1	1
303	а на	1	1
304	которые не	1	1
305	поскольку она	1	1
306	все равно	1	1
307	у других	2	1
308	которой остается	1	1
309	не всегда	1	1
310	которой он	4	1
311	отнюдь не	7	1
312	понятие о	1	1
313	для человека	1	1
314	и заняться	1	1
315	должно быть	3	1
316	такой же	1	1
317	ясное и	1	1
318	и тогда	2	1
319	если не	2	1
320	или менее	4	1
321	но при	1	1
322	связь с	1	1
323	но если	3	1
324	отчасти в	1	1
325	может лишь	1	1
326	ко всем	3	1
327	в такой	1	1
328	как это	1	1
329	возможностью и	1	1
330	представление о	1	1
331	в которых	1	1
332	том основании	1	1
333	к этому	1	1
334	должно было	1	1
335	и вот	2	1
336	для данного	1	1
337	тем не	1	1
338	в эпоху	1	1
339	и более	2	1
340	их в	2	1
341	этой внутренней	1	1
342	необходимо чтобы	1	1
343	быть не	1	1
344	это особенно	1	1
345	этого слова	1	1
346	что такое	2	1
347	только то	1	1
348	лишен всякого	1	1
349	тому что	2	1
350	него прежде	1	1
351	быть и	2	1
352	является для	1	1
353	сил которые	1	1
354	до конца	1	1
355	но это	2	1
356	в начале	2	1
357	неразрывно связаны	1	1
358	строя и	1	1
359	и другое	1	1
360	в то	10	1
361	к другим	1	1
362	в какую-то	1	1
363	сознании и	1	1
364	одна из	3	1
365	к новым	1	1
366	тех или	1	1
367	которых он	1	1
368	не знаем	1	1
369	именно этого	1	1
370	того чтобы	8	1
371	иметь в	1	1
372	при таком	1	1
373	в разных	1	1
374	однако если	1	1
375	или в	3	1
376	найти в	1	1
377	в самой	1	1
378	именно с	1	1
379	ее и	1	1
380	у некоторых	1	1
381	же время	10	1
382	оказались бы	1	1
383	в основе	1	1
384	же остается	1	1
385	тем более	1	1
386	от него	2	1
387	с понятием	1	1
388	а лишь	4	1
389	потому что	5	1
390	связи с	3	1
391	себе на	1	1
392	этом отношении	1	1
393	об этом	1	1
394	та или	1	1
395	о сущности	1	1
396	основании что	1	1
397	но когда	1	1
398	же самое	1	1
399	должны быть	1	1
400	всего в	1	1
401	вместе с	4	1
402	этого и	1	1
403	ведь уже	1	1
404	только они	1	1
405	что при	1	1
406	они не	1	1
