N	2gram	Vinokur_Ku_3	Formalny
1	и в	23	38
2	в этом	16	27
3	т е	32	26
4	может быть	14	23
5	и его	1	21
6	и пр	3	21
7	таким образом	9	20
8	и не	10	20
9	в самом	13	16
10	не в	5	15
11	прежде всего	9	15
12	и т	54	14
13	не может	6	14
14	связи с	6	13
15	но и	3	13
16	в пределах	2	12
17	языка и	2	12
18	в поэзии	5	12
19	с тем	6	11
20	в том	22	11
21	языка как	4	11
22	вовсе не	5	11
23	формальный метод	1	10
24	с другими	2	10
25	в его	11	10
26	в связи	5	10
27	с помощью	6	10
28	не только	17	9
29	при этом	6	9
30	и с	3	9
31	как и	5	9
32	языка в	6	9
33	т п	41	9
34	в процессе	3	9
35	язык как	1	8
36	самом деле	14	8
37	отнюдь не	3	8
38	все же	5	8
39	точки зрения	23	8
40	поэтического произведения	1	8
41	так и	6	8
42	что и	6	8
43	тем что	5	8
44	в первом	5	7
45	как мы	5	7
46	в корне	2	7
47	лишь в	8	7
48	по себе	6	7
49	для него	1	7
50	в своей	4	7
51	с точки	16	7
52	язык и	2	7
53	во втором	1	7
54	в поэтическом	1	7
55	уже не	8	7
56	не могут	5	7
57	по существу	3	7
58	слова и	7	7
59	что в	13	7
60	литературный язык	4	6
61	и ее	1	6
62	в ней	3	6
63	все эти	7	6
64	то же	6	6
65	было бы	16	6
66	он не	3	6
67	в их	6	6
68	могут быть	6	6
69	в языке	7	6
70	все время	1	6
71	только в	6	6
72	то что	4	6
73	не было	4	6
74	вместе с	2	6
75	а не	11	6
76	как раз	4	6
77	в результате	3	6
78	хотя бы	9	6
79	а в	5	6
80	это и	3	5
81	по преимуществу	3	5
82	должна быть	3	5
83	говорить о	6	5
84	всего этого	3	5
85	в общем	6	5
86	т д	8	5
87	в слове	4	5
88	в то	3	5
89	в основе	1	5
90	же время	1	5
91	ни о	1	5
92	если бы	8	5
93	сводится к	1	5
94	и должно	5	5
95	говорит он	1	5
96	и только	3	5
97	что он	6	5
98	всяком случае	1	5
99	если мы	7	5
100	именно в	3	5
101	с этим	1	5
102	что же	5	5
103	более того	1	5
104	и для	1	5
105	еще более	2	5
106	или иного	3	5
107	во всяком	2	5
108	в сущности	4	4
109	литературы и	1	4
110	в сторону	1	4
111	что они	2	4
112	независимо от	5	4
113	как в	4	4
114	и к	3	4
115	в статье	2	4
116	не как	2	4
117	его от	1	4
118	как они	2	4
119	входит в	1	4
120	мы видели	3	4
121	не столько	4	4
122	о языке	6	4
123	раз и	2	4
124	как о	3	4
125	ничего не	6	4
126	к тому	3	4
127	здесь не	2	4
128	в дальнейшем	2	4
129	социального общения	1	4
130	языке как	1	4
131	того или	3	4
132	в теории	1	4
133	но в	2	4
134	что не	4	4
135	так как	9	4
136	не о	2	4
137	в особенности	2	4
138	именно как	1	4
139	в некоторых	2	4
140	другой стороны	3	4
141	там где	3	4
142	пр и	1	4
143	на фоне	7	4
144	мы говорим	4	4
145	как бы	5	4
146	дело идет	1	4
147	лишь как	1	4
148	совершенно не	5	4
149	к этому	1	4
150	они не	3	4
151	например в	1	3
152	же как	1	3
153	сам по	3	3
154	тем же	2	3
155	в зависимости	7	3
156	из всего	2	3
157	мы не	3	3
158	то это	3	3
159	зависимости от	8	3
160	и на	1	3
161	не входит	1	3
162	значение и	1	3
163	чем же	2	3
164	как к	2	3
165	хотя и	5	3
166	звук в	1	3
167	и как	2	3
168	что это	3	3
169	в целом	4	3
170	из этих	5	3
171	так сказать	2	3
172	всех этих	1	3
173	ни была	1	3
174	главным образом	2	3
175	литературного языка	3	3
176	его в	2	3
177	такой же	2	3
178	как таковой	2	3
179	и повторения	1	3
180	задачи и	1	3
181	а лишь	3	3
182	своей статье	2	3
183	языка который	1	3
184	следует отметить	1	3
185	в области	14	3
186	но все	2	3
187	с проблемой	1	3
188	не есть	3	3
189	можно и	1	3
190	того чтобы	11	3
191	так в	2	3
192	от общих	1	3
193	и здесь	2	3
194	одного из	1	3
195	к нему	1	3
196	того что	11	3
197	в какой	3	3
198	именно на	2	3
199	то и	2	3
200	менее всего	1	3
201	мы знаем	1	3
202	и их	1	3
203	слова в	4	3
204	каждый из	1	3
205	для того	12	3
206	на лингвистику	1	3
207	с другой	7	3
208	а о	1	3
209	и прежде	1	3
210	от смысла	1	3
211	и др	1	3
212	системы и	1	3
213	а наоборот	1	3
214	не то	2	3
215	речи и	1	3
216	том смысле	1	3
217	быть и	1	3
218	все это	2	3
219	на самом	3	3
220	формы и	3	2
221	вряд ли	1	2
222	можно говорить	10	2
223	языка чрезвычайно	1	2
224	язык может	1	2
225	в такой	1	2
226	и то	1	2
227	науки о	1	2
228	идет о	1	2
229	самый предмет	1	2
230	между двумя	1	2
231	к другому	2	2
232	в фразе	1	2
233	был и	1	2
