N	2gram	Vinokur_Ku_3	BTomashe
1	у нас	10	3
2	и не	10	2
3	все это	2	2
4	в ней	3	2
5	можно было	11	2
6	не то	2	2
7	крайней мере	1	1
8	более что	2	1
9	за пределы	2	1
10	тем более	5	1
11	также что	2	1
12	говорить о	6	1
13	книги в	2	1
14	будто бы	1	1
15	и в	23	1
16	слова иначе	1	1
17	и о	4	1
18	в речи	1	1
19	со всем	1	1
20	выходит за	1	1
21	функцией в	1	1
22	следовало бы	1	1
23	что все	2	1
24	с другой	7	1
25	является изучение	1	1
26	в своей	4	1
27	на самом	3	1
28	как будто	1	1
29	точно и	1	1
30	было бы	16	1
31	все же	5	1
32	всяком случае	1	1
33	а о	1	1
34	кроме того	2	1
35	установка на	3	1
36	никак не	2	1
37	между ними	1	1
38	еще не	9	1
39	и на	1	1
40	в пределах	2	1
41	по меньшей	1	1
42	по поэтике	1	1
43	только одной	1	1
44	стоит на	1	1
45	одной из	1	1
46	должна быть	3	1
47	то нельзя	2	1
48	прежде всего	9	1
49	для которой	1	1
50	в данном	7	1
51	так и	6	1
52	о них	4	1
53	не было	4	1
54	как часть	1	1
55	о художественном	1	1
56	совершенно не	5	1
57	далеко не	5	1
58	не о	2	1
59	всего в	1	1
60	нельзя не	2	1
61	а не	11	1
62	но автор	1	1
63	что в	13	1
64	в области	14	1
65	другой стороны	3	1
66	меньшей мере	1	1
67	творчества и	1	1
68	говорить об	1	1
69	и ее	1	1
70	не все	2	1
71	стр в	1	1
72	по крайней	1	1
73	отнюдь не	3	1
74	таким образом	9	1
75	материала по	1	1
76	вопрос о	11	1
77	и более	3	1
78	самостоятельная и	1	1
79	и потому	1	1
80	не только	17	1
81	во всяком	2	1
