N	3gram	Propp_Morf_1	Hudozhes
1	в том что	3	11
2	о том что	1	7
3	по отношению к	4	7
4	подобно тому как	5	4
5	к тому что	3	4
6	с одной стороны	1	3
7	как и в	2	3
8	для того чтобы	2	3
9	тем не менее	4	3
10	не может быть	9	3
11	они и в	1	2
12	состоит в том	2	2
13	и т д	39	2
14	в этом и	1	2
15	с точки зрения	2	2
16	в данном случае	1	2
17	о том как	1	2
18	до сих пор	1	2
19	с самого начала	1	1
20	во что бы	1	1
21	в таком случае	1	1
22	приводит к тому	1	1
23	в том случае	1	1
24	между тем в	1	1
25	бы то ни	3	1
26	точно так же	1	1
27	с этого момента	2	1
28	а также и	3	1
29	т д он	2	1
30	можно сказать что	1	1
31	это уже не	1	1
32	что бы то	1	1
33	вслед за этим	1	1
34	что и в	1	1
35	то ни стало	1	1
36	том случае если	1	1
37	что несмотря на	1	1
38	и в других	1	1
39	ни одна не	1	1
40	так что даже	1	1
41	в то время	3	1
42	и в последней	1	1
43	и соответствующего согласия	1	1
44	в настоящее время	3	1
45	в этом случае	8	1
46	отношению к этой	1	1
47	в этом отношении	1	1
48	с того что	2	1
49	тот момент когда	1	1
50	после того как	1	1
51	но все же	3	1
52	она могла бы	1	1
53	а для того	1	1
54	с другой стороны	4	1
55	в тот момент	1	1
56	но то что	1	1
57	то время как	3	1
58	может быть объяснена	1	1
59	в первом случае	3	1
60	между тем не	1	1
61	более и более	1	1
62	все более и	1	1
63	это было бы	1	1
64	перед нами в	1	1
