N	3gram	Tiupa_Vved_1	Vladivir
1	о том что	4	7
2	в том что	3	7
3	то что он	1	5
4	в этом смысле	1	4
5	то же время	3	4
6	на то что	1	4
7	в то же	4	4
8	на этот раз	1	4
9	более или менее	2	3
10	мы увидим ниже	1	3
11	с другой стороны	1	3
12	не может быть	3	3
13	один и тот	1	2
14	в ответ на	1	2
15	и в то	1	2
16	как мы увидим	1	2
17	в том чтобы	2	2
18	не только в	2	2
19	и тот же	1	2
20	об этом и	1	2
21	во всяком случае	1	2
22	к этому времени	1	2
23	можно сказать что	1	2
24	и по своим	1	2
25	тем не менее	3	2
26	к тому же	4	2
27	не столько по	1	1
28	что иное как	1	1
29	а не к	1	1
30	состояла в том	1	1
31	мы имеем дело	3	1
32	в настоящее время	1	1
33	свидетельствует о том	1	1
34	в том же	1	1
35	строго говоря в	1	1
36	так и не	1	1
37	что у нее	1	1
38	но в этот	1	1
39	но в данном	1	1
40	период в жизни	1	1
41	отнюдь не с	1	1
42	имеют для них	1	1
43	не мог найти	1	1
44	мы читаем о	1	1
45	содержит в себе	1	1
46	здесь мы имеем	1	1
47	если бы мы	1	1
48	с одной стороны	5	1
49	в связи с	1	1
50	потому что она	1	1
51	и в этом	1	1
52	а с другой	2	1
53	имеем дело с	2	1
54	на первом плане	1	1
55	из них не	1	1
56	но только в	1	1
57	все что может	1	1
58	рассуждение о том	1	1
59	а в том	1	1
60	он как раз	1	1
61	них не может	1	1
62	ответил он и	1	1
63	в свою очередь	4	1
64	и тем самым	2	1
65	в котором он	1	1
66	в последние годы	1	1
67	но на этот	1	1
68	но это не	1	1
69	не что иное	1	1
70	одно без другого	1	1
71	мысль о том	1	1
72	в приведенных выше	1	1
73	в этом отношении	4	1
