N	2gram	Medvedev_I_1	TeoriaLi
1	и не	2	16
2	а в	1	14
3	и в	1	13
4	так и	1	12
5	в этом	2	11
6	отношению к	1	8
7	что в	2	8
8	по отношению	1	8
9	себя в	1	7
10	он не	2	5
11	не случайно	1	5
12	с другой	1	5
13	а также	1	5
14	говорить о	1	4
15	все эти	1	3
16	о ней	1	3
17	в художественном	1	3
18	для него	1	3
19	того что	1	3
20	и сам	1	3
21	художественного творчества	1	3
22	в основе	1	3
23	а с	1	3
24	другой стороны	1	3
25	никогда не	1	3
26	и др	1	3
27	того же	1	2
28	и о	1	2
29	в целом	1	2
30	автора и	1	2
31	такого знания	1	2
32	у и	1	2
33	это было	1	2
34	я не	1	2
35	если бы	1	2
36	в значительной	1	1
37	бы в	1	1
38	жизни и	1	1
39	в первую	1	1
40	ибо и	1	1
41	и со	1	1
42	и чрезвычайно	1	1
43	и без	1	1
44	первую очередь	1	1
45	не дает	1	1
46	со всеми	1	1
47	без этого	1	1
48	к нам	1	1
49	более чем	1	1
50	по поводу	1	1
51	с героем	1	1
52	о жизни	1	1
53	того чтобы	1	1
54	то она	1	1
55	для того	1	1
56	что для	1	1
57	все это	1	1
58	в них	1	1
59	с жизнью	1	1
60	а по	1	1
61	точно и	1	1
62	должен быть	2	1
63	этого писателя	1	1
64	для других	1	1
65	по существу	1	1
66	его личности	1	1
