N	2gram	Berdyaev_M_1	Komedia
1	и в	28	22
2	и не	11	21
3	т е	2	16
4	том что	3	13
5	в том	6	12
6	так как	3	11
7	потому что	16	10
8	вместе с	6	9
9	сих пор	2	9
10	до сих	2	9
11	в самом	11	9
12	в этом	20	8
13	что и	4	8
14	к ней	4	8
15	его в	3	8
16	если бы	2	8
17	в его	9	8
18	о том	2	8
19	что он	10	8
20	в своем	10	8
21	в конце	7	7
22	об этом	1	7
23	а в	4	7
24	о чем	2	7
25	в свою	2	7
26	так что	1	6
27	того чтобы	2	6
28	еще не	1	6
29	к тому	3	6
30	для того	2	6
31	и его	9	6
32	в то	2	6
33	во время	1	6
34	и что	2	6
35	самом деле	1	6
36	может быть	30	6
37	к этому	2	6
38	прежде всего	10	5
39	не менее	1	5
40	все это	6	5
41	к нему	7	5
42	в своей	15	5
43	в которых	4	5
44	не хочет	2	5
45	что в	10	5
46	с ним	2	5
47	отношение к	4	5
48	более чем	1	5
49	по отношению	2	5
50	любви к	7	5
51	и сам	1	5
52	тем что	4	5
53	то это	1	5
54	он не	24	5
55	но в	7	5
56	к себе	1	5
57	не только	29	5
58	вовсе не	1	4
59	в себе	7	4
60	все же	2	4
61	и с	3	4
62	бы в	2	4
63	так же	1	4
64	и для	2	4
65	т п	1	4
66	так и	1	4
67	точки зрения	4	4
68	он знает	2	4
69	не в	16	4
70	с тем	9	4
71	хотя бы	3	4
72	и т	1	4
73	но и	25	4
74	то что	5	4
75	нет и	5	4
76	в отношении	1	4
77	он был	14	4
78	у него	17	4
79	когда он	3	4
80	и поэтому	1	4
81	до конца	14	4
82	речи о	1	4
83	тем более	1	4
84	сразу же	1	4
85	а не	25	4
86	в ней	15	4
87	что она	1	4
88	должен был	4	4
89	и речи	1	4
90	любовь к	2	3
91	прежде чем	2	3
92	в них	4	3
93	приводит к	2	3
94	не знает	4	3
95	во всяком	1	3
96	как и	5	3
97	в которой	6	3
98	из себя	1	3
99	одной из	1	3
100	нисколько не	1	3
101	не может	28	3
102	на это	1	3
103	себе в	1	3
104	отношению к	2	3
105	как бы	2	3
106	что не	1	3
107	бы он	1	3
108	в нем	13	3
109	с этой	4	3
110	если не	1	3
111	в ее	3	3
112	в начале	2	3
113	не так	3	3
114	но если	3	3
115	никогда не	14	3
116	и даже	1	3
117	и к	2	3
118	все что	2	3
119	и мы	2	3
120	как он	2	3
121	в течение	1	3
122	с этим	3	3
123	один из	4	3
124	и еще	3	3
125	ничего не	3	3
126	всяком случае	1	3
127	к ним	1	3
128	и мысли	1	3
129	по своему	2	3
130	в этой	6	3
131	и этим	1	3
132	с его	3	3
133	в частности	1	3
134	не имеет	3	3
135	на этот	2	3
136	дома и	1	3
137	чем в	2	3
138	от нее	5	3
139	конечно не	3	3
140	было бы	10	3
141	одного из	1	3
142	в глаза	1	3
143	ней в	1	2
144	его от	1	2
145	одним из	2	2
146	по сравнению	2	2
147	сравнению с	1	2
148	которую он	2	2
149	трагедии и	1	2
150	его на	1	2
151	что их	1	2
152	все еще	1	2
153	конце концов	2	2
154	что они	1	2
155	сам он	1	2
156	людей и	2	2
157	нет никаких	2	2
158	себя от	1	2
159	время как	2	2
160	хочет быть	1	2
161	был бы	10	2
162	не было	18	2
163	и он	12	2
164	меньше чем	1	2
165	и все	10	2
166	к концу	4	2
167	к этой	2	2
168	мы не	1	2
169	в основе	2	2
170	бы не	2	2
171	и без	1	2
172	такого отношения	3	2
173	во всех	1	2
174	целый ряд	1	2
175	а на	1	2
176	наряду с	1	2
177	в их	4	2
178	если он	5	2
179	и во	2	2
180	и я	5	2
181	в образе	1	2
182	не мог	3	2
183	под влиянием	1	2
184	только один	2	2
185	его не	3	2
186	вплоть до	1	2
187	отношения к	4	2
188	человека не	4	2
189	между тем	1	2
190	то время	2	2
191	для понимания	1	2
192	после этого	1	2
193	трудно было	1	2
194	а как	2	2
195	все время	1	2
196	отличие от	1	2
197	человека и	14	2
198	это не	5	2
199	в силу	1	2
200	и о	1	2
201	она не	4	2
202	уже в	4	2
203	этой связи	1	2
204	ответной любви	1	2
205	что ему	1	2
206	в эпоху	1	2
207	в виду	2	2
208	в котором	8	2
209	нет ни	1	2
210	ближе к	1	2
211	от того	1	2
212	как в	2	2
213	не могут	5	2
214	и на	6	2
215	за пределы	4	2
216	в мире	10	2
217	себя и	3	2
218	которым он	1	2
219	в одном	1	2
220	из всех	1	2
221	роль в	1	2
222	не как	4	2
223	нет ничего	7	2
224	в своих	1	2
225	к человеку	9	2
226	должен быть	2	2
227	доводит до	1	2
228	и ее	1	2
229	только для	1	2
230	о его	1	2
231	в области	1	2
232	и после	1	2
233	именно потому	1	2
234	и это	12	2
235	в пределах	1	2
236	можно было	1	2
237	человека в	13	2
238	что мы	1	2
239	она была	1	2
240	он и	2	2
241	все эти	2	1
242	своего дома	1	1
243	может не	2	1
244	и там	4	1
245	войти в	1	1
246	был в	4	1
247	чтобы человек	2	1
248	же он	1	1
249	еще до	1	1
250	отношении к	2	1
251	и открыть	1	1
252	не одно	1	1
253	для нас	3	1
254	нам ближе	1	1
255	в тихом	1	1
256	и только	1	1
257	и наконец	1	1
258	значение в	1	1
259	вопрос о	2	1
260	в обоих	1	1
261	то не	1	1
262	страстью или	1	1
263	отцов и	1	1
264	обычно не	1	1
265	на пути	4	1
266	его тайну	1	1
267	но нет	1	1
268	и хочу	1	1
269	существо и	1	1
270	на помощь	2	1
271	и пришел	1	1
272	жизни и	2	1
273	от этого	2	1
274	не без	1	1
275	чем он	1	1
276	моменты в	1	1
277	на человека	2	1
278	начинается с	1	1
279	всем и	1	1
280	нет в	4	1
281	и открывает	1	1
282	к этим	2	1
283	ней нет	1	1
284	не к	4	1
285	у меня	1	1
286	в этот	2	1
287	на своем	3	1
288	самой своей	1	1
289	для них	3	1
