N	2gram	Nazirov_Vr_1	Komedia
1	и в	8	26
2	в комедии	1	19
3	едва ли	1	14
4	и не	5	14
5	и его	3	12
6	так и	1	12
7	тому же	1	11
8	может быть	4	11
9	в том	3	11
10	в этом	8	10
11	но и	7	10
12	столь же	2	9
13	том что	3	9
14	молодого человека	1	9
15	вместе с	2	9
16	что в	7	9
17	молодой человек	1	9
18	ясно что	1	8
19	было бы	1	8
20	не только	9	7
21	из них	2	7
22	ли не	1	7
23	еще не	2	6
24	в своем	3	6
25	о том	4	6
26	в нем	6	6
27	таким образом	2	6
28	в то	5	6
29	потому что	1	6
30	наряду с	3	6
31	во время	2	6
32	то что	7	6
33	с его	3	5
34	что он	4	5
35	в истории	4	5
36	независимо от	1	5
37	с этим	1	5
38	и с	6	5
39	в н	1	5
40	один из	1	5
41	в качестве	1	5
42	к этому	3	5
43	б и	2	4
44	уже в	4	4
45	хотя и	1	4
46	в самом	1	4
47	что это	1	4
48	в целом	1	4
49	это было	1	4
50	в них	2	4
51	как и	6	4
52	в этих	1	4
53	место в	2	4
54	не менее	2	4
55	это слово	1	4
56	в в	2	4
57	что у	3	4
58	сразу же	1	4
59	еще в	1	4
60	его в	3	4
61	между тем	5	4
62	в его	3	4
63	же в	2	4
64	в начале	6	4
65	этот раз	1	4
66	у него	5	4
67	на этот	1	4
68	что для	1	4
69	прежде всего	1	4
70	в частности	1	4
71	все же	6	4
72	и от	1	4
73	точки зрения	2	4
74	речь идет	3	3
75	в котором	6	3
76	то же	5	3
77	в их	1	3
78	той же	1	3
79	того же	1	3
80	это время	1	3
81	в ней	4	3
82	во всех	1	3
83	как правило	1	3
84	но не	1	3
85	как в	1	3
86	но в	6	3
87	в этой	2	3
88	как он	1	3
89	человека в	3	3
90	его современников	1	3
91	в обоих	1	3
92	не имеет	1	3
93	того как	1	3
94	же время	5	3
95	связи с	3	3
96	и сам	1	3
97	то время	1	3
98	из произведений	1	3
99	к нему	1	3
100	после смерти	2	3
101	тех пор	1	3
102	себя в	1	3
103	для всех	1	3
104	ответ на	2	3
105	мы знаем	2	3
106	искать в	1	3
107	и их	1	3
108	никто не	1	3
109	друг друга	1	3
110	тем что	3	3
111	не было	5	3
112	о чем	2	3
113	в связи	3	3
114	из которых	1	3
115	да и	1	3
116	все это	4	3
117	для нас	4	3
118	человеческих типов	1	3
119	а в	2	3
120	в период	2	3
121	в своей	2	3
122	жизни и	1	3
123	не может	2	3
124	как известно	1	2
125	также что	1	2
126	одним из	3	2
127	и есть	1	2
128	говорить о	1	2
129	х годов	4	2
130	в виду	4	2
131	и был	1	2
132	он был	3	2
133	в ее	1	2
134	если в	1	2
135	тут же	1	2
136	тогда бы	1	2
137	отнюдь не	2	2
138	и я	1	2
139	идет о	1	2
140	целый ряд	4	2
141	роль в	1	2
142	в плен	1	2
143	после этого	2	2
144	он не	3	2
145	в силу	1	2
146	что ни	1	2
147	же не	2	2
148	об этом	5	2
149	в глазах	2	2
150	это не	4	2
151	этом смысле	1	2
152	в это	2	2
153	не всегда	1	2
154	в развитии	1	2
155	по всем	1	2
156	всяком случае	1	2
157	представление о	1	2
158	были известны	1	2
159	сюжетная ситуация	1	2
160	в конце	3	2
161	однако в	1	2
162	одна из	2	2
163	нет необходимости	1	2
164	в одном	1	2
165	такая же	1	2
166	в духе	1	2
167	на это	2	2
168	и это	2	2
169	так в	2	2
170	и что	8	2
171	похож на	1	2
172	в мире	2	2
173	и во	3	2
174	и все	7	2
175	в другой	1	2
176	вслед за	1	2
177	также в	1	2
178	и ее	2	2
179	и у	3	2
180	отношение к	2	2
181	от того	1	2
182	ничуть не	1	2
183	рядом с	2	2
184	до сих	1	2
185	с другой	1	2
186	имя которого	1	2
187	с которым	2	2
188	что из	1	2
189	мы находим	1	2
190	по своему	1	2
191	в той	2	2
192	в ответ	1	2
193	как бы	4	2
194	сих пор	1	2
195	бы в	1	2
196	еще более	1	2
197	в речах	1	2
198	из этого	1	2
199	во всяком	1	2
200	которых не	1	1
201	отношения к	2	1
202	и отчасти	1	1
203	говорилось выше	1	1
204	имя его	1	1
205	и этот	1	1
206	по его	1	1
207	на первый	2	1
208	по объему	1	1
209	не слишком	1	1
210	хуже чем	1	1
211	в полной	1	1
212	ему в	1	1
213	один пример	1	1
214	собой в	1	1
215	как ему	1	1
216	упоминание о	1	1
217	первый план	1	1
218	не был	1	1
219	в чем	3	1
220	время он	2	1
221	по-прежнему высоко	1	1
222	о смерти	1	1
223	каком направлении	1	1
224	не просто	1	1
225	это сравнение	1	1
226	ли эта	1	1
227	первый взгляд	1	1
228	для создания	1	1
229	по которому	1	1
230	чем говорилось	1	1
231	как к	1	1
232	выступают как	1	1
233	не являются	1	1
234	ясно почему	1	1
235	с нею	2	1
236	роль играет	1	1
237	только два	1	1
238	почти одновременно	1	1
239	в себе	2	1
240	не могла	1	1
241	лет тому	1	1
242	у женщин	1	1
243	в названных	1	1
244	ее участников	1	1
245	время и	2	1
246	знали что	1	1
247	которой не	1	1
248	приведенного выше	1	1
249	ее своей	1	1
250	не могли	1	1
251	в окно	1	1
252	совпадают с	1	1
253	самим собой	1	1
254	этой традиции	1	1
255	на пять	1	1
256	на пиру	1	1
257	в соответствии	1	1
258	в жизни	1	1
259	из первых	1	1
260	на характер	1	1
261	месте которое	1	1
262	человек который	1	1
263	соответствии с	1	1
264	попадает в	1	1
265	и уже	3	1
266	которой он	1	1
267	он и	1	1
268	ни с	1	1
269	выражение в	1	1
270	не мог	2	1
271	в эту	2	1
272	которую он	1	1
273	во второй	1	1
274	кто верит	1	1
275	же это	1	1
276	делает все	1	1
277	из героя	1	1
278	сам же	1	1
279	права на	2	1
280	ее для	1	1
281	тем не	1	1
282	доказывает что	1	1
283	злой воле	1	1
284	их в	2	1
285	том же	2	1
286	с юным	1	1
287	с точки	2	1
288	но они	1	1
289	тем самым	1	1
290	что эта	1	1
291	это дает	1	1
292	правда в	1	1
293	и знаменитая	1	1
294	как о	1	1
295	через год	1	1
296	из их	1	1
297	это опять	1	1
298	никогда не	2	1
299	ничего не	1	1
300	бедного человека	1	1
301	иными словами	1	1
302	более что	1	1
303	к типу	2	1
304	в каком	1	1
