N	3gram	Bakhtin_Pr_1	OGranits
1	с точки зрения	6	5
2	не может быть	11	4
3	по отношению к	19	3
4	что иное как	1	2
5	в самом деле	3	2
6	художественного произведения как	1	2
7	эстетический объект и	4	2
8	не чем иным	1	2
9	в данном случае	4	2
10	не только его	1	2
11	с одной стороны	3	2
12	говорить об особой	1	2
13	с другой стороны	4	2
14	того или иного	2	2
15	есть не что	1	2
16	чем иным как	1	2
17	не что иное	1	2
18	в том что	3	2
19	в изобразительных искусствах	2	1
20	во всей полноте	1	1
21	иметь в виду	1	1
22	а вовсе не	1	1
23	в виду что	1	1
24	говорить о некотором	1	1
25	равно как и	1	1
26	слово в его	1	1
27	на самом деле	3	1
28	подобно тому как	1	1
29	то же самое	2	1
30	в его эстетической	1	1
31	но далеко не	1	1
32	и не может	2	1
33	в отличие от	5	1
34	не может иметь	1	1
35	эстетический объект является	1	1
36	между тем как	5	1
37	не было бы	1	1
38	в этом отношении	2	1
39	то что в	1	1
40	в музыке все	1	1
41	взаимодействия творца и	1	1
42	можно было бы	3	1
43	может быть и	1	1
44	эстетического объекта и	4	1
45	поэтике не может	1	1
46	что эстетический объект	3	1
47	и в области	2	1
48	то или иное	2	1
49	к произведению как	1	1
50	значение материала в	3	1
51	в узком смысле	1	1
52	для того чтобы	2	1
53	компонентами эстетического объекта	1	1
54	здесь мы принуждены	1	1
55	она и должна	1	1
56	выносится за пределы	1	1
57	далеко не всегда	3	1
58	если бы мы	1	1
59	быть понята и	1	1
60	едва ли кто-нибудь	1	1
61	и в его	1	1
62	а также и	1	1
63	на том основании	1	1
64	не входит в	4	1
65	эстетического объекта но	1	1
66	тем не менее	3	1
67	может быть объяснено	1	1
68	в нашу задачу	1	1
69	и как бы	1	1
70	и в их	1	1
71	в связи с	1	1
72	может быть понята	1	1
73	в беспредметных искусствах	1	1
74	в области поэтики	1	1
75	все то что	3	1
76	в их исторической	2	1
77	материал в искусстве	1	1
78	в свои права	1	1
79	смысле слова и	1	1
80	в связи со	1	1
81	то же время	3	1
82	том основании что	1	1
83	к предмету но	1	1
84	не касаемся и	1	1
85	та или иная	1	1
86	хотя бы в	1	1
87	эстетический объект есть	1	1
88	но в то	1	1
89	понята и изучена	1	1
90	так художественное произведение	1	1
91	в конечном счете	4	1
92	выходит за пределы	1	1
93	на то что	1	1
94	ее зависимость от	1	1
95	в то же	3	1
96	к единству языка	1	1
97	говорить и о	2	1
98	к тому что	1	1
99	эстетического объекта в	5	1
100	не может в	1	1
101	человека и его	1	1
102	как и в	1	1
103	является таким образом	1	1
