N	3gram	Medvedev_V_1	OGranits
1	не может быть	8	4
2	по отношению к	7	3
3	одно и то	1	3
4	в самом деле	1	2
5	в зависимости от	5	2
6	не чем иным	1	2
7	в данном случае	1	2
8	с одной стороны	2	2
9	и то же	1	2
10	с другой стороны	8	2
11	того или иного	1	2
12	ничего общего с	1	2
13	чем иным как	1	2
14	в том что	5	2
15	с его точки	1	1
16	в другом месте	2	1
17	материала в зависимости	1	1
18	идти только о	1	1
19	в чем же	2	1
20	этой точки зрения	2	1
21	иметь в виду	2	1
22	в виду что	1	1
23	об этом говорит	1	1
24	более или менее	6	1
25	равно как и	4	1
26	подобно тому как	2	1
27	по мере возможности	1	1
28	выйти за пределы	1	1
29	и в каждой	1	1
30	то же самое	1	1
31	как это обычно	1	1
32	его точки зрения	1	1
33	художественного произведения и	1	1
34	и не может	2	1
35	нет и не	1	1
36	не было бы	4	1
37	только то что	2	1
38	в этом отношении	13	1
39	то что в	1	1
40	следует иметь в	2	1
41	может идти только	1	1
42	можно было бы	2	1
43	может быть и	1	1
44	в значительной мере	3	1
45	с этой точки	1	1
46	является не чем	1	1
47	то или иное	1	1
48	в процессе творчества	1	1
49	ту или иную	1	1
50	мышления в его	1	1
51	мы полагаем что	1	1
52	для того чтобы	3	1
53	и сводится к	1	1
54	так же как	1	1
55	богаче и сложнее	1	1
56	его роль в	1	1
57	речь может идти	1	1
58	между собою и	1	1
59	быть и речи	1	1
60	и вместе с	1	1
61	и в их	1	1
62	в связи с	3	1
63	чуть ли не	2	1
64	словесного материала в	1	1
65	он и не	1	1
66	все то что	1	1
67	стадиях своего развития	1	1
68	то же время	5	1
69	та или иная	1	1
70	хотя бы в	3	1
71	те или иные	1	1
72	и никогда не	1	1
73	но в то	1	1
74	в конечном счете	5	1
75	есть одно и	1	1
76	в то же	5	1
77	в каждом отдельном	2	1
78	к тому что	3	1
79	в последнем счете	1	1
80	прежде всего не	2	1
81	является таким образом	1	1
