N	3gram	Medvedev_S_1	Problemy
1	по отношению к	2	5
2	то же время	1	5
3	в то же	1	5
4	это вовсе не	1	2
5	в том что	2	2
6	конечно не в	1	2
7	сама по себе	1	2
8	историка литературы и	1	1
9	в него и	1	1
10	не может не	1	1
11	как то что	1	1
12	их друг от	1	1
13	все эти вопросы	1	1
14	ровно ничего не	1	1
15	в сущности есть	1	1
16	и наконец в	1	1
17	а между тем	1	1
18	и в то	1	1
19	мы переходим к	1	1
20	с одной стороны	1	1
21	в конце концов	2	1
22	в связи с	1	1
23	ни на что	1	1
24	может развиваться в	1	1
25	не должна быть	1	1
26	во всяком случае	1	1
27	но только в	1	1
28	в каждом своем	1	1
29	в любой области	1	1
30	выходит за пределы	1	1
31	друг от друга	1	1
32	дело не в	2	1
33	дело конечно не	1	1
