N	2gram	Bakhtin_Fr_8	DiskursI
1	в качестве	4	34
2	не только	8	28
3	в том	13	23
4	а не	2	22
5	то есть	24	20
6	том что	8	19
7	может быть	3	17
8	как и	5	16
9	и в	56	16
10	в этом	14	15
11	еще не	10	14
12	но и	9	14
13	при этом	4	13
14	речевых жанров	1	12
15	и т.п	11	12
16	по своей	4	11
17	но не	5	11
18	прежде всего	6	11
19	и не	9	11
20	как в	1	10
21	далеко не	2	10
22	с другой	2	10
23	по отношению	1	9
24	в нем	8	9
25	не может	2	9
26	состоит в	1	9
27	с одной	4	9
28	одной стороны	2	9
29	в частности	7	9
30	отношению к	1	9
31	но в	6	8
32	своего рода	5	8
33	о том	4	8
34	так и	13	8
35	а также	3	8
36	не было	5	7
37	в себе	4	7
38	то же	11	7
39	не в	3	7
40	в основе	4	7
41	роль в	5	7
42	в его	18	7
43	только в	9	7
44	в своем	3	6
45	и как	2	6
46	и на	7	5
47	во всех	8	5
48	отличие от	1	5
49	тому же	1	5
50	в котором	2	5
51	в их	3	5
52	в отличие	1	5
53	в процессе	5	5
54	в себя	1	5
55	в эпоху	10	5
56	или иной	1	5
57	можно сказать	2	5
58	а с	1	5
59	в данном	2	5
60	как бы	11	5
61	к тому	1	5
62	а в	2	5
63	то что	3	5
64	в своей	2	5
65	и о	3	4
66	в которых	2	4
67	с его	5	4
68	и к	4	4
69	уже не	3	4
70	на его	6	4
71	не как	2	4
72	лишь в	1	4
73	в них	11	4
74	потому что	6	4
75	могут быть	1	4
76	и т.д	3	4
77	же время	10	4
78	между тем	3	4
79	как правило	1	4
80	одной из	3	4
81	что он	2	4
82	для него	2	4
83	в особенности	4	4
84	связи с	6	4
85	что в	5	4
86	также и	2	3
87	того же	1	3
88	и потому	4	3
89	той или	2	3
90	различия между	1	3
91	в одной	1	3
92	перед нами	3	3
93	в самом	9	3
94	т.п но	1	3
95	зрения на	2	3
96	заключается в	1	3
97	это не	2	3
98	точки зрения	6	3
99	в своих	4	3
100	в то	12	3
101	он мог	1	3
102	таким образом	17	3
103	они и	1	3
104	но при	1	3
105	в ее	6	3
106	времени и	4	3
107	еще в	1	3
108	и даже	8	3
109	картина мира	2	3
110	что и	3	3
111	существенную роль	3	3
112	из них	2	3
113	к ним	2	3
114	тем что	1	3
115	именно в	1	3
116	имеет место	1	3
117	мира в	1	3
118	по своему	8	3
119	тому как	1	3
120	того что	1	3
121	один из	5	3
122	все же	2	3
123	сказать что	3	3
124	другой стороны	2	3
125	в действительности	2	3
126	одним из	5	2
127	например в	4	2
128	он всегда	1	2
129	в году	3	2
130	для своего	2	2
131	в сущности	8	2
132	ему в	1	2
133	в виду	1	2
134	между собой	1	2
135	сказать и	1	2
136	в новом	1	2
137	за пределы	4	2
138	себя в	1	2
139	стороны и	1	2
140	как к	2	2
141	с некоторыми	2	2
142	хотя и	2	2
143	когда он	2	2
144	целый ряд	2	2
145	более или	2	2
146	и глубокой	1	2
147	в тех	1	2
148	в этой	6	2
149	эпохи и	6	2
150	всей его	1	2
151	так сказать	5	2
152	по словам	1	2
153	не следует	1	2
154	этого жанра	1	2
155	подобно тому	1	2
156	так например	2	2
157	и тем	1	2
158	не всегда	1	2
159	одного и	1	2
160	или менее	2	2
161	наших дней	1	2
162	устного народного	1	2
163	мысли и	1	2
164	но они	1	2
165	дело не	2	2
166	в науке	1	2
167	и его	12	2
168	уже о	1	2
169	же самое	1	2
170	числе и	2	2
171	но одновременно	1	2
172	и он	1	2
173	не ограничивается	1	2
174	в едином	3	2
175	как мы	7	2
176	с ее	5	2
177	данном случае	2	2
178	языка и	6	2
179	характер и	3	2
180	в пределах	5	2
181	на том	1	2
182	в другом	3	2
183	было в	1	2
184	строго говоря	1	2
185	и вообще	1	2
186	и что	1	2
187	в значительной	2	2
188	времени в	3	2
189	это было	1	2
190	на протяжении	1	2
191	и во	2	2
192	в форме	3	2
193	уходят в	1	2
194	в античной	1	2
195	в литературе	3	2
196	большей или	3	2
197	и одновременно	1	2
198	дело с	1	2
199	и ее	4	2
200	точка зрения	2	2
201	уже в	2	2
202	или даже	1	2
203	слова в	1	2
204	в одном	2	2
205	как его	1	2
206	никогда не	5	2
207	здесь в	3	2
208	к которому	3	2
209	и др	8	2
210	более того	3	2
211	однако и	1	2
212	его как	2	2
213	к его	3	2
