N	3gram	Tiupa_Anal_1	Myshleni
1	в том что	9	17
2	вместе с тем	1	10
3	для того чтобы	3	7
4	в отличие от	6	6
5	в собственном смысле	1	6
6	в зависимости от	1	5
7	с одной стороны	3	5
8	в связи с	1	5
9	друг с другом	1	5
10	и того же	2	4
11	смысле этого слова	1	4
12	во всяком случае	1	4
13	одного и того	2	4
14	о том что	3	3
15	состоит в том	3	3
16	сами по себе	2	3
17	в этом отношении	2	3
18	а с другой	1	3
19	с другой стороны	2	3
20	в том виде	1	2
21	имеет дело с	1	2
22	этой точки зрения	1	2
23	и той же	1	2
24	по отношению к	5	2
25	в этом смысле	1	2
26	только в том	1	2
27	как мы увидим	1	2
28	того и другого	2	2
29	тому или иному	1	2
30	включает в себя	1	2
31	то что мы	1	2
32	в известном смысле	1	2
33	не может быть	16	2
34	того или иного	3	2
35	собственном смысле слова	1	2
36	с этой точки	1	2
37	и вместе с	1	2
38	в свою очередь	1	2
39	если в основе	1	2
40	той или иной	6	2
41	одной и той	1	2
42	как и в	1	2
43	по своей природе	1	1
44	то в основе	1	1
45	не в состоянии	1	1
46	что иное как	5	1
47	в виду не	1	1
48	представляет собой не	1	1
49	отношению ко всем	1	1
50	не сами по	1	1
51	более или менее	1	1
52	в целом но	1	1
53	подобно тому как	3	1
54	в том числе	3	1
55	роль по отношению	1	1
56	то же самое	2	1
57	и в качестве	1	1
58	о том как	1	1
59	с точки зрения	4	1
60	что как бы	1	1
61	до сих пор	1	1
62	принимает на себя	1	1
63	сам по себе	1	1
64	есть в сущности	1	1
65	или иначе говоря	1	1
66	того что мы	1	1
67	по отношению ко	1	1
68	бы то ни	3	1
69	с ним в	1	1
70	между тем как	1	1
71	так как если	1	1
72	по аналогии с	1	1
73	из того что	3	1
74	том числе и	1	1
75	том или ином	3	1
76	этом мы будем	1	1
77	могли бы быть	2	1
78	исходили из того	1	1
79	как если бы	1	1
80	рода что и	1	1
81	не подлежит никакому	1	1
82	не что иное	4	1
83	в данном случае	2	1
84	не в его	1	1
85	все эти три	1	1
86	в том чтобы	7	1
87	и т.д в	1	1
88	не только в	1	1
89	то ни было	3	1
90	не сводится к	2	1
91	все же не	1	1
92	предполагает в качестве	1	1
93	и не могут	1	1
94	а отнюдь не	1	1
95	не могут быть	2	1
96	имеем дело с	3	1
97	этого слова если	1	1
98	по своей сущности	1	1
99	это означает что	2	1
100	есть не что	3	1
101	а вместе с	1	1
102	и как бы	1	1
103	включая в него	1	1
104	значение только в	1	1
105	еще не являются	1	1
106	начало и конец	1	1
107	и в самом	1	1
108	выходит за пределы	1	1
109	в течение всего	1	1
110	и остается в	1	1
111	как и сам	1	1
112	здесь мы имеем	1	1
113	и отношения между	1	1
114	к тому что	1	1
115	приводит нас к	1	1
116	в процессе его	1	1
117	с той или	1	1
118	здесь как и	1	1
119	связи и отношения	1	1
