N	3gram	Tiupa_Teor_1	Komedia
1	в том что	8	9
2	в то время	1	5
3	с другой стороны	5	5
4	то же время	5	4
5	в то же	5	4
6	по отношению к	4	3
7	с одной стороны	2	3
8	о том что	1	3
9	то же самое	1	2
10	при этом что	1	2
11	как и в	2	2
12	то ни было	1	2
13	бы то ни	1	2
14	именно потому что	1	2
15	но прежде всего	1	1
16	я думаю что	1	1
17	том что в	1	1
18	что иное как	1	1
19	состоит в том	5	1
20	на себя внимание	1	1
21	более или менее	2	1
22	подобно тому как	1	1
23	в том числе	2	1
24	в соответствии с	2	1
25	а между тем	1	1
26	те и другие	1	1
27	во времени и	1	1
28	только в условиях	1	1
29	можно говорить о	1	1
30	автор обращается к	1	1
31	состоит не в	1	1
32	и здесь мы	1	1
33	со всех сторон	1	1
34	в литературе нового	1	1
35	в коем случае	2	1
36	в значительной степени	1	1
37	в самом начале	2	1
38	так же как	1	1
39	в данном случае	5	1
40	обращает на себя	1	1
41	как видно из	1	1
42	по своему происхождению	1	1
43	в отличие от	6	1
44	так или иначе	4	1
45	в одном случае	1	1
46	а в другом	1	1
47	как один из	1	1
48	но он не	1	1
49	ни в коем	2	1
50	при этом они	1	1
51	не что иное	1	1
52	вовсе не означает	1	1
53	друг от друга	1	1
54	в большинстве случаев	1	1
55	литературе нового времени	1	1
56	к тому что	2	1
57	в отношении к	1	1
58	тем не менее	3	1
59	для того чтобы	1	1
60	такова в частности	1	1
61	и те и	1	1
