N	3gram	Vinokur_Ku_2	Narrotol
1	в том что	10	8
2	с одной стороны	1	7
3	о том что	1	6
4	в отличие от	2	5
5	не может быть	4	5
6	все те же	1	4
7	и не в	1	4
8	в данном случае	1	4
9	к тому же	1	4
10	с другой стороны	7	4
11	но все же	2	4
12	можно сказать что	2	4
13	состоит в том	1	3
14	бы то ни	1	3
15	в этом отношении	3	3
16	то ни было	1	3
17	тем не менее	5	3
18	то же время	3	3
19	в свою очередь	2	3
20	в то же	3	3
21	что иное как	1	2
22	в том или	1	2
23	с точки зрения	8	2
24	что это все	1	2
25	сами по себе	1	2
26	можно было бы	9	2
27	точно так же	3	2
28	то или иное	2	2
29	не то что	1	2
30	в значительной степени	1	2
31	так же как	2	2
32	не что иное	1	2
33	не только в	4	2
34	в известном смысле	1	2
35	на протяжении этого	1	2
36	в связи с	3	2
37	этой точки зрения	2	2
38	того или иного	2	2
39	в конечном счете	2	2
40	речь идет о	1	2
41	том или ином	1	2
42	так или иначе	2	2
43	том что в	1	1
44	только потому что	6	1
45	в данный момент	1	1
46	какой бы то	1	1
47	а не с	1	1
48	прежде всего в	1	1
49	дело в том	1	1
50	на самом деле	2	1
51	в этом последнем	1	1
52	в самом деле	7	1
53	в этом смысле	5	1
54	тем самым мы	2	1
55	по крайней мере	6	1
56	это дает нам	1	1
57	по себе они	2	1
58	до сих пор	1	1
59	тот или иной	1	1
60	сам по себе	1	1
61	в первую очередь	1	1
62	только то что	1	1
63	и то что	1	1
64	к тому чтобы	1	1
65	в последние десятилетия	1	1
66	но это не	1	1
67	в той мере	1	1
68	одна за другой	1	1
69	может быть только	2	1
70	с этой точки	2	1
71	может быть и	1	1
72	из уст в	1	1
73	может и не	1	1
74	является ли это	2	1
75	здесь сводится к	1	1
76	в первый раз	1	1
77	в году в	1	1
78	а также и	1	1
79	всю свою жизнь	1	1
80	именно это и	1	1
81	иметь в виду	1	1
82	в качестве одного	1	1
83	он уже не	1	1
84	в результате ли	1	1
85	мере в какой	1	1
86	и характерное для	1	1
87	в свое время	2	1
88	по себе не	2	1
89	обращается к нему	1	1
90	есть не что	1	1
91	ни одного слова	1	1
92	в том чтобы	1	1
93	само по себе	5	1
94	качестве одного из	1	1
95	и прежде всего	1	1
96	в этом своем	1	1
97	то только потому	1	1
98	может быть лучше	1	1
99	в силу своей	1	1
100	тех или иных	1	1
101	говорить о разных	1	1
102	уст в уста	1	1
103	в соответствии с	2	1
104	у нас нет	1	1
105	той мере в	1	1
106	как и в	1	1
107	как мы видели	1	1
