N	2gram	Medvedev_V_1	FransuaR
1	и в	2	41
2	в этом	1	15
3	то же	1	13
4	в том	2	11
5	все это	1	10
6	и его	1	9
7	в конце	2	8
8	по существу	1	8
9	и не	1	7
10	только в	1	6
11	потому что	1	5
12	на одном	1	5
13	к этому	1	5
14	конце концов	2	4
15	том что	2	4
16	в их	1	3
17	все то	1	3
18	так как	1	3
19	я не	1	3
20	но это	1	3
21	в значительной	1	2
22	одно и	1	2
23	время в	1	2
24	и самым	1	2
25	и то	1	2
26	значительной степени	1	2
27	все время	1	2
28	дело в	1	2
29	а только	1	2
30	и т.д	1	2
31	книге в	2	2
32	именно в	1	2
33	далеко не	1	2
34	в которых	1	2
35	в частности	1	1
36	в другом	1	1
37	что образы	1	1
38	для них	1	1
39	теснейшим образом	1	1
40	что слово	1	1
41	не будем	1	1
42	ведь это	1	1
43	вещь и	1	1
44	старых и	1	1
45	том же	1	1
46	в самом	1	1
47	все дело	1	1
48	так в	1	1
49	по своим	1	1
50	тем более	1	1
51	их как	1	1
52	самом деле	1	1
53	то чего	1	1
