N	3gram	Losev_Dial_3	Myslijsy
1	более или менее	1	8
2	сами по себе	3	7
3	во всяком случае	2	7
4	в том что	3	7
5	по крайней мере	5	5
6	тем не менее	10	5
7	подобно тому как	4	4
8	до сих пор	1	4
9	сам по себе	5	4
10	от того что	1	4
11	в то время	4	4
12	в том смысле	1	4
13	на то что	3	3
14	то время как	4	3
15	так что если	1	3
16	с одной стороны	3	3
17	не могут быть	2	3
18	мы не можем	2	3
19	и т д	23	3
20	потому что его	2	2
21	на самом деле	1	2
22	и во всех	1	2
23	в таком случае	10	2
24	одно и то	2	2
25	только потому что	1	2
26	для того кто	3	2
27	то что мы	3	2
28	или по крайней	1	2
29	не в том	1	2
30	с другой стороны	2	2
31	то же время	1	2
32	само по себе	5	2
33	во всем этом	1	2
34	не может быть	6	2
35	в то же	1	2
36	и то же	2	2
37	сама по себе	4	2
38	в сравнении с	3	2
39	только тогда когда	3	2
40	уже перестает быть	1	1
41	в подобных случаях	1	1
42	мы говорим что	1	1
43	ничего кроме этого	1	1
44	потому что в	1	1
45	но только не	1	1
46	и всякого рода	1	1
47	связанных между собою	1	1
48	и той же	1	1
49	но так как	1	1
50	что это не	2	1
51	показывает самое слово	1	1
52	имеет место в	1	1
53	это было бы	2	1
54	не только о	2	1
55	но и о	1	1
56	что все в	1	1
57	в таком виде	1	1
58	но даже и	2	1
59	выйти за пределы	2	1
60	в чем сущность	1	1
61	т д и	6	1
62	а потому что	1	1
63	одной стороны и	1	1
64	у нас есть	1	1
65	может быть только	1	1
66	не отличается от	4	1
67	друг на друга	1	1
68	по себе и	1	1
69	бы то ни	1	1
70	не имеем и	1	1
71	как это часто	1	1
72	из того что	2	1
73	одно из другого	1	1
74	и не может	1	1
75	и тогда не	1	1
76	есть одна из	1	1
77	в себе никакого	1	1
78	с этой точки	2	1
79	и тем не	2	1
80	и дает возможность	1	1
81	его не вижу	1	1
82	что мы не	1	1
83	убедить в том	1	1
84	как и в	3	1
85	то ни было	1	1
86	это будет значить	4	1
87	что для нас	1	1
88	в применении к	1	1
89	то тем самым	1	1
90	того что она	2	1
91	мы не видим	2	1
92	в одинаковых отношениях	1	1
93	в связи с	1	1
94	есть не только	2	1
95	как показывает самое	1	1
96	тела и души	1	1
97	тем самым не	1	1
98	и в таком	1	1
99	одно из них	1	1
100	нет никакой возможности	1	1
101	быть не только	1	1
102	не есть нечто	3	1
103	и как бы	1	1
104	том смысле что	1	1
105	никто никогда не	1	1
106	о том что	5	1
107	в одном из	1	1
108	что у него	1	1
109	что и в	1	1
110	именно тогда когда	1	1
111	в чем именно	1	1
112	но все эти	1	1
113	только в обществе	1	1
114	не менее в	1	1
115	тому что она	1	1
116	будет значить что	4	1
117	собственно говоря и	1	1
118	оно не имеет	1	1
119	одной и той	1	1
120	не о том	1	1
121	и в этом	2	1
122	мы до сих	1	1
123	не может находиться	1	1
124	то это опять	1	1
125	быть только очень	1	1
126	кто утверждает что	1	1
127	потому он не	1	1
128	существуют для него	1	1
