N	4gram	Bakhtin_Pr_1	slovoVRo
1	в то же время	3	12
2	и в то же	2	5
3	во всех его моментах	1	4
4	но в то же	1	4
5	не выходит за пределы	1	3
6	и в том и	1	2
7	с точки зрения самого	2	2
8	в то время как	1	2
9	том и в другом	1	2
10	в том и в	1	2
11	никогда не может быть	1	1
12	бы то ни было	2	1
13	входит в эстетический объект	2	1
14	то же время этот	1	1
15	или в лучшем случае	1	1
16	дело в том что	1	1
17	на самом же деле	1	1
18	оно не выходит за	1	1
19	во всех своих моментах	2	1
20	не входит в эстетический	1	1
21	всех его моментах как	1	1
22	точка зрения на мир	1	1
23	а иногда и прямо	1	1
24	бы они ни были	1	1
25	и т п и	1	1
26	и с точки зрения	1	1
27	в большинстве случаев не	2	1
