N	2gram	Tiupa_Disk_1	KFilosof
1	может быть	17	43
2	в его	7	39
3	в нем	9	31
4	не может	9	27
5	и не	11	26
6	по отношению	9	25
7	и в	16	22
8	в себе	7	21
9	в котором	5	21
10	отношению к	9	21
11	не есть	2	19
12	и его	2	17
13	в ее	3	17
14	а не	22	17
15	только в	7	16
16	в этом	15	13
17	точки зрения	3	13
18	и это	1	12
19	но не	11	12
20	поскольку я	1	12
21	для него	4	12
22	в своей	5	11
23	не в	7	11
24	к нему	1	11
25	во всех	5	10
26	в едином	2	10
27	в своем	6	10
28	это не	3	10
29	с точки	1	10
30	и есть	2	9
31	в их	5	9
32	в целом	4	9
33	но и	14	9
34	как бы	5	9
35	и все	2	9
36	лишь в	4	8
37	было бы	1	8
38	если бы	1	8
39	со стороны	7	8
40	не было	7	8
41	то что	5	7
42	во всем	1	7
43	в себя	5	7
44	что и	3	7
45	себя в	2	7
46	быть только	1	7
47	я не	1	6
48	момент в	1	6
49	отношение к	4	6
50	отнюдь не	8	6
51	мира в	3	6
52	он не	1	6
53	в мире	1	6
54	теоретического познания	1	6
55	и действительно	1	6
56	уже не	4	6
57	и их	1	6
58	но это	1	6
59	в смысле	1	6
60	в том	23	6
61	от своей	1	5
62	мы имеем	2	5
63	но как	2	5
64	все же	3	5
65	но в	8	5
66	жизнь как	1	5
67	не только	28	5
68	то же	7	5
69	но все	1	5
70	как и	16	5
71	от его	1	5
72	не имеет	1	5
73	никогда не	2	5
74	для себя	4	5
75	именно в	3	5
76	его как	2	5
77	в контексте	1	5
78	в основе	7	5
79	хотя бы	3	5
80	жизни в	2	5
81	не знает	1	5
82	как его	2	4
83	быть в	1	4
84	в чем	1	4
85	при этом	13	4
86	время и	1	4
87	не как	4	4
88	бы быть	3	4
89	тем самым	1	4
90	к ним	3	4
91	не по	1	4
92	чем не	1	4
93	о нем	2	4
94	в каком	1	4
95	в категориях	1	4
96	с ними	1	4
97	и т.д	4	4
98	ценностного центра	1	4
99	времени и	3	4
100	места и	1	4
101	между тем	4	4
102	в одном	2	4
103	поскольку мы	1	4
104	том что	19	4
105	а в	5	4
106	что в	4	4
107	в своих	3	4
