N	3gram	Potebnia_M_1	Tragedij
1	то же время	3	5
2	в то же	3	5
3	так и в	3	3
4	точно так же	1	2
5	и как бы	3	2
6	между этими двумя	1	2
7	о том что	1	2
8	но все же	1	2
9	в том что	13	2
10	а между тем	3	1
11	на все усилия	1	1
12	сменяющие друг друга	1	1
13	в таком виде	2	1
14	потому что сам	2	1
15	это должно быть	1	1
16	сам по себе	1	1
17	и т п	2	1
18	и в истории	1	1
19	может быть не	1	1
20	таком виде что	1	1
21	может быть понят	1	1
22	в применении к	2	1
23	во всяком случае	1	1
24	смысле этого слова	1	1
25	в голову что	1	1
26	но при этом	1	1
27	и в этом	6	1
28	и при этом	2	1
29	тем не менее	6	1
30	не имеет своих	1	1
31	не могут быть	2	1
32	что в таком	2	1
33	в связи с	1	1
34	не только к	1	1
35	на деле же	1	1
36	что при таком	2	1
37	не может быть	9	1
38	и все же	1	1
39	в одном из	1	1
40	с самого начала	3	1
41	не только не	2	1
42	несмотря на все	1	1
43	с тем и	1	1
44	и даже отчасти	1	1
45	после того как	1	1
46	к тому что	2	1
47	друг друга и	1	1
48	как и в	2	1
