N	2gram	Propp_Russ_1	OGranits
1	и в	36	13
2	и его	1	12
3	может быть	8	8
4	не может	4	8
5	и не	6	8
6	в его	2	7
7	и их	4	7
8	и пр	2	7
9	точки зрения	3	7
10	только в	4	6
11	как бы	5	6
12	не только	22	6
13	то что	6	6
14	мы должны	2	6
15	таким образом	6	6
16	все же	5	5
17	и наконец	1	5
18	с точки	3	5
19	мы не	6	4
20	но мы	1	4
21	еще и	1	4
22	но в	2	4
23	мы можем	2	4
24	то же	3	4
25	было бы	1	4
26	все это	6	4
27	в двух	1	4
28	не является	1	4
29	в каждом	2	4
30	самом деле	1	3
31	в пределах	1	3
32	так и	7	3
33	г в	4	3
34	говорить о	1	3
35	в их	4	3
36	по отношению	1	3
37	общего с	1	3
38	с этим	2	3
39	в которой	1	3
40	в себе	1	3
41	не как	1	3
42	в одном	3	3
43	так как	15	3
44	здесь мы	1	3
45	но и	16	3
46	слово в	1	3
47	как и	10	3
48	точку зрения	1	3
49	но для	1	3
50	и для	2	3
51	и все	1	3
52	отношению к	1	3
53	не столько	1	3
54	что в	19	3
55	ничего общего	2	3
56	для себя	1	2
57	ни одно	2	2
58	и др	4	2
59	данном случае	1	2
60	зависимости от	1	2
61	на две	1	2
62	мы уже	1	2
63	те же	1	2
64	подойти к	2	2
65	если бы	1	2
66	что иное	2	2
67	иное как	2	2
68	не что	2	2
69	в ней	2	2
70	а также	3	2
71	в чем	1	2
72	между тем	7	2
73	в общем	1	2
74	нуждается в	1	2
75	во всей	1	2
76	что они	7	2
77	наконец в	1	2
78	и следовательно	1	2
79	его на	1	2
80	как в	5	2
81	в данном	1	2
82	в этом	12	2
83	в том	17	2
84	мы видим	2	2
85	тот же	1	2
86	с ними	5	2
87	с г	2	2
88	от этого	1	2
89	в этот	10	2
90	в целом	2	2
91	и тем	1	2
92	все эти	2	2
93	думать что	3	2
94	уже в	1	2
95	в нем	2	2
96	связанные с	3	2
97	при этом	6	2
98	мы со	1	2
99	говорить об	1	2
100	тем что	4	2
101	в них	6	2
102	связанных с	1	2
103	в области	3	2
104	всей своей	1	2
105	входит в	4	2
106	не на	2	2
107	а не	2	2
108	в руках	1	2
109	там где	2	2
110	несмотря на	3	2
111	в связи	4	2
112	том что	19	2
113	в г	4	2
114	и при	1	2
115	и ее	1	2
116	так же	3	2
117	но такое	1	2
118	своего рода	3	2
119	который мы	1	2
120	в течение	5	2
121	против такого	1	2
122	в тех	4	2
123	не менее	3	2
124	не имеет	6	2
125	форм и	1	2
126	а в	9	2
127	еще в	4	2
128	в целях	3	2
129	и к	3	2
130	имеет место	2	2
131	могут быть	2	2
132	в своих	2	2
133	к тому	4	2
134	обычно в	1	1
135	и это	1	1
136	необходимо изучить	1	1
137	можно говорить	2	1
138	не думает	1	1
139	также и	1	1
140	же как	1	1
141	некоторые исследователи	2	1
142	в виду	1	1
143	того же	1	1
144	и сами	1	1
145	в некоторых	4	1
146	как известно	2	1
147	на основе	1	1
148	что до	1	1
149	только потому	1	1
150	в собственном	1	1
151	но тем	2	1
152	работы но	1	1
153	ту же	1	1
154	его чрезвычайно	1	1
155	и до	2	1
156	некоторых других	1	1
157	не имеют	1	1
158	собственном смысле	1	1
159	на том	1	1
160	в образе	2	1
161	для которой	1	1
162	можно было	1	1
163	в несколько	1	1
164	значения как	1	1
165	что изучение	1	1
166	или на	3	1
167	мы имеем	4	1
168	даже у	1	1
169	к тем	3	1
170	и о	1	1
171	вопрос о	1	1
172	на место	1	1
173	быть может	1	1
174	для этого	2	1
175	по мере	1	1
176	на себя	2	1
177	и который	1	1
178	но даже	2	1
179	ему в	1	1
180	не совсем	4	1
181	и он	1	1
182	в каждой	1	1
183	революции в	1	1
184	внимание на	1	1
185	и что	4	1
186	рождения и	1	1
187	совершенно иных	1	1
188	еще не	4	1
189	в различных	2	1
190	к нему	1	1
191	на самом	2	1
192	совсем не	1	1
193	но не	2	1
194	того общего	1	1
195	борьбе с	1	1
196	природы и	2	1
197	тут же	2	1
198	примыкает к	1	1
199	разница в	1	1
200	значение имеет	1	1
201	на то	1	1
202	детей и	2	1
203	в истории	1	1
204	эта связь	1	1
205	полагая что	3	1
206	в своем	3	1
207	как из	1	1
208	что касается	1	1
209	один из	8	1
210	которые и	1	1
211	тех случаях	1	1
212	эту точку	1	1
213	и как	2	1
214	всего не	1	1
215	его к	2	1
216	этот вопрос	2	1
217	что он	1	1
218	работах так	1	1
219	который в	1	1
220	не приходится	1	1
221	этим словом	1	1
222	по которым	1	1
223	так в	4	1
224	ни одна	1	1
225	в этой	1	1
226	значение так	1	1
227	в дальнейшем	2	1
228	можно установить	1	1
229	сливаются в	1	1
230	не можем	3	1
231	и у	5	1
232	только на	3	1
233	себя и	2	1
234	в нашей	1	1
235	века к	1	1
236	к слову	2	1
237	что она	2	1
238	и других	7	1
239	его и	2	1
240	одно из	5	1
241	не будут	1	1
242	нашел и	1	1
243	состоит в	8	1
244	в виде	6	1
245	и один	1	1
246	и должна	1	1
247	привела к	1	1
248	но что	2	1
249	только с	1	1
250	каждый из	1	1
251	подобно тому	1	1
252	отличие от	1	1
253	на этом	3	1
254	встречаются в	2	1
255	ее на	1	1
256	ни о	1	1
257	же не	2	1
258	в особенности	2	1
259	и характер	1	1
260	в совершенно	1	1
261	к другому	2	1
262	были для	1	1
263	на все	2	1
264	и здесь	2	1
265	его в	1	1
266	и лучше	2	1
267	главное и	1	1
268	от одного	1	1
269	к которому	1	1
270	встал на	1	1
271	ясно в	1	1
272	что мы	1	1
273	только одно	1	1
274	обратиться к	1	1
275	этом мы	1	1
276	для них	3	1
277	не было	2	1
278	которые не	3	1
279	далеко не	3	1
280	у других	1	1
281	и самый	1	1
282	не всегда	1	1
283	которой он	1	1
284	он и	1	1
285	долгое время	1	1
286	отнюдь не	2	1
287	такой же	2	1
288	если не	1	1
289	но если	1	1
290	полностью в	1	1
291	которую мы	1	1
292	при изучении	5	1
293	своей общей	1	1
294	как это	8	1
295	и назначение	1	1
296	представление о	3	1
297	научно объяснить	1	1
298	в отличие	1	1
299	в которых	5	1
300	том основании	1	1
301	здесь он	1	1
302	к этому	4	1
303	должно было	2	1
304	тому как	1	1
305	тем не	3	1
306	как средство	1	1
307	и более	2	1
308	их в	3	1
309	в пении	1	1
310	и наоборот	1	1
311	необходимо чтобы	1	1
312	быть не	1	1
313	этого слова	3	1
314	тому что	4	1
315	быть и	2	1
316	до конца	2	1
317	вплоть до	4	1
318	но это	4	1
319	слово для	1	1
320	в начале	1	1
321	виду что	1	1
322	в то	1	1
323	что могут	1	1
324	одна из	4	1
325	работ в	1	1
326	весь этот	1	1
327	не говорить	1	1
328	случаях когда	1	1
329	уже на	1	1
330	в самых	1	1
331	иметь в	1	1
332	хотя они	1	1
333	при таком	1	1
334	в разных	3	1
335	или в	2	1
336	того как	5	1
337	именно с	2	1
338	или как	1	1
339	в основе	1	1
340	важное значение	1	1
341	от него	1	1
342	с понятием	1	1
343	это слово	1	1
344	потому что	10	1
345	общего не	1	1
346	песенного типа	1	1
347	связи с	4	1
348	которым можно	1	1
349	до того	2	1
350	этом отношении	1	1
351	не вполне	1	1
352	об этом	9	1
353	этот не	1	1
354	это все	1	1
355	основании что	1	1
356	не знает	1	1
357	сказать что	1	1
358	мы здесь	1	1
359	ли не	1	1
360	с его	1	1
361	только о	1	1
362	но основные	1	1
363	должны быть	1	1
364	вместе с	10	1
365	же только	1	1
366	например в	2	1
367	г о	1	1
368	по поводу	1	1
369	они не	1	1
