N	2gram	Berdyaev_N_1	BTomashe
1	у нас	1	3
2	и не	11	2
3	в ней	5	2
4	можно было	2	2
5	все это	5	2
6	говорить о	1	1
7	во всяком	1	1
8	с другой	3	1
9	о свободе	1	1
10	вопрос о	3	1
11	в своей	3	1
12	всяком случае	1	1
13	в области	1	1
14	в эпоху	9	1
15	и в	16	1
16	будто бы	1	1
17	так и	2	1
18	за пределы	3	1
19	также что	1	1
20	что все	2	1
21	и нет	1	1
22	не было	4	1
23	и во	1	1
24	должна быть	3	1
25	было бы	1	1
26	было и	1	1
27	и потому	4	1
28	в значительной	1	1
29	на формальной	1	1
30	выходит за	1	1
31	и более	1	1
32	прежде всего	4	1
33	моментом в	1	1
34	творчества и	1	1
35	что в	9	1
36	к ней	1	1
37	еще не	3	1
38	как будто	2	1
39	не только	5	1
40	и на	2	1
41	другой стороны	2	1
42	из ее	2	1
43	значительной степени	1	1
44	а не	17	1
