N	4gram	Tiupa_Anal_1	Myshleni
1	в такой же мере	1	3
2	может быть сведено к	2	2
3	одно и то же	1	2
4	одной и той же	1	2
5	в основе которого лежит	1	2
6	так как если бы	1	1
7	истинном значении этого слова	1	1
8	и та и другая	1	1
9	в собственном смысле слова	1	1
10	или во всяком случае	1	1
11	в том числе и	1	1
12	с этой точки зрения	1	1
13	в то же время	6	1
14	же мере как и	1	1
15	в том что он	2	1
16	то же самое время	2	1
17	для того чтобы быть	1	1
18	в том виде в	1	1
19	том виде в каком	1	1
20	такой же мере как	1	1
21	в то же самое	2	1
22	из того что в	2	1
23	в отличие от элементов	1	1
24	во всех своих частях	1	1
