N	2gram	Vygotskiy__2	formyVre
1	и в	15	50
2	в этом	19	25
3	в нем	1	24
4	и его	4	16
5	прежде всего	4	15
6	как мы	6	14
7	и не	7	14
8	в его	2	13
9	вовсе не	6	13
10	как раз	4	13
11	по существу	5	12
12	так и	8	12
13	человека и	3	11
14	то же	5	11
15	мы уже	6	11
16	таким образом	14	11
17	может быть	9	11
18	и как	2	10
19	но в	6	10
20	с его	4	9
21	все эти	3	9
22	не только	15	9
23	ничего не	3	9
24	в том	33	9
25	в других	2	9
26	в особенности	1	9
27	и др	5	9
28	того же	3	8
29	и на	1	8
30	в самом	11	8
31	ни в	2	8
32	жизни в	1	8
33	но и	10	8
34	и их	5	8
35	как и	6	8
36	так сказать	1	7
37	для себя	3	7
38	и во	1	7
39	время в	1	6
40	во всех	2	6
41	как в	4	6
42	с этим	3	6
43	все же	4	6
44	лишь в	3	6
45	это не	5	6
46	в их	2	6
47	так как	4	6
48	с ее	2	6
49	в ее	1	6
50	в дальнейшем	1	6
51	связи с	9	6
52	в жизни	1	6
53	у него	2	6
54	то что	20	6
55	в частности	6	6
56	не может	9	6
57	так же	4	6
58	в результате	3	6
59	и все	3	6
60	отношению к	5	5
61	и до	3	5
62	но не	3	5
63	и речи	13	5
64	отнюдь не	2	5
65	не в	8	5
66	он не	7	5
67	значение в	3	5
68	с самим	1	5
69	в основе	3	5
70	того чтобы	12	5
71	точки зрения	26	5
72	не могло	2	5
73	только и	1	5
74	могут быть	2	5
75	но все	2	5
76	в пределах	1	5
77	если бы	8	5
78	для того	10	5
79	в связи	6	5
80	наряду с	2	5
81	что в	14	5
82	и то	1	4
83	и это	3	4
84	в ней	1	4
85	в своем	9	4
86	конечно не	1	4
87	раз в	2	4
88	но на	3	4
89	время и	1	4
90	чтобы они	1	4
91	и с	4	4
92	в них	4	4
93	том что	27	4
94	в котором	2	4
95	здесь на	1	4
96	в процессе	11	4
97	не имеет	4	4
98	потому что	7	4
99	к себе	2	4
100	здесь не	1	4
101	понятно что	2	4
102	или как	2	4
103	только в	4	4
104	между этими	1	4
105	и т.п	7	4
106	до конца	1	4
107	на этой	2	4
108	в присутствии	2	4
109	в той	1	4
110	своей жизни	2	4
111	все это	4	4
112	между собой	1	4
113	и для	2	4
114	том числе	3	4
115	по преимуществу	1	3
116	не имеют	1	3
117	есть не	1	3
118	всего того	1	3
119	мы не	10	3
120	в сущности	9	3
121	в виду	6	3
122	по отношению	6	3
123	себе и	1	3
124	со своей	1	3
125	в себе	2	3
126	при этом	3	3
127	она становится	1	3
128	вообще не	1	3
129	одно и	1	3
130	в основу	1	3
131	его в	1	3
132	входит в	1	3
133	и других	2	3
134	с другими	3	3
135	для них	1	3
136	между ними	1	3
137	в этих	2	3
138	эта черта	1	3
139	в отношении	6	3
140	мы говорили	1	3
141	но эта	3	3
142	их в	4	3
143	друг друга	5	3
144	уже говорили	3	3
145	этом отношении	3	3
146	не могут	2	3
147	к тому	7	3
148	нас в	2	3
149	что и	2	3
150	во всей	5	3
151	один из	1	3
152	мы видим	4	3
153	одной из	3	3
154	во времени	1	3
155	и ее	3	3
156	с одной	7	3
157	в качестве	4	3
158	только на	1	3
159	в начале	4	3
160	был бы	1	3
161	одно из	1	3
162	в одном	2	3
163	до сих	1	3
164	связаны с	1	3
165	именно в	2	3
166	что не	1	3
167	только к	1	3
168	более того	1	3
169	с тем	1	3
170	а не	3	3
171	вместе с	6	3
172	и потому	1	3
173	да и	1	3
174	сих пор	1	3
175	или в	3	3
176	совершенно иной	1	3
177	еще более	1	3
178	а в	4	3
179	не знает	1	3
180	сказать что	6	3
181	они не	3	3
182	к этому	4	3
183	во всяком	7	3
184	смысле слова	5	2
185	также и	2	2
186	же как	2	2
187	тех же	1	2
188	здесь и	3	2
189	и принципиально	1	2
190	той же	2	2
191	вопрос о	5	2
192	и изучает	1	2
193	принадлежит к	2	2
194	появляются у	1	2
195	же что	1	2
196	в чем	1	2
197	как если	1	2
198	на другой	1	2
199	друг к	1	2
200	мы будем	3	2
201	друг на	1	2
202	не входит	1	2
203	нет и	2	2
204	в истории	6	2
205	же и	1	2
206	для всех	4	2
207	того не	1	2
208	стороны и	2	2
209	с их	2	2
210	не являются	1	2
211	и к	6	2
212	мир и	1	2
213	имеет в	1	2
214	от этого	2	2
215	в целом	10	2
216	тому же	1	2
217	в нашем	1	2
218	как бы	7	2
219	как он	6	2
220	всей его	2	2
221	по самому	1	2
222	и еще	1	2
223	и по	3	2
224	но дело	1	2
225	что все	4	2
226	об этом	3	2
227	к другу	1	2
228	было бы	10	2
229	с необходимостью	1	2
230	нет в	1	2
231	рядом с	1	2
232	на друга	1	2
233	чем в	2	2
234	мир в	1	2
235	автора и	1	2
236	для него	3	2
237	в своей	4	2
238	он должен	2	2
239	с точки	18	2
240	место в	1	2
241	не к	1	2
242	в отличие	3	2
243	в которых	3	2
