N	3gram	Medvedev_U_1	Problema
1	в том что	2	8
2	то же самое	2	6
3	по крайней мере	2	6
4	сам по себе	1	6
5	с другой стороны	3	6
6	в данном случае	1	5
7	но даже и	2	4
8	не только в	1	4
9	имеем в виду	1	3
10	в этом смысле	2	3
11	тех или иных	2	3
12	хотя бы и	2	2
13	или по крайней	1	2
14	в значительной мере	1	2
15	и в частности	2	2
16	нам представляется что	1	2
17	более или менее	1	2
18	и независимо от	1	2
19	и прежде всего	1	2
20	не может обойтись	1	2
21	в то же	3	2
22	в буквальном смысле	1	2
23	и все они	1	2
24	не о чем	1	1
25	превратилось бы в	1	1
26	мы имеем в	1	1
27	это было бы	1	1
28	равно как и	1	1
29	чем то что	1	1
30	и в то	1	1
31	бы то ни	3	1
32	в первую очередь	1	1
33	они находятся в	1	1
34	до сих пор	2	1
35	и то что	2	1
36	в ней не	1	1
37	то ни было	3	1
38	с одной стороны	1	1
39	на первый взгляд	1	1
40	в конце концов	2	1
41	он прежде всего	1	1
42	не в том	1	1
43	роль не только	1	1
44	по себе еще	1	1
45	не случайно и	1	1
46	само по себе	1	1
47	на то что	1	1
48	конечно не в	1	1
49	у нас в	1	1
50	это не только	1	1
51	в этой области	3	1
52	в отдельности и	1	1
