N	3gram	Kanaev_Sov_1	Myshleni
1	в том что	1	19
2	по отношению к	1	10
3	с точки зрения	5	10
4	с самого начала	3	7
5	так же как	1	6
6	то же самое	2	6
7	в зависимости от	4	5
8	можно было бы	1	5
9	друг с другом	2	5
10	и той же	1	3
11	до сих пор	1	3
12	мы видели что	3	3
13	мы знаем что	1	3
14	одной и той	1	3
15	в этом смысле	1	2
16	в этом случае	1	2
17	и не может	1	2
18	на этой стадии	1	2
19	на этот вопрос	1	2
20	к которому они	1	2
21	в этой области	1	2
22	не могут быть	1	2
23	когда мы говорим	1	2
24	в скрытом виде	1	2
25	в связи с	1	2
26	не может быть	4	2
27	которому они относятся	1	1
28	один и тот	1	1
29	что иное как	1	1
30	в которой он	1	1
31	оно может быть	1	1
32	на самом деле	1	1
33	в самом конце	1	1
34	с этим вопросом	1	1
35	и во всех	1	1
36	сами по себе	1	1
37	вместе с понятием	1	1
38	в отличие от	2	1
39	и именно в	1	1
40	по аналогии с	1	1
41	совершенно так же	1	1
42	но мы знаем	1	1
43	по самому своему	1	1
44	и могут быть	1	1
45	ясно что при	1	1
46	в процессе развития	1	1
47	в одном случае	1	1
48	в данном случае	1	1
49	можем ли мы	1	1
50	только и могут	1	1
51	с одной стороны	1	1
52	на этот раз	1	1
53	и тот же	1	1
54	тот факт что	1	1
55	и в этом	1	1
56	заключают в себе	1	1
57	собственно и составляет	1	1
58	в этом направлении	1	1
59	что при таком	1	1
60	в наших экспериментах	1	1
61	и все же	1	1
62	есть не что	1	1
63	раз и навсегда	1	1
64	мы не можем	6	1
65	не что иное	1	1
66	же самое что	1	1
67	в свою очередь	2	1
68	не может не	3	1
69	но отнюдь не	1	1
70	в самом деле	1	1
71	к одному и	1	1
72	той или иной	1	1
73	заключать в себе	1	1
74	в данной области	1	1
75	одному и к	1	1
76	сводится только к	1	1
77	что в каждом	1	1
78	его развития но	1	1
79	говорить только о	1	1
80	тем не менее	2	1
81	этом смысле можно	1	1
82	же самое в	1	1
83	может быть в	1	1
84	в настоящее время	2	1
85	и к другому	1	1
