N	2gram	Vinokur_St_3	Problemy
1	и в	25	35
2	как бы	6	31
3	и не	10	27
4	что он	19	24
5	в его	12	21
6	но в	5	19
7	как и	4	18
8	не может	7	18
9	в нем	1	16
10	то есть	2	16
11	то же	5	15
12	и все	1	15
13	в сущности	2	14
14	в этом	24	14
15	и его	3	14
16	для него	3	14
17	может быть	19	14
18	но и	9	14
19	все это	8	14
20	он не	5	13
21	что я	3	13
22	к нему	4	13
23	и с	4	12
24	в другом	3	12
25	прежде всего	10	12
26	и к	4	12
27	в пределах	1	11
28	в то	7	11
29	самом деле	2	10
30	не только	12	10
31	не в	6	10
32	же время	3	10
33	то что	12	10
34	на самом	1	9
35	в отношении	2	9
36	ни одного	1	9
37	все же	4	8
38	самого начала	2	8
39	как мы	2	8
40	с самого	2	8
41	так и	5	8
42	себя и	2	8
43	и для	4	8
44	потому что	5	8
45	еще не	2	7
46	с его	3	7
47	и наконец	3	7
48	самим собой	1	7
49	лишь в	4	7
50	там где	1	7
51	таким образом	10	7
52	для себя	1	7
53	и сам	1	7
54	в виде	3	7
55	вовсе не	2	7
56	так же	1	7
57	что же	1	7
58	точки зрения	7	7
59	с ним	1	7
60	а в	6	7
61	отношении к	1	7
62	и на	6	6
63	но не	2	6
64	отношение к	4	6
65	что они	2	6
66	в самом	2	6
67	что у	2	6
68	в плане	2	6
69	в каждом	4	6
70	в речах	5	6
71	к тому	2	6
72	он с	1	6
73	в одном	1	6
74	и что	3	6
75	только в	6	6
76	слова в	1	6
77	но это	4	6
78	не знает	1	6
79	что в	19	6
80	и то	1	5
81	как в	6	5
82	на протяжении	4	5
83	он и	2	5
84	от себя	1	5
85	в конце	6	5
86	даже в	1	5
87	во время	3	5
88	на него	1	5
89	его с	1	5
90	и это	5	5
91	в том	20	5
92	так что	11	5
93	этого слова	2	5
94	так чтобы	2	4
95	в чем	4	4
96	нет и	2	4
97	что это	16	4
98	но на	1	4
99	на его	4	4
100	но все	2	4
101	его в	1	4
102	звучат в	2	4
103	в них	5	4
104	рядом с	1	4
105	в эту	4	4
106	в своей	4	4
107	в такой	2	4
108	его отношение	2	4
109	но он	3	4
110	друг другу	1	4
111	по себе	1	4
112	никогда не	2	4
113	он хочет	2	4
114	как раз	3	4
115	это слово	3	4
116	протяжении всего	1	4
117	той или	1	4
118	он говорил	5	4
119	все его	1	4
120	между тем	6	4
121	все время	2	4
122	которым он	1	4
