N	2gram	Medvedev_V_1	OGranits
1	и в	2	13
2	и его	1	12
3	и не	1	8
4	только в	1	6
5	и т.д	1	5
6	хотя бы	1	5
7	то же	1	4
8	все это	1	4
9	и то	1	3
10	самом деле	1	3
11	в их	1	3
12	так как	1	3
13	одно и	1	3
14	да и	1	3
15	в этом	1	2
16	в том	2	2
17	в другом	1	2
18	в самом	1	2
19	том что	2	2
20	в книге	3	2
21	в шкловского	5	2
22	и сводится	1	1
23	стр и	1	1
24	без знания	1	1
25	другое дело	1	1
26	сводится к	1	1
27	другом месте	1	1
28	теории литературы	1	1
29	столь же	1	1
30	время в	1	1
31	что язык	1	1
32	стилистики в	1	1
33	что слово	1	1
34	в значительной	1	1
35	так в	1	1
36	в конце	2	1
37	как же	1	1
38	для них	1	1
39	далеко не	1	1
40	все время	1	1
41	в которых	1	1
42	к этому	1	1
43	но это	1	1
44	о теории	1	1
45	на одном	1	1
46	тем более	1	1
47	потому что	1	1
48	речи и	1	1
49	все то	1	1
50	по поводу	1	1
