N	3gram	Savitsky_E_1	VelikijI
1	к тому что	1	3
2	но и в	1	2
3	не будет уже	1	2
4	вместо того чтобы	1	2
5	в том что	6	2
6	и т д	1	2
7	другой стороны в	1	1
8	в этом мире	1	1
9	и то и	1	1
10	хотя бы и	3	1
11	не к тому	1	1
12	бы то ни	4	1
13	это сделали мы	1	1
14	но от этого	1	1
15	то и другое	1	1
16	есть то что	1	1
17	в известном смысле	3	1
18	и в этом	4	1
19	и не было	1	1
20	не могут быть	1	1
21	с другой стороны	2	1
22	прошлом и настоящем	1	1
23	по сравнению с	2	1
24	так и в	2	1
25	и в другие	1	1
