N	3gram	Losev_Dial_3	OGranits
1	с точки зрения	14	5
2	не может быть	6	4
3	одно и то	2	3
4	что иное как	6	2
5	но так как	1	2
6	в самом деле	5	2
7	в зависимости от	2	2
8	не чем иным	1	2
9	в данном случае	1	2
10	с одной стороны	3	2
11	и то же	2	2
12	с другой стороны	2	2
13	того или иного	2	2
14	есть не что	3	2
15	чем иным как	1	2
16	не что иное	6	2
17	в том что	3	2
18	том что в	1	1
19	только потому что	1	1
20	что в основе	1	1
21	этой точки зрения	2	1
22	иметь в виду	2	1
23	в виду что	1	1
24	более или менее	1	1
25	на самом деле	1	1
26	подобно тому как	4	1
27	выйти за пределы	2	1
28	то же самое	1	1
29	в чем его	1	1
30	и не может	1	1
31	не обязательна но	1	1
32	будет существовать если	1	1
33	в этом отношении	1	1
34	остается только развести	1	1
35	с этой точки	2	1
36	так как все	2	1
37	в последнее время	1	1
38	так же как	2	1
39	далеко не всегда	1	1
40	если бы мы	1	1
41	речь может идти	1	1
42	тем не менее	10	1
43	и как бы	1	1
44	но может быть	1	1
45	в связи с	1	1
46	развести руками если	1	1
47	само по себе	5	1
48	в этот вопрос	1	1
49	это конечно не	1	1
50	он и не	1	1
51	не только одно	1	1
52	не мог бы	1	1
53	что же такое	2	1
54	и если наконец	1	1
55	то же время	1	1
56	мы не можем	2	1
57	что в ней	1	1
58	дуализм с одной	1	1
59	и никогда не	1	1
60	собственно говоря и	1	1
61	только развести руками	1	1
62	в конечном счете	1	1
63	но что же	1	1
64	и призыв к	1	1
65	возможно только в	1	1
66	есть одно и	1	1
67	на то что	3	1
68	в то же	1	1
69	к тому что	2	1
70	тех или иных	1	1
71	как и в	3	1
