N	3gram	Losev_Vlad_1	PoTuStor
1	в чем не	1	3
2	в этом смысле	4	3
3	во всяком случае	2	3
4	не может быть	3	3
5	ни в чем	1	3
6	можно сказать что	2	3
7	нам кажется что	1	2
8	в самом деле	1	2
9	но в общем	1	2
10	в переводе на	1	2
11	о том что	7	2
12	но отнюдь не	1	2
13	на протяжении всей	1	2
14	и в этом	1	2
15	и с его	1	2
16	несколько слов о	1	1
17	жизни и деятельности	1	1
18	для него только	1	1
19	уже не может	1	1
20	дело в том	4	1
21	но даже и	2	1
22	едва ли так	1	1
23	как это делает	1	1
24	этим и объясняется	1	1
25	на первый план	2	1
26	он не был	1	1
27	в этой борьбе	1	1
28	бы то ни	1	1
29	в этом отношении	1	1
30	а в конце	1	1
31	как это было	1	1
32	нас здесь интересует	1	1
33	вместе с тем	1	1
34	так как он	2	1
35	со всеми его	1	1
36	то ни было	1	1
37	с одной стороны	1	1
38	в связи с	1	1
39	в году в	2	1
40	а с другой	1	1
41	имеем дело с	1	1
42	в этот момент	1	1
43	в свое время	5	1
44	в том что	7	1
45	в разных местах	1	1
46	и ни в	1	1
47	для нас очень	1	1
48	так и в	1	1
49	это и есть	1	1
50	еще в году	1	1
51	и теперь в	1	1
52	что иное как	1	1
53	может быть речи	1	1
54	мы знаем что	2	1
55	в известной степени	1	1
56	свое время и	1	1
57	не что иное	1	1
58	на всю жизнь	1	1
59	мы уже знаем	1	1
60	для того чтобы	2	1
61	случае не может	1	1
62	и можно сказать	1	1
