N	4gram	Voloshinov_1	OGranits
1	до тех пор пока	2	3
2	не чем иным как	1	2
3	может быть и речи	2	1
4	лишь с точки зрения	2	1
5	побочно и более или	1	1
6	соссюр и его школа	1	1
7	должны быть сведены к	1	1
8	более или менее случайно	1	1
9	и не может быть	4	1
10	один и тот же	3	1
11	сознания с другой стороны	1	1
12	является не чем иным	1	1
13	не может быть и	2	1
14	с этой точки зрения	1	1
15	с другой стороны оно	1	1
16	и более или менее	1	1
17	что побочно и более	1	1
18	но в то же	2	1
19	нет и не может	2	1
20	в то же время	3	1
21	тождественность языковой формы напр	1	1
22	которым можно было бы	1	1
23	в науке о языке	3	1
