N	2gram	Propp_Morf_1	Russkaja
1	не может	14	22
2	и не	12	19
3	в том	6	17
4	в этом	14	17
5	и в	13	14
6	с другом	1	14
7	друг с	1	14
8	то что	8	13
9	то же	7	11
10	точки зрения	2	11
11	таким образом	21	11
12	в то	3	10
13	но и	4	10
14	в себе	1	9
15	не только	4	9
16	том что	4	9
17	с точки	2	9
18	может быть	52	9
19	во всяком	2	9
20	того чтобы	3	8
21	прежде всего	9	8
22	как на	1	8
23	самом деле	4	7
24	и с	1	7
25	в данном	1	7
26	к тому	4	7
27	не будет	1	7
28	о том	2	7
29	самого себя	2	7
30	мы должны	3	7
31	ни к	2	7
32	если в	5	6
33	и к	4	6
34	в россии	2	6
35	с тем	2	6
36	и при	1	6
37	если бы	2	6
38	и для	2	6
39	для того	2	6
40	что он	4	6
41	всяком случае	2	6
42	для всех	1	6
43	для него	1	6
44	на самом	4	6
45	вопрос о	7	5
46	и на	1	5
47	между собой	4	5
48	во всех	4	5
49	на то	2	5
50	при этом	1	5
51	он не	3	5
52	он должен	2	5
53	было бы	3	5
54	в своей	1	5
55	потому что	3	5
56	между тем	5	5
57	а потому	1	5
58	только в	2	5
59	хотя бы	4	5
60	до сих	1	5
61	себя и	2	5
62	из которых	3	5
63	по существу	12	5
64	сих пор	1	5
65	а в	7	5
66	и то	1	4
67	бы то	3	4
68	но не	4	4
69	себя в	1	4
70	все же	7	4
71	более или	2	4
72	не в	3	4
73	в этой	2	4
74	то ни	3	4
75	в совершенно	1	4
76	что такой	1	4
77	том случае	1	4
78	его в	2	4
79	как и	3	4
80	или менее	2	4
81	точку зрения	1	4
82	во всем	1	4
83	к соединению	1	4
84	от того	3	4
85	не могут	4	4
86	при таких	1	4
87	приводит к	2	4
88	можно было	2	4
89	путь к	2	4
90	в его	1	4
91	так как	16	4
92	лишь к	1	4
93	со стороны	3	4
94	все таки	1	4
95	что же	2	4
96	как бы	3	4
97	в другое	1	4
98	что в	8	4
99	к этой	1	4
100	вряд ли	2	3
101	и т	41	3
102	то в	3	3
103	и этот	1	3
104	так чтобы	1	3
105	говорить о	3	3
106	и ни	1	3
107	еще не	3	3
108	он сам	1	3
109	из этих	1	3
110	что они	2	3
111	во что	1	3
112	что это	1	3
113	ни одна	4	3
114	главным образом	4	3
115	и по	2	3
116	в другом	2	3
117	о которых	1	3
118	несмотря на	4	3
119	должно быть	1	3
120	но если	7	3
121	мы говорили	1	3
122	можно ли	1	3
123	одна из	4	3
124	связи с	10	3
125	то это	3	3
126	приходит к	1	3
127	данном случае	1	3
128	ни стало	1	3
129	может только	1	3
130	собой и	1	3
131	может не	1	3
132	но мы	3	3
133	что и	7	3
134	что бы	1	3
135	того что	3	3
136	одной из	1	3
137	в качестве	5	3
138	в большинстве	3	3
139	в виде	2	3
140	из них	3	3
141	друг друга	3	3
142	тем что	4	3
143	таких условиях	1	3
144	этом случае	8	3
145	она может	1	3
146	или в	4	3
147	о котором	1	3
148	и как	5	3
149	все они	1	3
150	не есть	1	3
151	из этого	1	3
152	случае если	1	3
153	и есть	2	2
154	должна быть	1	2
155	к чему	3	2
156	приводят к	1	2
