N	3gram	Medvedev_V_1	Tvorches
1	в то же	5	13
2	то же время	5	12
3	в том что	5	6
4	о том что	3	5
5	в конечном счете	5	4
6	но в то	1	4
7	в соответствии с	1	3
8	и т п	9	2
9	по крайней мере	2	2
10	о свободе воли	1	2
11	в данном случае	1	2
12	не только в	2	2
13	человека таким образом	1	2
14	можно сказать что	4	2
15	и в то	3	2
16	и борьба противоположностей	1	1
17	этой проблемы в	1	1
18	чем отличается от	1	1
19	не может не	2	1
20	хотя и не	1	1
21	но она не	1	1
22	таким образом уже	1	1
23	в прямом смысле	1	1
24	чуть ли не	2	1
25	как один из	1	1
26	образом уже в	1	1
27	равно как и	4	1
28	имеем в виду	1	1
29	значит что он	1	1
30	то же самое	1	1
31	в том же	1	1
32	это не противоречит	1	1
33	по отношению к	7	1
34	до сих пор	1	1
35	хотя бы и	5	1
36	сами по себе	1	1
37	что он не	1	1
38	только то что	2	1
39	не могут быть	1	1
40	действительной жизни и	1	1
41	то что в	1	1
42	а вместе с	1	1
43	заключает в себе	1	1
44	это вовсе не	1	1
45	война и мир	2	1
46	во всей ее	1	1
47	вместе с тем	3	1
48	вспомним хотя бы	1	1
49	некоторые из них	1	1
50	ту или иную	1	1
51	бы и в	1	1
52	в своем творчестве	3	1
53	в ту же	1	1
54	и эдгар по	1	1
55	единство и борьба	1	1
56	в этой области	3	1
57	из действительной жизни	1	1
58	с одной стороны	2	1
59	в конце концов	2	1
60	а как бы	1	1
61	не только для	1	1
62	и в их	1	1
63	в связи с	3	1
64	в действительной жизни	1	1
65	не заметить что	1	1
66	в стихах и	1	1
67	бросается в глаза	1	1
68	в этом плане	1	1
69	так и от	2	1
70	от апреля года	2	1
71	у него в	1	1
72	процессе художественного творчества	3	1
73	в свою очередь	1	1
74	но даже в	1	1
75	с другой стороны	8	1
76	таким образом и	1	1
77	в процессе художественного	3	1
78	не значит что	1	1
79	к тому что	3	1
80	реальной действительности и	3	1
81	мало чем отличается	1	1
82	дело не в	1	1
83	к тому же	1	1
84	и т д	14	1
