N	2gram	Losev_Dial_3	Freidism
1	таким образом	13	24
2	и не	27	23
3	– это	6	21
4	не может	19	20
5	точки зрения	25	19
6	прежде всего	8	18
7	к отцу	2	16
8	в этом	8	15
9	в его	2	15
10	и пр	6	15
11	это –	16	14
12	мы можем	1	13
13	может быть	13	13
14	и его	5	12
15	все эти	3	11
16	как и	7	11
17	с точки	14	11
18	– в	6	11
19	как бы	3	11
20	то что	14	11
21	самом деле	6	10
22	но в	2	10
23	его в	1	10
24	с ним	1	10
25	как мы	2	10
26	так и	5	10
27	и потому	2	10
28	с его	2	9
29	во всех	1	9
30	и в	24	9
31	то же	6	8
32	не только	23	8
33	он не	5	8
34	еще не	2	8
35	оно и	1	8
36	что он	13	8
37	только в	5	8
38	так как	6	8
39	все это	6	8
40	и все	6	8
41	все что	3	8
42	в самом	7	7
43	мы уже	3	7
44	и наконец	1	7
45	чувств и	1	7
46	ни в	9	7
47	к нему	3	7
48	тот же	1	7
49	мы знаем	3	7
50	всяком случае	2	7
51	что же	11	7
52	– не	7	7
53	сказать что	4	7
54	во всяком	2	7
55	в ней	2	6
56	за пределы	3	6
57	и с	6	6
58	и ее	3	6
59	точку зрения	1	6
60	– все	3	6
61	того что	12	6
62	для него	4	6
63	вовсе не	13	6
64	никогда не	7	6
65	хотя бы	4	6
66	совершенно не	2	6
67	– как	3	6
68	я и	2	5
69	на самом	1	5
70	и на	3	5
71	в чем	4	5
72	и к	5	5
73	что такое	21	5
74	не в	3	5
75	в то	5	5
76	в каком	3	5
77	могут быть	2	5
78	в себя	1	5
79	для этого	2	5
80	можно сказать	1	5
81	для того	3	5
82	и прежде	3	5
83	а в	2	5
84	оно –	4	5
85	но и	9	5
86	связь с	1	5
87	с этим	3	5
88	что в	7	5
89	в зависимости	2	4
90	и за	1	4
91	той же	3	4
92	связанных с	1	4
93	мы не	5	4
94	в которой	1	4
95	говорить о	4	4
96	я не	6	4
97	зависимости от	3	4
98	но не	2	4
99	же –	1	4
100	все же	3	4
101	не было	3	4
102	из этих	2	4
103	в нем	3	4
104	всех этих	1	4
105	на этом	2	4
106	человека –	1	4
107	то ни	1	4
108	при этом	2	4
109	об этом	6	4
110	на основании	2	4
111	во время	1	4
112	– только	2	4
113	не менее	11	4
114	в основе	3	4
