N	3gram	Tiupa_Anal_3	NovoeSre
1	не может быть	1	4
2	подобно тому как	2	3
3	со всех сторон	1	3
4	лицом к лицу	1	3
5	в этом смысле	1	2
6	с одной стороны	2	2
7	с другой стороны	5	2
8	вопрос о том	1	2
9	по своей природе	1	1
10	и того же	3	1
11	прежде всего они	1	1
12	а не с	1	1
13	в истории не	1	1
14	одного и того	3	1
15	до сих пор	1	1
16	в зависимости от	1	1
17	в отличие от	2	1
18	не менее чем	1	1
19	было бы сказать	1	1
20	в том чтобы	1	1
21	не только в	1	1
22	и потому оно	1	1
23	в известном смысле	1	1
24	не могут быть	1	1
25	по природе своей	1	1
26	не в том	1	1
27	во всяком случае	2	1
28	лишь в том	1	1
29	не должно быть	1	1
30	о том что	5	1
31	бог не есть	1	1
32	в значительной степени	2	1
33	что в новом	1	1
34	в большинстве случаев	1	1
35	ни за какие	1	1
36	в том что	7	1
37	как и в	4	1
38	бы он и	1	1
