N	3gram	Tiupa_Lite_1	Otkroven
1	и в этом	1	2
2	а не в	1	2
3	не может быть	1	2
4	нет ничего кроме	1	2
5	в другом месте	1	1
6	как например в	1	1
7	может быть он	1	1
8	в виду не	2	1
9	в частности может	1	1
10	прежде всего в	3	1
11	в самом деле	1	1
12	у достоевского всегда	1	1
13	так и не	1	1
14	все та же	2	1
15	это должно быть	1	1
16	может быть назван	1	1
17	во всяком случае	2	1
18	в россии в	1	1
19	не в силах	1	1
20	о том что	2	1
21	в этом отношении	2	1
22	в своей глубине	1	1
23	и прежде всего	3	1
24	в том что	11	1
25	на то что	1	1
26	в русской и	1	1
27	и то что	2	1
28	во имя свободы	1	1
29	никогда и нигде	1	1
30	а не только	1	1
31	преступления и наказания	1	1
