N	2gram	Tiupa_Disk_2	Morfolog
1	может быть	16	52
2	таким образом	1	20
3	представляет собой	11	17
4	не может	9	17
5	в этих	3	16
6	могут быть	3	15
7	и в	16	13
8	действующих лиц	1	13
9	в этом	16	13
10	и др	1	12
11	перед нами	3	11
12	представляют собой	1	10
13	то же	6	9
14	мы имеем	2	9
15	так и	9	9
16	этом случае	2	9
17	прежде всего	7	9
18	а не	14	9
19	и не	15	9
20	что и	2	8
21	с другой	5	8
22	в результате	2	8
23	вопрос о	1	7
24	в качестве	16	7
25	все же	6	7
26	но если	1	7
27	но не	7	6
28	это не	3	6
29	подобно тому	2	6
30	не могут	1	6
31	и здесь	1	6
32	а также	8	6
33	в форме	1	6
34	в том	8	6
35	а в	2	6
36	мы не	1	5
37	во всех	1	5
38	тому как	2	5
39	то что	5	5
40	в образе	1	5
41	в ходе	2	5
42	далеко не	2	5
43	не менее	7	5
44	потому что	4	5
45	один из	1	5
46	как бы	4	5
47	также и	3	4
48	тех же	1	4
49	если в	1	4
50	как в	8	4
51	хотя и	1	4
52	и как	3	4
53	ни одна	1	4
54	не только	10	4
55	три года	1	4
56	на этом	1	4
57	об этом	1	4
58	его в	3	4
59	вовсе не	1	4
60	как и	16	4
61	несмотря на	1	4
62	точки зрения	4	4
63	с точки	2	4
64	тем не	1	4
65	ничего не	1	4
66	тем что	1	4
67	в других	1	4
68	видно что	1	4
69	по отношению	4	4
70	случае не	1	4
71	в некоторых	1	4
72	другой стороны	2	4
73	там где	1	4
74	в иных	1	4
75	на пути	1	4
76	отношению к	4	4
77	героя в	5	4
78	что в	5	4
79	самом деле	1	3
80	в первом	1	3
81	и для	2	3
82	но в	11	3
83	к чему	1	3
84	в целом	2	3
85	в нашем	1	3
86	в пределах	4	3
87	он должен	1	3
88	но все	1	3
89	входит в	2	3
90	из них	3	3
91	ни в	7	3
92	и вне	1	3
93	том что	10	3
94	о герое	1	3
95	в то	5	3
96	в сущности	1	3
97	на него	1	3
98	но и	11	3
99	он не	3	3
100	во втором	1	3
101	в какой	1	3
102	и ее	3	3
103	связывается с	1	3
104	друг друга	1	3
105	не является	4	3
106	быть названо	1	3
107	этого момента	1	3
108	из которых	1	3
109	но это	3	3
110	же в	1	3
111	можно назвать	4	3
112	как это	1	2
113	встречается и	1	2
114	чем это	1	2
115	друг на	1	2
116	а с	5	2
117	первый взгляд	2	2
118	как уже	2	2
119	то в	1	2
120	право на	1	2
121	одному из	1	2
122	не определяет	1	2
123	состоит в	16	2
124	которое может	1	2
125	в другом	3	2
126	большинстве случаев	1	2
127	обоих случаях	2	2
128	и иных	1	2
129	на спине	1	2
130	этого не	1	2
131	на друга	1	2
132	на первый	2	2
133	для него	5	2
134	за которым	2	2
135	и более	1	2
136	и наоборот	1	2
137	же может	1	2
138	все эти	3	2
139	в таких	1	2
140	всего следует	1	2
141	с теми	1	2
142	в обоих	2	2
143	одна из	1	2
144	см ниже	1	2
145	что ни	2	2
146	из другой	1	2
147	и его	3	2
148	к себе	1	2
149	оно не	1	2
150	утверждать что	1	2
151	здесь не	2	2
152	в в	1	2
153	в собственном	1	2
154	и что	1	2
155	не с	2	2
156	но здесь	2	2
157	о том	4	2
158	с одной	4	2
159	можно сказать	3	2
160	может не	1	2
161	ни к	5	2
162	и только	1	2
163	является результатом	1	2
164	того что	1	2
165	иных случаях	1	2
166	быть и	1	2
167	что он	2	2
168	только в	3	2
169	себя в	6	2
170	уже не	3	2
171	в большинстве	2	2
172	или не	1	2
173	момент в	2	2
174	из двух	3	2
175	нарушение запрета	1	2
176	себя и	1	2
177	но есть	1	2
178	не знает	3	2
179	сказать что	1	2
180	в частности	12	2
181	или по	2	2
182	одной стороны	4	2
183	герой это	1	2
184	самого себя	1	2
185	но для	1	2
186	одной из	1	2
187	в свое	2	2
188	также может	1	2
189	к этому	4	2
190	например в	3	1
191	и то	4	1
192	применении к	1	1
193	как такового	1	1
194	приходит к	1	1
195	он ничего	1	1
196	есть не	1	1
197	и была	1	1
198	он как	1	1
199	но она	3	1
200	не вполне	1	1
201	ему в	1	1
202	начала в	1	1
203	героев в	1	1
204	собой в	1	1
205	он был	1	1
206	качестве примера	2	1
207	тем как	1	1
208	там и	1	1
209	это бывает	1	1
210	не то	1	1
211	ответ на	1	1
212	тогда как	11	1
213	отношение к	2	1
214	отличие от	12	1
215	более чем	2	1
216	вследствие чего	1	1
217	его не	1	1
218	в рамках	7	1
219	вот как	1	1
220	для всех	1	1
221	что касается	1	1
222	в полном	2	1
223	мысль о	3	1
224	может получить	1	1
225	дает себя	1	1
226	и наконец	3	1
227	в этот	1	1
228	со своей	1	1
229	втором случае	1	1
230	в которой	1	1
231	к другому	1	1
232	из этих	3	1
233	не в	3	1
234	в этой	4	1
235	рассказ о	2	1
236	в лоб	1	1
237	этим создается	1	1
238	но прежде	1	1
239	время и	1	1
240	слова а	1	1
241	окрашена в	1	1
242	не исчерпывают	1	1
243	одно и	2	1
244	то ни	1	1
245	и может	3	1
246	же касается	2	1
247	а их	1	1
248	и сердце	1	1
249	даже в	1	1
250	следит за	1	1
251	из первых	1	1
252	в это	1	1
253	вводит в	1	1
254	как нарушение	1	1
255	и герой	1	1
256	меняет свой	1	1
257	их поступки	1	1
258	следует вторая	1	1
259	и их	1	1
260	при изучении	1	1
261	как все	2	1
262	что данная	1	1
263	не столько	3	1
264	ср кто	1	1
265	самого героя	1	1
266	могло бы	1	1
267	бы мы	1	1
268	где герой	3	1
269	для данного	3	1
270	при этом	17	1
271	теми же	1	1
272	все это	2	1
273	не должно	1	1
274	для нее	1	1
275	она не	1	1
276	эта ситуация	1	1
277	для меня	1	1
278	самого начала	1	1
279	того как	1	1
280	или другие	1	1
281	в основе	4	1
282	дело не	1	1
283	с некоторой	1	1
284	же время	5	1
285	рассказа как	4	1
286	как на	3	1
287	иногда не	1	1
288	одним из	1	1
289	выпадает из	1	1
290	включается в	1	1
291	и развития	1	1
292	уже было	1	1
293	всего в	1	1
294	частности как	2	1
295	к тому	1	1
296	той или	3	1
297	не есть	1	1
298	ее решение	1	1
299	в применении	1	1
300	с ее	2	1
301	людей в	1	1
302	данном случае	6	1
303	действия и	1	1
304	с самого	1	1
305	всей своей	3	1
306	приводит к	3	1
307	роль в	4	1
308	на свой	1	1
309	как с	1	1
310	здесь как	1	1
311	еще в	3	1
312	во второй	1	1
313	и с	2	1
314	на отношения	1	1
315	не отвечает	1	1
316	которого можно	1	1
317	но общий	1	1
318	всех подобных	1	1
319	бы то	1	1
320	исключает все	1	1
321	там же	2	1
322	как было	1	1
323	того или	1	1
324	их в	2	1
325	грань между	1	1
326	в его	3	1
327	на одном	1	1
328	целого а	1	1
329	целом и	1	1
330	к ней	1	1
331	не зная	1	1
332	же картина	1	1
333	говорить о	2	1
334	как нечто	1	1
335	у тебя	1	1
336	на самого	2	1
337	же и	1	1
338	есть в	2	1
339	действий в	1	1
340	не дает	1	1
341	двух точек	1	1
342	четкий и	1	1
343	всяком случае	1	1
344	в одном	4	1
345	и со	1	1
346	и художественный	1	1
347	при отсутствии	1	1
348	как при	1	1
349	это по	1	1
350	были бы	1	1
351	только на	1	1
352	из важнейших	2	1
353	и даже	1	1
354	со стороны	10	1
355	или иной	3	1
356	точек зрения	1	1
357	его при	1	1
358	может и	2	1
359	именно в	2	1
360	эти две	1	1
361	лица в	1	1
362	еще и	1	1
363	и несколько	1	1
364	не нужна	1	1
365	на этот	1	1
366	а сам	2	1
367	в рассказе	4	1
368	не на	2	1
369	на смерть	1	1
370	о чем	2	1
371	он представляет	1	1
372	быть продолжен	1	1
373	в одной	1	1
374	нет а	1	1
375	по своему	1	1
376	неожиданно и	1	1
377	в данном	7	1
378	ведет к	3	1
379	как объект	1	1
380	и там	1	1
381	которые по	1	1
382	это его	1	1
383	до его	1	1
384	мотив в	1	1
385	также составляют	1	1
386	в ряду	2	1
387	никем не	1	1
388	как будто	3	1
389	что же	2	1
390	с этой	1	1
391	в поступках	1	1
392	в формах	2	1
393	значимости для	1	1
394	рассматривать как	1	1
395	следует ли	1	1
396	указать на	2	1
397	но на	1	1
398	в голову	1	1
399	и все	3	1
400	которую он	1	1
401	и ни	1	1
402	представляли собой	1	1
403	его жизнь	1	1
404	в круг	1	1
405	будет сказано	1	1
406	между ними	1	1
407	равно как	1	1
408	одновременно и	1	1
409	только о	1	1
410	и две	1	1
411	только третья	1	1
412	ее может	1	1
413	во всяком	1	1
