N	2gram	Berdyaev_N_1	ViktorSh
1	в том	8	2
2	и в	16	2
3	в конце	1	2
4	том что	2	2
5	только в	1	1
6	и не	11	1
7	и заключается	2	1
8	что сами	1	1
9	так как	1	1
10	все время	2	1
11	и его	1	1
12	для них	1	1
13	к чему	1	1
14	в этом	7	1
15	ни к	2	1
16	заключается что	2	1
17	и только	1	1
18	потому что	4	1
19	не хочу	1	1
20	хотя бы	2	1
21	в значительной	1	1
22	в самом	1	1
23	на заре	1	1
24	от других	1	1
25	по существу	2	1
26	все это	5	1
27	но это	6	1
28	которые они	1	1
29	к созданию	2	1
30	не хотел	1	1
31	значительной степени	1	1
32	я не	2	1
