N	4gram	Vinokur_Vv_1	Analitik
1	состоит в том что	2	4
2	в том или ином	1	2
3	в то же время	5	2
4	мы имеем дело с	1	1
5	же самое что и	1	1
6	ответ на этот вопрос	1	1
7	его можно было бы	1	1
8	которая сама по себе	1	1
9	и в этом смысле	1	1
10	не что иное как	4	1
11	речь идет уже не	1	1
12	можно сказать что в	1	1
13	говорилось о том что	1	1
14	с этой точки зрения	1	1
15	то же самое что	2	1
16	одно и то же	1	1
17	и в самом деле	3	1
18	заключается в том что	2	1
19	и в этом втором	1	1
20	есть не что иное	2	1
