N	3gram	Tiupa_Teor_1	NovoeSre
1	не может быть	4	4
2	подобно тому как	1	3
3	со всех сторон	1	3
4	в этом смысле	2	2
5	так же как	1	2
6	с одной стороны	2	2
7	с другой стороны	5	2
8	по своей природе	2	1
9	я думаю что	1	1
10	и того же	3	1
11	и в жизни	1	1
12	а не с	1	1
13	одного и того	3	1
14	в том числе	2	1
15	не было и	1	1
16	том случае если	1	1
17	в отличие от	6	1
18	не менее чем	1	1
19	том числе и	1	1
20	заключает в себе	1	1
21	в том случае	1	1
22	и потому что	1	1
23	в известном смысле	1	1
24	не могут быть	2	1
25	нового времени в	1	1
26	о том что	1	1
27	в то время	1	1
28	в значительной степени	1	1
29	имея в виду	1	1
30	та или иная	1	1
31	в этой системе	2	1
32	весь мир все	1	1
33	мы говорим о	1	1
34	в большинстве случаев	1	1
35	в том что	8	1
36	добро и зло	1	1
37	как и в	2	1
