N	4gram	Bakhtin_Pr_1	PoTuStor
1	ни в чем не	2	3
2	дело в том что	1	1
3	дальше чем на один	1	1
4	конечно никакому сомнению что	1	1
5	бы то ни было	2	1
6	подлежит конечно никакому сомнению	1	1
7	чтобы войти в историю	1	1
8	и с его помощью	1	1
9	мы останавливаться не будем	1	1
10	не что иное как	1	1
11	все снова и снова	1	1
12	и быть не может	1	1
13	конечно не следует что	1	1
14	плотно со всех сторон	1	1
15	во всех его моментах	1	1
16	и не нуждается в	1	1
17	не могут быть поняты	1	1
18	ни в коем случае	2	1
19	не имеют дела с	1	1
20	не подлежит конечно никакому	1	1
21	не чем иным как	1	1
22	мы можем сказать что	1	1
23	чем на один шаг	1	1
24	нет и быть не	1	1
25	вообще не может иметь	1	1
26	в полном согласии с	1	1
