N	2gram	Bakhtin_sl_1	FransuaR
1	и в	41	29
2	то есть	26	21
3	таким образом	9	20
4	у рабле	3	16
5	и не	16	16
6	в этой	1	13
7	и все	4	13
8	но в	8	12
9	как и	4	12
10	и на	14	11
11	в этом	12	11
12	так и	11	11
13	то же	14	10
14	мы уже	2	10
15	не только	16	10
16	в то	14	10
17	как мы	8	10
18	в романе	21	10
19	все эти	9	9
20	и с	4	9
21	его в	3	9
22	вовсе не	7	9
23	но и	16	9
24	же время	12	8
25	и его	14	8
26	в его	13	8
27	прежде всего	8	8
28	как бы	12	8
29	в них	6	7
30	мы видели	1	7
31	в том	3	7
32	так как	3	7
33	так же	2	7
34	в сущности	13	6
35	но он	2	6
36	в атмосфере	2	6
37	здесь в	4	6
38	в большинстве	10	6
39	из них	3	6
40	и до	1	5
41	в нем	30	5
42	большинстве случаев	6	5
43	он и	1	5
44	в своей	7	5
45	до конца	12	5
46	рядом с	4	5
47	и о	2	5
48	это не	6	5
49	поэтому и	3	5
50	все они	7	5
51	у него	3	5
52	далеко не	5	5
53	сказать что	2	5
54	на весь	1	5
55	и по	2	5
56	того же	6	5
57	также и	3	4
58	связана с	2	4
59	на самом	2	4
60	и есть	1	4
61	в которой	4	4
62	еще не	4	4
63	с его	4	4
64	с помощью	1	4
65	связанные с	3	4
66	точки зрения	16	4
67	в плане	6	4
68	в результате	3	4
69	жизнь и	1	4
70	в литературе	1	4
71	и одновременно	2	4
72	конечно не	3	4
73	с другой	5	4
74	и др	14	4
75	играют в	1	4
76	по своему	2	4
77	но это	1	4
78	все это	5	4
79	один из	4	4
80	перед нами	4	4
81	для рабле	1	4
82	есть и	1	4
83	жизни и	1	4
84	по преимуществу	4	3
85	той же	2	3
86	брань и	1	3
87	и здесь	3	3
88	в ней	4	3
89	его так	1	3
90	но как	1	3
91	как к	2	3
92	в своем	3	3
93	более или	3	3
94	то в	2	3
95	в себе	3	3
96	при этом	6	3
97	он не	3	3
98	всех этих	4	3
99	в узком	10	3
100	и сам	3	3
101	для того	2	3
102	своего времени	1	3
103	а затем	1	3
104	особенно в	1	3
105	том что	2	3
106	или менее	3	3
107	в эту	2	3
108	не видят	2	3
109	самого начала	1	3
110	того чтобы	1	3
111	в разных	3	3
112	по своей	1	3
113	они были	2	3
114	конечно и	2	3
115	с ее	4	3
116	здесь не	2	3
117	в ее	2	3
118	с самого	1	3
119	роль в	2	3
120	образом в	3	3
121	к нему	5	3
122	слов и	2	3
123	все время	3	3
124	того что	3	3
125	с ними	3	3
126	на языке	1	3
127	и так	1	3
128	в качестве	3	3
129	же и	2	3
130	и они	1	3
131	и других	3	3
132	и их	1	3
133	в известной	2	3
134	и даже	6	3
135	на эту	1	3
136	там где	4	3
137	все же	7	3
138	у них	2	3
139	мы видим	2	3
140	тот же	1	3
141	другой стороны	4	3
142	в частности	2	3
143	одновременно и	2	3
144	как известно	1	2
145	с жизнью	1	2
146	и то	2	2
147	с таким	1	2
148	то время	2	2
149	и со	1	2
150	в виду	1	2
151	он был	1	2
152	на их	1	2
153	в различных	1	2
154	с одной	4	2
155	но не	2	2
156	что они	2	2
157	связи и	1	2
158	один и	1	2
159	в одной	1	2
160	как в	8	2
161	кроме того	4	2
162	хотя и	2	2
