N	3gram	Tiupa_Hudo_1	EvropaiC
1	в том что	7	16
2	по отношению к	9	10
3	с точки зрения	3	8
4	более или менее	5	7
5	друг от друга	1	6
6	для того чтобы	2	6
7	в этом случае	1	4
8	том случае если	1	4
9	в том случае	1	4
10	может быть и	2	4
11	к тому же	1	4
12	с другой стороны	5	4
13	не может быть	3	4
14	о том что	1	4
15	начало и конец	2	4
16	тем не менее	3	4
17	и того же	2	3
18	в настоящее время	1	3
19	одного и того	2	3
20	так же как	1	3
21	так или иначе	3	3
22	в связи с	1	3
23	заключается в том	1	3
24	в том и	2	2
25	том что он	1	2
26	при этом что	1	2
27	только то что	1	2
28	бы то ни	1	2
29	заключает в себе	1	2
30	то же время	5	2
31	именно потому что	1	2
32	то ни было	1	2
33	с одной стороны	2	2
34	а с другой	2	2
35	как и в	1	2
36	в свою очередь	2	2
37	в то же	5	2
38	и в том	1	2
39	в данный момент	2	1
40	и то же	3	1
41	есть как бы	1	1
42	иметь в виду	1	1
43	это было бы	1	1
44	то же самое	1	1
45	является одним из	1	1
46	и другими людьми	1	1
47	из того что	1	1
48	том числе и	1	1
49	окружающей его природы	1	1
50	том или ином	1	1
51	точно так же	1	1
52	в себе никаких	1	1
53	по крайней мере	1	1
54	одно и то	3	1
55	и в жизни	1	1
56	в том или	1	1
57	между людьми поэтому	1	1
58	что входит в	1	1
59	таким образом и	1	1
60	на первый взгляд	1	1
61	состоит в том	5	1
62	приводит к тому	2	1
63	исходит из того	1	1
64	все то что	1	1
65	а в том	1	1
66	на наших глазах	2	1
67	то что входит	1	1
68	в то время	1	1
69	та или иная	1	1
70	не принадлежат к	1	1
71	при этом не	1	1
72	в том числе	2	1
73	к тому что	2	1
74	но на деле	1	1
75	тот или иной	2	1
