N	3gram	Tiupa_Anal_2	NovoeSre
1	не может быть	1	4
2	подобно тому как	3	3
3	со всех сторон	1	3
4	в этом смысле	2	2
5	с одной стороны	4	2
6	с другой стороны	2	2
7	ни одна из	1	2
8	что она не	1	1
9	а не с	1	1
10	как это было	1	1
11	и во всех	1	1
12	сами по себе	1	1
13	в отличие от	2	1
14	но и в	1	1
15	можно было бы	2	1
16	не только в	2	1
17	в известном смысле	1	1
18	по природе своей	2	1
19	в одну из	1	1
20	о том что	6	1
21	в значительной степени	2	1
22	в этой системе	2	1
23	которые могут быть	1	1
24	в том смысле	1	1
25	в том что	6	1
26	себя на место	1	1
27	как и в	3	1
28	не может остаться	1	1
