N	4gram	Voloshinov_1	Problema
1	в то же время	3	3
2	с точки зрения самого	1	2
3	бы то ни было	8	2
4	из всего сказанного нами	1	1
5	и с точки зрения	1	1
6	и не может быть	4	1
7	на самом же деле	2	1
8	познания должна опираться на	1	1
9	не выходит за пределы	1	1
10	психология познания должна опираться	1	1
11	отнюдь не следует что	1	1
12	именно в том что	1	1
13	только при этом условии	2	1
14	одной из важнейших проблем	2	1
15	и в другом направлении	1	1
16	но в то же	2	1
17	или хотя бы только	1	1
18	не чем иным как	1	1
19	это и есть та	1	1
