N	2gram	Savitsky_E_1	Psycholo
1	в том	11	37
2	и в	37	32
3	и что	2	22
4	то есть	6	21
5	том что	6	21
6	потому что	3	21
7	таким образом	2	21
8	то что	6	21
9	что в	21	20
10	может быть	6	18
11	так же	9	18
12	точки зрения	23	17
13	что и	3	17
14	не может	9	17
15	того чтобы	6	14
16	то же	15	13
17	в этом	12	13
18	при этом	1	13
19	для того	6	13
20	в самом	4	12
21	заключается в	2	12
22	не только	18	12
23	по себе	4	12
24	с и	10	12
25	если мы	1	12
26	так как	7	12
27	на то	6	11
28	было бы	8	11
29	с тем	3	11
30	в основе	1	11
31	и т	1	10
32	когда он	3	10
33	с точки	17	10
34	при помощи	2	10
35	но и	14	10
36	как и	7	10
37	и не	14	10
38	как в	3	9
39	никогда не	3	9
40	что при	1	9
41	тем что	3	9
42	что все	2	9
43	в своих	2	9
44	с таким	1	8
45	той же	1	8
46	что это	2	8
47	не в	5	8
48	не менее	1	8
49	дело с	1	8
50	того что	7	8
51	поэзии и	1	7
52	и как	2	7
53	все эти	1	7
54	такой же	2	7
55	и его	1	7
56	как будто	2	7
57	к тому	8	7
58	можно было	3	7
59	только в	9	7
60	мы знаем	1	7
61	что для	1	7
62	а не	2	7
63	в психологии	3	7
64	сказать что	4	7
65	что если	2	6
66	в этой	2	6
67	целый ряд	2	6
68	он не	2	6
69	если бы	2	6
70	те же	1	6
71	о том	3	6
72	и мы	3	6
73	тот же	1	6
74	как бы	6	6
75	исходит из	1	5
76	и на	6	5
77	что его	1	5
78	далеко не	2	5
79	в то	16	5
80	есть только	1	5
81	в ней	4	5
82	и даже	6	5
83	вслед за	6	5
84	отнюдь не	9	5
85	этом отношении	3	5
86	как на	3	5
87	ту же	1	4
88	же как	5	4
89	есть не	2	4
90	столь же	5	4
91	с этим	2	4
92	все же	1	4
93	с той	1	4
94	и те	1	4
95	в нем	1	4
96	и по	5	4
97	том случае	1	4
98	и с	2	4
99	и тем	3	4
100	в жизни	1	4
101	несмотря на	4	4
102	в данном	3	4
103	иначе говоря	2	4
104	которые в	1	4
105	и более	2	4
106	тому что	1	4
107	не имеет	4	4
108	и до	1	4
109	в сознании	1	4
110	что на	2	4
111	и для	3	4
112	могут быть	2	4
113	утверждать что	2	4
114	и это	1	4
115	данном случае	2	4
116	и когда	1	4
117	и сам	1	4
118	и поэтому	2	4
119	между тем	8	4
120	которые мы	1	4
121	мы видим	2	4
122	из них	3	4
123	от того	1	4
124	а на	1	4
125	как это	4	4
126	наряду с	2	4
127	с этой	6	4
128	случае если	1	4
129	при таком	1	4
130	и все	2	4
131	а в	2	4
132	жизни и	2	4
133	например в	1	3
134	отношении к	15	3
135	и то	2	3
136	приходит к	1	3
137	на тех	1	3
138	мы не	4	3
139	или же	1	3
140	время как	1	3
141	то это	1	3
142	во всех	6	3
143	но как	2	3
144	в общем	3	3
145	относится к	1	3
146	которые не	1	3
147	только ее	1	3
148	и к	3	3
149	но в	14	3
150	та же	1	3
151	он в	1	3
152	думать что	8	3
153	творчества и	1	3
154	главным образом	2	3
155	состоит в	1	3
156	не к	2	3
157	не как	1	3
158	то как	1	3
159	на этом	1	3
160	об этом	1	3
161	к области	1	3
162	к которым	5	3
163	и сейчас	2	3
164	в своей	8	3
165	в их	11	3
166	представление о	2	3
167	в которых	3	3
168	в отношении	32	3
169	что с	1	3
170	с то	1	3
171	тогда когда	2	3
172	мы можем	3	3
173	во всем	1	3
174	в каком	4	3
175	свое собственное	1	3
176	не могут	2	3
177	отказаться от	1	3
178	которого мы	2	3
179	с ее	1	3
180	то время	1	3
181	так и	10	3
182	для этого	1	3
183	с другой	7	3
184	бы и	3	3
185	мы должны	2	3
186	значит что	1	3
187	один из	1	3
188	этот вопрос	2	3
189	и ее	1	3
190	что не	1	3
191	и других	2	3
192	но совершенно	1	3
193	и их	1	3
194	представить себе	1	3
195	что тот	1	3
196	которых мы	1	3
197	в частности	5	3
198	ни на	3	3
199	того или	4	3
200	по своему	7	3
201	что же	2	3
202	это значит	2	3
203	в смысле	9	3
204	должны быть	1	3
205	само по	4	3
206	еще более	2	3
207	хотя бы	15	3
208	в свою	3	3
209	который не	1	3
210	также и	7	2
211	того же	3	2
212	и этот	2	2
213	с в	2	2
214	из всех	3	2
215	признание что	1	2
216	есть нечто	1	2
217	с но	1	2
218	из того	2	2
219	но даже	4	2
220	как не	2	2
221	бы с	1	2
222	которых может	1	2
223	бы то	4	2
224	с его	1	2
225	в ее	8	2
226	но не	5	2
227	мы будем	1	2
228	точка зрения	2	2
229	к которой	1	2
230	значение и	1	2
231	если в	2	2
232	очевидно что	3	2
233	отличие от	1	2
234	которые они	2	2
235	однако не	1	2
236	могли бы	1	2
237	что по	1	2
238	увидим что	1	2
239	психологии и	1	2
240	мы получаем	1	2
241	и тот	1	2
242	в себе	9	2
243	т д	1	2
244	на одну	2	2
245	или иному	2	2
246	на его	1	2
247	заключает в	3	2
248	то ни	4	2
249	то чтобы	1	2
250	значение в	1	2
251	с другими	2	2
252	к природе	2	2
253	в них	3	2
254	но так	1	2
255	одного и	1	2
256	не значит	1	2
257	всяком случае	3	2
258	место в	3	2
259	и наоборот	1	2
260	том же	1	2
261	в этих	2	2
262	для нее	1	2
263	все более	9	2
264	вплоть до	1	2
265	и другое	1	2
266	считает что	1	2
267	принадлежат к	1	2
268	в процессе	4	2
269	значит ли	1	2
270	казалось бы	1	2
271	в самой	1	2
272	же время	14	2
273	в русском	1	2
274	ли из	1	2
275	ли это	3	2
276	такие же	1	2
277	когда мы	1	2
278	в полном	1	2
279	для такого	1	2
280	что оно	1	2
281	оно не	1	2
282	она не	2	2
283	на вопрос	1	2
284	из их	1	2
285	свою очередь	2	2
286	сводится к	1	2
287	то или	1	2
288	что такие	1	2
289	по сравнению	2	2
290	и вообще	1	2
291	в таком	3	2
292	именно потому	2	2
293	во всяком	3	2
294	в его	2	2
295	и только	3	2
296	и следовательно	1	2
297	к нему	2	2
298	в новой	1	2
299	зрения есть	1	2
300	в какой	2	2
301	как нечто	1	2
302	к какому	1	2
303	говорит о	3	2
304	мы находим	1	2
305	в одном	2	2
306	вовсе не	6	2
307	в состоянии	1	2
308	к ним	3	2
309	в других	2	2
310	имеет значение	1	2
311	на примере	1	2
312	к нулю	2	2
313	к которому	1	2
314	не было	1	2
315	она является	1	2
316	на которых	1	2
317	не на	4	2
318	зависит от	1	2
319	и далее	1	2
320	там где	3	2
321	во внимание	1	2
322	вместе с	2	2
323	сравнению с	2	2
324	его жизни	1	2
325	этого факта	1	2
326	но это	1	2
327	и таким	2	2
328	тому или	2	2
329	это можно	1	2
330	а к	1	2
331	для нас	4	2
332	это может	1	2
333	из себя	1	2
334	тем более	4	2
335	другой стороны	2	2
336	другой в	1	2
337	но когда	1	2
338	на этот	2	2
339	или иного	4	2
340	в свое	1	2
341	ли он	1	2
342	имеют дело	1	2
343	и от	3	2
344	заметить что	2	2
345	это в	1	2
346	все что	1	2
347	этой точки	5	2
348	как известно	1	1
349	речь идет	1	1
350	для этих	2	1
351	в русских	1	1
352	он считает	1	1
353	чтобы не	1	1
354	сводится именно	1	1
355	или к	1	1
356	же по	1	1
357	от своей	1	1
358	по преимуществу	2	1
359	каком они	1	1
360	и связанное	1	1
361	именно при	1	1
362	смотреть на	1	1
363	том насколько	1	1
364	свести на	1	1
365	что между	1	1
366	почти все	1	1
367	а для	1	1
368	и народов	3	1
369	моря и	3	1
370	и со	3	1
371	литературы и	1	1
372	все так	1	1
373	он сам	2	1
374	и русской	1	1
375	время в	3	1
376	тем как	1	1
377	глаза на	1	1
378	самих себя	1	1
379	совершенно прав	2	1
380	с одной	8	1
381	чем это	1	1
382	россии и	3	1
383	самой идее	1	1
384	на нет	1	1
385	только тогда	1	1
386	с совершенно	1	1
387	друг от	2	1
388	общего правила	1	1
389	или иное	1	1
390	за пределы	1	1
391	к сожалению	1	1
392	в истории	2	1
393	идет о	3	1
394	более чем	2	1
